1907-00-01 256_52 090_12 238_40 219_18 196_19 073_00 317_48 256_06 078_45 059_52 101_15 1.02 12.05 F001.42 F000.42 F000.60 E359.87 F000.07 F000.07 E359.97 E000.00 359.95
1907-00-02 257_53 102_15 240_05 219_43 196_55 072_52 317_52 256_10 078_43 059_52 101_12 1.03 12.17 F001.47 F000.45 F000.60 R359.85 F000.10 F000.05 R359.98 R359.98 359.95
1907-00-03 258_55 114_25 241_33 220_10 197_31 072_43 317_58 256_13 078_42 059_51 101_09 1.00 12.35 F001.42 F000.48 F000.60 R359.87 F000.08 F000.05 R359.97 R359.97 359.93
1907-00-04 259_55 126_46 242_58 220_39 198_07 072_35 318_03 256_16 078_40 059_49 101_05 1.02 12.55 F001.47 F000.50 F000.60 R359.88 F000.07 F000.08 R359.95 R000.00 359.93
1907-00-05 260_56 139_19 244_26 221_09 198_43 072_28 318_07 256_21 078_37 059_49 101_01 1.03 12.85 F001.48 F000.52 F000.62 R359.85 F000.10 F000.03 R000.00 R359.97 359.95
1907-00-06 261_58 152_10 245_55 221_40 199_20 072_19 318_13 256_23 078_37 059_47 100_58 1.03 13.15 F001.48 F000.55 F000.60 R359.88 F000.08 F000.08 R359.95 R359.98 359.95
1907-00-07 263_00 165_19 247_24 222_13 199_56 072_12 318_18 256_28 078_34 059_46 100_55 1.02 13.52 F001.47 F000.60 F000.62 R359.87 F000.07 F000.05 R359.97 R000.00 359.95
1907-00-08 264_01 178_50 248_52 222_49 200_33 072_04 318_22 256_31 078_32 059_46 100_52 1.00 13.92 F001.50 F000.60 F000.62 R359.88 F000.10 F000.05 R359.98 R359.98 359.95
1907-00-09 265_01 192_45 250_22 223_25 201_10 071_57 318_28 256_34 078_31 059_45 100_49 1.03 14.30 F001.50 F000.63 F000.60 R359.87 F000.10 F000.07 R359.98 R359.97 359.95
1907-00-10 266_03 207_03 251_52 224_03 201_46 071_49 318_34 256_38 078_30 059_43 100_46 1.02 14.62 F001.50 F000.63 F000.60 R359.85 F000.10 F000.05 R359.97 R000.00 359.95
1907-00-11 267_04 221_40 253_22 224_41 202_22 071_40 318_40 256_41 078_28 059_43 100_43 1.00 14.90 F001.55 F000.68 F000.60 R359.90 F000.08 F000.08 R359.95 R359.95 359.95
1907-00-12 268_04 236_34 254_55 225_22 202_58 071_34 318_45 256_46 078_25 059_40 100_40 1.05 15.05 F001.50 F000.68 F000.60 R359.85 F000.10 F000.05 R000.00 R000.00 359.95
1907-00-13 269_07 251_37 256_25 226_03 203_34 071_25 318_51 256_49 078_25 059_40 100_37 1.00 15.05 F001.55 F000.70 F000.60 R359.90 F000.07 F000.05 R359.95 R359.97 359.95
1907-00-14 270_07 266_40 257_58 226_45 204_10 071_19 318_55 256_52 078_22 059_38 100_34 1.02 14.90 F001.55 F000.72 F000.60 R359.88 F000.10 F000.05 R359.97 R000.00 359.95
1907-00-15 271_08 281_34 259_31 227_28 204_46 071_12 319_01 256_55 078_20 059_38 100_31 1.03 14.60 F001.55 F000.75 F000.60 R359.87 F000.10 F000.08 R359.98 R359.98 359.95
1907-00-16 272_10 296_10 261_04 228_13 205_22 071_04 319_07 257_00 078_19 059_37 100_28 1.00 14.25 F001.55 F000.75 F000.60 R359.88 F000.10 F000.05 R359.97 R000.00 359.93
1907-00-17 273_10 310_25 262_37 228_58 205_58 070_57 319_13 257_03 078_17 059_37 100_24 1.02 13.83 F001.60 F000.78 F000.60 R359.87 F000.10 F000.07 R359.98 R359.98 359.93
1907-00-18 274_11 324_15 264_13 229_45 206_34 070_49 319_19 257_07 078_16 059_36 100_20 1.03 13.37 F001.55 F000.77 F000.60 R359.90 F000.10 F000.05 R359.98 R359.97 359.95
1907-00-19 275_13 337_37 265_46 230_31 207_10 070_43 319_25 257_10 078_15 059_34 100_17 1.00 12.95 F001.60 F000.82 F000.60 R359.90 F000.10 F000.05 R359.97 R000.00 359.97
1907-00-20 276_13 350_34 267_22 231_20 207_46 070_37 319_31 257_13 078_13 059_34 100_15 1.05 12.57 F001.60 F000.83 F000.60 R359.88 F000.10 F000.05 R359.98 R359.97 359.95
1907-00-21 277_16 003_08 268_58 232_10 208_22 070_30 319_37 257_16 078_12 059_32 100_12 1.00 12.28 F001.60 F000.80 F000.60 R359.90 F000.10 F000.08 R359.97 R359.98 359.92
1907-00-22 278_16 015_25 270_34 232_58 208_58 070_24 319_43 257_21 078_10 059_31 100_07 1.03 12.05 F001.62 F000.85 F000.58 R359.88 F000.10 F000.03 R359.98 R000.00 359.95
1907-00-23 279_18 027_28 272_11 233_49 209_33 070_17 319_49 257_23 078_09 059_31 100_04 1.02 11.90 F001.63 F000.85 F000.60 R359.92 F000.10 F000.05 R359.97 R359.98 359.95
1907-00-24 280_19 039_22 273_49 234_40 210_09 070_12 319_55 257_26 078_07 059_30 100_01 1.00 11.85 F001.65 F000.88 F000.60 R359.88 F000.10 F000.08 R359.97 R359.97 359.95
1907-00-25 281_19 051_13 275_28 235_33 210_45 070_05 320_01 257_31 078_05 059_28 099_58 1.03 11.82 F001.63 F000.87 F000.57 R359.92 F000.12 F000.05 R359.98 R000.00 359.95
1907-00-26 282_21 063_02 277_06 236_25 211_19 070_00 320_08 257_34 078_04 059_28 099_55 1.02 11.88 F001.67 F000.90 F000.60 R359.90 F000.12 F000.05 R359.95 R000.00 359.95
1907-00-27 283_22 074_55 278_46 237_19 211_55 069_54 320_15 257_37 078_01 059_28 099_52 1.00 11.95 F001.65 F000.90 F000.60 R359.92 F000.10 F000.05 R000.00 R359.98 359.95
1907-00-28 284_22 086_52 280_25 238_13 212_31 069_49 320_21 257_40 078_01 059_27 099_49 1.00 12.10 F001.70 F000.93 F000.60 R359.90 F000.12 F000.05 R359.98 R359.97 359.95
1907-00-29 285_22 098_58 282_07 239_09 213_07 069_43 320_28 257_43 078_00 059_25 099_46 1.02 12.25 F001.68 F000.92 F000.57 R359.90 F000.10 F000.05 R359.97 R000.00 359.95
1907-00-30 286_23 111_13 283_48 240_04 213_41 069_37 320_34 257_46 077_58 059_25 099_43 1.03 12.45 F001.70 F000.93 F000.58 R359.92 F000.10 F000.08 R359.98 R000.00 359.95
1907-00-31 287_25 123_40 285_30 241_00 214_16 069_32 320_40 257_51 077_57 059_25 099_40 1.00 12.65 F001.72 F000.92 F000.60 R359.93 F000.10 F000.03 R359.97 R359.97 359.95
1907-01-01 288_25 136_19 287_13 241_55 214_52 069_28 320_46 257_53 077_55 059_23 099_37 1.02 12.87 F001.70 F000.95 F000.60 R359.90 F000.12 F000.05 R359.98 R359.98 359.95
1907-01-02 289_26 149_11 288_55 242_52 215_28 069_22 320_53 257_56 077_54 059_22 099_34 1.03 13.12 F001.75 F000.97 F000.58 R359.95 F000.13 F000.07 R359.97 R000.00 359.93
1907-01-03 290_28 162_18 290_40 243_50 216_03 069_19 321_01 258_00 077_52 059_22 099_30 1.00 13.32 F001.75 F000.98 F000.57 R359.90 F000.10 F000.05 R359.97 R000.00 359.95
1907-01-04 291_28 175_37 292_25 244_49 216_37 069_13 321_07 258_03 077_50 059_22 099_27 1.03 13.60 F001.75 F000.95 F000.60 R359.95 F000.10 F000.07 R359.98 R359.98 359.95
1907-01-05 292_30 189_13 294_10 245_46 217_13 069_10 321_13 258_07 077_49 059_21 099_24 1.00 13.80 F001.80 F001.00 F000.58 R359.92 F000.13 F000.05 R359.97 R000.00 359.93
1907-01-06 293_30 203_01 295_58 246_46 217_48 069_05 321_21 258_10 077_47 059_21 099_20 1.02 14.10 F001.75 F001.00 F000.57 R359.93 F000.12 F000.05 R359.98 R359.97 359.95
1907-01-07 294_31 217_07 297_43 247_46 218_22 069_01 321_28 258_13 077_46 059_19 099_17 1.00 14.28 F001.80 F001.00 F000.60 R359.95 F000.10 F000.05 R000.00 R000.00 359.93
1907-01-08 295_31 231_24 299_31 248_46 218_58 068_58 321_34 258_16 077_46 059_19 099_13 1.03 14.47 F001.80 F001.00 F000.58 R359.95 F000.12 F000.05 R359.98 R000.00 359.95
1907-01-09 296_33 245_52 301_19 249_46 219_33 068_55 321_41 258_19 077_45 059_19 099_10 1.00 14.60 F001.82 F001.00 F000.57 R359.95 F000.13 F000.05 R359.97 R359.97 359.95
1907-01-10 297_33 260_28 303_08 250_46 220_07 068_52 321_49 258_22 077_43 059_17 099_07 1.02 14.65 F001.83 F001.00 F000.57 R359.95 F000.10 F000.05 R359.98 R000.00 359.95
1907-01-11 298_34 275_07 304_58 251_46 220_41 068_49 321_55 258_25 077_42 059_17 099_04 1.00 14.55 F001.83 F001.05 F000.58 R359.95 F000.13 F000.05 R359.97 R359.98 359.95
1907-01-12 299_34 289_40 306_48 252_49 221_16 068_46 322_03 258_28 077_40 059_16 099_01 1.03 14.40 F001.82 F001.02 F000.57 R359.95 F000.12 F000.05 R000.00 R000.00 359.95
1907-01-13 300_36 304_04 308_37 253_50 221_50 068_43 322_10 258_31 077_40 059_16 098_58 1.00 14.15 F001.82 F001.03 F000.58 R359.95 F000.10 F000.03 R359.98 R000.00 359.95
1907-01-14 301_36 318_13 310_26 254_52 222_25 068_40 322_16 258_33 077_39 059_16 098_55 1.02 13.80 F001.83 F001.05 F000.58 R359.98 F000.12 F000.05 R359.97 R000.00 359.95
1907-01-15 302_37 332_01 312_16 255_55 223_00 068_39 322_23 258_36 077_37 059_16 098_52 1.00 13.40 F001.83 F001.05 F000.57 R359.97 F000.13 F000.03 R359.97 R359.98 359.95
1907-01-16 303_37 345_25 314_06 256_58 223_34 068_37 322_31 258_38 077_35 059_15 098_49 1.00 13.05 F001.82 F001.05 F000.58 R359.95 F000.10 F000.05 R359.98 R000.00 359.95
1907-01-17 304_37 358_28 315_55 258_01 224_09 068_34 322_37 258_41 077_34 059_15 098_46 1.02 12.65 F001.80 F001.05 F000.57 R359.97 F000.13 F000.07 R000.00 R359.97 359.95
1907-01-18 305_38 011_07 317_43 259_04 224_43 068_32 322_45 258_45 077_34 059_13 098_43 1.00 12.35 F001.80 F001.05 F000.55 R359.98 F000.12 F000.02 R359.97 R000.00 359.93
1907-01-19 306_38 023_28 319_31 260_07 225_16 068_31 322_52 258_46 077_32 059_13 098_39 1.03 12.10 F001.75 F001.05 F000.57 R359.98 F000.13 F000.05 R359.98 R000.00 359.93
1907-01-20 307_40 035_34 321_16 261_10 225_50 068_30 323_00 258_49 077_31 059_13 098_35 1.00 11.90 F001.75 F001.08 F000.58 R359.97 F000.12 F000.05 R000.00 R000.00 359.95
1907-01-21 308_40 047_28 323_01 262_15 226_25 068_28 323_07 258_52 077_31 059_13 098_32 1.00 11.85 F001.70 F001.07 F000.55 R000.00 F000.10 F000.05 R000.00 R000.00 359.97
1907-01-22 309_40 059_19 324_43 263_19 226_58 068_28 323_13 258_55 077_31 059_13 098_30 1.00 11.83 F001.65 F001.07 F000.58 R000.00 F000.13 F000.05 R359.98 R000.00 359.95
1907-01-23 310_40 071_09 326_22 264_23 227_33 068_28 323_21 258_58 077_30 059_13 098_27 1.00 11.87 F001.57 F001.08 F000.57 R359.98 F000.12 F000.03 R359.97 R000.00 359.95
1907-01-24 311_40 083_01 327_56 265_28 228_07 068_27 323_28 259_00 077_28 059_13 098_24 1.02 12.05 F001.53 F001.10 F000.55 R000.00 F000.13 F000.05 R000.00 R359.98 359.92
1907-01-25 312_41 095_04 329_28 266_34 228_40 068_27 323_36 259_03 077_28 059_12 098_19 1.00 12.25 F001.45 F001.10 F000.55 E000.00 F000.12 F000.02 R359.98 R000.00 359.95
1907-01-26 313_41 107_19 330_55 267_40 229_13 068_27 323_43 259_04 077_27 059_12 098_16 1.00 12.47 F001.40 F001.08 F000.55 F000.00 F000.10 F000.05 R359.97 R000.00 359.95
1907-01-27 314_41 119_47 332_19 268_45 229_46 068_27 323_49 259_07 077_25 059_12 098_13 1.00 12.73 F001.25 F001.10 F000.57 F000.00 F000.15 F000.05 R000.00 R000.00 359.95
1907-01-28 315_41 132_31 333_34 269_51 230_20 068_27 323_58 259_10 077_25 059_12 098_10 1.03 13.05 F001.20 F001.08 F000.57 F000.02 F000.10 F000.02 R000.00 R000.00 359.95
1907-02-01 316_43 145_34 334_46 270_56 230_54 068_28 324_04 259_11 077_25 059_12 098_07 1.00 13.25 F001.05 F001.12 F000.53 F000.00 F000.12 F000.07 R359.98 R359.97 359.95
1907-02-02 317_43 158_49 335_49 272_03 231_26 068_28 324_11 259_15 077_24 059_10 098_04 1.00 13.52 F000.93 F001.08 F000.57 F000.00 F000.13 F000.02 R000.00 R000.00 359.95
1907-02-03 318_43 172_20 336_45 273_08 232_00 068_28 324_19 259_16 077_24 059_10 098_01 1.00 13.72 F000.80 F001.13 F000.55 F000.05 F000.12 F000.05 R359.97 R000.00 359.95
1907-02-04 319_43 186_03 337_33 274_16 232_33 068_31 324_26 259_19 077_22 059_10 097_58 1.00 13.87 F000.63 F001.10 F000.53 F000.00 F000.13 F000.03 R000.00 R000.00 359.95
1907-02-05 320_43 199_55 338_11 275_22 233_05 068_31 324_34 259_21 077_22 059_10 097_55 1.00 13.98 F000.53 F001.10 F000.57 F000.02 F000.12 F000.02 R000.00 R000.00 359.95
1907-02-06 321_43 213_54 338_43 276_28 233_39 068_32 324_41 259_22 077_22 059_10 097_52 1.00 14.07 F000.35 F001.13 F000.52 F000.03 F000.13 F000.05 R359.97 R000.00 359.95
1907-02-07 322_43 227_58 339_04 277_36 234_10 068_34 324_49 259_25 077_20 059_10 097_49 1.00 14.12 F000.23 F001.12 F000.55 F000.05 F000.12 F000.02 R000.00 E000.00 359.93
1907-02-08 323_43 242_05 339_18 278_43 234_43 068_37 324_56 259_26 077_20 059_10 097_45 1.00 14.18 B000.07 F001.13 F000.55 F000.03 F000.13 F000.03 R359.98 F000.00 359.95
1907-02-09 324_43 256_16 339_22 279_51 235_16 068_39 325_04 259_28 077_19 059_10 097_42 1.00 14.20 R359.90 F001.12 F000.55 F000.02 F000.10 F000.05 R000.00 F000.00 359.95
1907-02-10 325_43 270_28 339_16 280_58 235_49 068_40 325_10 259_31 077_19 059_10 097_39 1.00 14.15 R359.78 F001.13 F000.52 F000.05 F000.15 F000.03 R000.00 F000.00 359.93
1907-02-11 326_43 284_37 339_03 282_06 236_20 068_43 325_19 259_33 077_19 059_10 097_35 1.00 14.10 R359.63 F001.12 F000.53 F000.05 F000.10 F000.02 R000.00 F000.00 359.95
1907-02-12 327_43 298_43 338_41 283_13 236_52 068_46 325_25 259_34 077_19 059_10 097_32 1.00 14.00 R359.50 F001.15 F000.55 F000.05 F000.15 F000.05 R000.00 F000.03 359.97
1907-02-13 328_43 312_43 338_11 284_22 237_25 068_49 325_34 259_37 077_19 059_12 097_30 1.00 13.80 R359.38 F001.13 F000.52 F000.05 F000.10 F000.02 R000.00 F000.00 359.92
1907-02-14 329_43 326_31 337_34 285_30 237_56 068_52 325_40 259_38 077_19 059_12 097_25 1.00 13.55 R359.30 F001.12 F000.53 F000.05 F000.13 F000.03 R359.97 F000.00 359.95
1907-02-15 330_43 340_04 336_52 286_37 238_28 068_55 325_48 259_40 077_17 059_12 097_22 1.00 13.25 R359.20 F001.15 F000.53 F000.05 F000.12 F000.02 R000.00 F000.00 359.95
1907-02-16 331_43 353_19 336_04 287_46 239_00 068_58 325_55 259_41 077_17 059_12 097_19 0.97 12.97 R359.15 F001.15 F000.52 F000.05 F000.13 F000.03 R000.00 F000.00 359.95
1907-02-17 332_41 006_17 335_13 288_55 239_31 069_01 326_03 259_43 077_17 059_12 097_16 1.00 12.63 R359.10 F001.13 F000.53 F000.07 F000.12 F000.03 R000.00 F000.00 359.95
1907-02-18 333_41 018_55 334_19 290_03 240_03 069_05 326_10 259_45 077_17 059_12 097_13 1.00 12.35 R359.10 F001.13 F000.52 F000.08 F000.13 F000.02 R000.00 F000.02 359.95
1907-02-19 334_41 031_16 333_25 291_11 240_34 069_10 326_18 259_46 077_17 059_13 097_10 0.98 12.10 R359.05 F001.13 F000.50 F000.05 F000.12 F000.03 R000.00 F000.00 359.95
1907-02-20 335_40 043_22 332_28 292_19 241_04 069_13 326_25 259_48 077_17 059_13 097_07 1.00 11.95 R359.10 F001.15 F000.52 F000.07 F000.10 F000.02 R359.98 F000.00 359.95
1907-02-21 336_40 055_19 331_34 293_28 241_35 069_17 326_31 259_49 077_16 059_13 097_04 1.00 11.83 R359.12 F001.15 F000.53 F000.08 F000.15 F000.03 R000.00 F000.00 359.95
1907-02-22 337_40 067_09 330_41 294_37 242_07 069_22 326_40 259_51 077_16 059_13 097_01 1.00 11.82 R359.18 F001.15 F000.50 F000.08 F000.10 F000.02 E000.00 F000.00 359.95
1907-02-23 338_40 078_58 329_52 295_46 242_37 069_27 326_46 259_52 077_16 059_13 096_58 1.00 11.90 R359.23 F001.15 F000.50 F000.07 F000.12 F000.02 F000.02 F000.00 359.95
1907-02-24 339_40 090_52 329_06 296_55 243_07 069_31 326_53 259_53 077_17 059_13 096_55 0.97 12.08 R359.32 F001.18 F000.50 F000.10 F000.13 F000.03 F000.00 F000.03 359.92
1907-02-25 340_38 102_57 328_25 298_06 243_37 069_37 327_01 259_55 077_17 059_15 096_50 0.98 12.30 R359.35 F001.12 F000.50 F000.05 F000.10 F000.00 F359.98 F359.97 359.93
1907-02-26 341_37 115_15 327_46 299_13 244_07 069_40 327_07 259_55 077_16 059_13 096_46 1.00 12.62 R359.50 F001.15 F000.50 F000.10 F000.13 F000.00 F000.00 F000.03 359.95
1907-02-27 342_37 127_52 327_16 300_22 244_37 069_46 327_15 259_55 077_16 059_15 096_43 0.98 12.97 R359.58 F001.18 F000.47 F000.10 F000.12 F000.05 F000.00 F000.00 359.95
1907-02-28 343_36 140_50 326_51 301_33 245_05 069_52 327_22 259_58 077_16 059_15 096_40 0.97 13.33 R359.67 F001.17 F000.50 F000.10 F000.10 F000.00 F000.00 F000.00 359.95
