1910-00-01 257_06 138_54 273_06 300_10 355_16 170_40 353_53 267_52 085_34 063_00 043_10 1.02 12.17 F001.50 F000.68 F000.50 F000.10 F000.03 F000.07 E359.97 E359.97 359.95
1910-00-02 258_07 151_04 274_36 300_51 355_46 170_46 353_55 267_56 085_32 062_58 043_07 1.02 12.00 F001.50 F000.62 F000.55 F000.07 F000.02 F000.07 R359.98 R000.00 359.95
1910-00-03 259_08 163_04 276_06 301_28 356_19 170_50 353_56 268_00 085_31 062_58 043_04 1.03 11.85 F001.45 F000.63 F000.53 F000.08 F000.03 F000.07 R359.98 R359.98 359.93
1910-00-04 260_10 174_55 277_33 302_06 356_51 170_55 353_58 268_04 085_30 062_57 043_00 1.00 11.83 F001.42 F000.57 F000.52 F000.08 F000.05 F000.05 R359.97 R359.97 359.95
1910-00-05 261_10 186_45 278_58 302_40 357_22 171_00 354_01 268_07 085_28 062_55 042_57 1.02 11.87 F001.38 F000.60 F000.55 F000.07 F000.00 F000.05 R359.95 R000.00 359.93
1910-00-06 262_11 198_37 280_21 303_16 357_55 171_04 354_01 268_10 085_25 062_55 042_53 1.03 12.00 F001.32 F000.53 F000.52 F000.08 F000.05 F000.08 R000.00 R359.97 359.97
1910-00-07 263_13 210_37 281_40 303_48 358_26 171_09 354_04 268_15 085_25 062_53 042_51 1.03 12.22 F001.30 F000.52 F000.53 F000.07 F000.03 F000.05 R359.95 R359.98 359.93
1910-00-08 264_15 222_50 282_58 304_19 358_58 171_13 354_06 268_18 085_22 062_52 042_47 1.02 12.48 F001.20 F000.50 F000.55 F000.05 F000.03 F000.07 R359.97 R359.98 359.93
1910-00-09 265_16 235_19 284_10 304_49 359_31 171_16 354_08 268_22 085_20 062_51 042_43 1.00 12.80 F001.10 F000.45 F000.55 F000.05 F000.03 F000.05 R359.98 R359.97 359.95
1910-00-10 266_16 248_07 285_16 305_16 000_04 171_19 354_10 268_25 085_19 062_49 042_40 1.03 13.10 F001.05 F000.45 F000.55 F000.08 F000.05 F000.05 R359.97 R000.00 359.95
1910-00-11 267_18 261_13 286_19 305_43 000_37 171_24 354_13 268_28 085_17 062_49 042_37 1.02 13.40 F000.93 F000.40 F000.55 F000.03 F000.05 F000.05 R359.98 R359.97 359.95
1910-00-12 268_19 274_37 287_15 306_07 001_10 171_26 354_16 268_31 085_16 062_47 042_34 1.00 13.70 F000.80 F000.38 F000.55 F000.08 F000.03 F000.08 R359.95 R359.98 359.95
1910-00-13 269_19 288_19 288_03 306_30 001_43 171_31 354_18 268_36 085_13 062_46 042_31 1.03 13.90 F000.67 F000.35 F000.55 F000.05 F000.05 F000.07 R000.00 R000.00 359.95
1910-00-14 270_21 302_13 288_43 306_51 002_16 171_34 354_21 268_40 085_13 062_46 042_28 1.02 14.08 F000.50 F000.28 F000.55 F000.02 F000.03 F000.05 R359.95 R359.98 359.95
1910-00-15 271_22 316_18 289_13 307_08 002_49 171_35 354_23 268_43 085_10 062_45 042_25 1.02 14.13 F000.38 F000.28 F000.57 F000.07 F000.05 F000.05 R359.98 R359.97 359.95
1910-00-16 272_23 330_26 289_36 307_25 003_23 171_39 354_26 268_46 085_09 062_43 042_22 1.03 14.18 F000.17 F000.25 F000.57 F000.03 F000.03 F000.05 R359.97 R000.00 359.95
1910-00-17 273_25 344_37 289_46 307_40 003_57 171_41 354_28 268_49 085_07 062_43 042_19 1.00 14.15 B000.00 F000.20 F000.57 F000.03 F000.08 F000.07 R359.97 R359.98 359.95
1910-00-18 274_25 358_46 289_46 307_52 004_31 171_43 354_33 268_53 085_05 062_42 042_16 1.02 14.13 R359.80 F000.18 F000.55 F000.05 F000.05 F000.05 R359.98 R359.97 359.95
1910-00-19 275_26 012_54 289_34 308_03 005_04 171_46 354_36 268_56 085_04 062_40 042_13 1.03 14.02 R359.60 F000.12 F000.58 F000.03 F000.03 F000.08 R359.97 R000.00 359.95
1910-00-20 276_28 026_55 289_10 308_10 005_39 171_48 354_38 269_01 085_02 062_40 042_10 1.00 13.97 R359.40 F000.10 F000.57 F000.02 F000.05 F000.05 R359.98 R359.97 359.93
1910-00-21 277_28 040_53 288_34 308_16 006_13 171_49 354_41 269_04 085_01 062_38 042_06 1.03 13.88 R359.25 F000.05 F000.55 F000.02 F000.08 F000.05 R359.95 R359.98 359.93
1910-00-22 278_30 054_46 287_49 308_19 006_46 171_50 354_46 269_07 084_58 062_37 042_02 1.02 13.75 R359.05 B000.00 F000.57 F000.03 F000.05 F000.05 R000.00 R000.00 359.97
1910-00-23 279_31 068_31 286_52 308_19 007_20 171_52 354_49 269_10 084_58 062_37 042_00 1.00 13.60 R358.95 R359.98 F000.58 F000.03 F000.05 F000.08 R359.95 R359.98 359.95
