1912-00-01 256_34 026_49 242_56 212_56 031_41 221_54 020_52 275_37 090_07 065_07 004_28 1.03 14.55 E359.40 F001.18 F000.03 F000.18 E359.98 F000.05 E359.97 E359.97 359.95
1912-00-02 257_36 041_22 242_20 214_07 031_43 222_05 020_51 275_40 090_05 065_05 004_25 1.02 14.95 R359.58 F001.15 F000.05 F000.22 R359.97 F000.05 R359.98 R359.98 359.95
1912-00-03 258_37 056_19 241_55 215_16 031_46 222_18 020_49 275_43 090_04 065_04 004_22 1.02 15.25 R359.73 F001.17 F000.08 F000.20 R359.98 F000.05 R359.97 R000.00 359.95
1912-00-04 259_38 071_34 241_39 216_26 031_51 222_30 020_48 275_46 090_02 065_04 004_19 1.03 15.38 R359.90 F001.18 F000.07 F000.18 R359.97 F000.08 R359.98 R359.97 359.95
1912-00-05 260_40 086_57 241_33 217_37 031_55 222_41 020_46 275_51 090_01 065_02 004_16 1.00 15.32 E000.07 F001.18 F000.10 F000.22 R000.00 F000.03 R359.98 R359.98 359.95
1912-00-06 261_40 102_16 241_37 218_48 032_01 222_54 020_46 275_53 090_00 065_01 004_13 1.02 15.05 F000.18 F001.17 F000.08 F000.18 R359.98 F000.08 R359.97 R000.00 359.95
1912-00-07 262_41 117_19 241_48 219_58 032_06 223_05 020_45 275_58 089_58 065_01 004_10 1.03 14.65 F000.32 F001.18 F000.12 F000.18 R359.97 F000.05 R359.95 R359.98 359.92
1912-00-08 263_43 131_58 242_07 221_09 032_13 223_16 020_43 276_01 089_55 065_00 004_05 1.00 14.15 F000.45 F001.17 F000.10 F000.20 R000.00 F000.05 R000.00 R359.97 359.95
1912-00-09 264_43 146_07 242_34 222_19 032_19 223_28 020_43 276_04 089_55 064_58 004_02 1.03 13.65 F000.52 F001.20 F000.15 F000.20 R359.97 F000.05 R359.95 R359.98 359.97
1912-00-10 265_45 159_46 243_05 223_31 032_28 223_40 020_41 276_07 089_52 064_57 004_00 1.02 13.20 F000.67 F001.17 F000.13 F000.20 R000.00 F000.07 R359.97 R359.97 359.95
1912-00-11 266_46 172_58 243_45 224_41 032_36 223_52 020_41 276_11 089_50 064_55 003_57 1.03 12.75 F000.72 F001.18 F000.15 F000.18 R359.98 F000.07 R359.98 R000.00 359.93
1912-00-12 267_48 185_43 244_28 225_52 032_45 224_03 020_40 276_15 089_49 064_55 003_53 1.02 12.45 F000.80 F001.20 F000.17 F000.20 R000.00 F000.07 R359.97 R359.98 359.97
1912-00-13 268_49 198_10 245_16 227_04 032_55 224_15 020_40 276_19 089_47 064_54 003_51 1.00 12.20 F000.85 F001.18 F000.18 F000.17 R000.00 F000.05 R359.98 R359.97 359.92
1912-00-14 269_49 210_22 246_07 228_15 033_06 224_25 020_40 276_22 089_46 064_52 003_46 1.03 12.00 F000.95 F001.18 F000.17 F000.20 R000.00 F000.05 R359.95 R000.00 359.95
1912-00-15 270_51 222_22 247_04 229_26 033_16 224_37 020_40 276_25 089_43 064_52 003_43 1.02 11.90 F001.00 F001.18 F000.20 F000.18 E000.00 F000.05 R000.00 R359.97 359.95
1912-00-16 271_52 234_16 248_04 230_37 033_28 224_48 020_40 276_28 089_43 064_50 003_40 1.00 11.88 F001.02 F001.20 F000.20 F000.17 F000.00 F000.08 R359.95 R359.98 359.95
1912-00-17 272_52 246_09 249_05 231_49 033_40 224_58 020_40 276_33 089_40 064_49 003_37 1.05 11.85 F001.08 F001.20 F000.20 F000.20 F000.00 F000.05 R359.98 R000.00 359.95
1912-00-18 273_55 258_00 250_10 233_01 033_52 225_10 020_40 276_36 089_39 064_49 003_34 1.00 11.87 F001.13 F001.20 F000.23 F000.17 F000.00 F000.07 R359.97 R359.97 359.95
1912-00-19 274_55 269_52 251_18 234_13 034_06 225_20 020_40 276_40 089_37 064_47 003_31 1.02 11.90 F001.17 F001.20 F000.22 F000.18 F000.00 F000.05 R359.97 R359.98 359.95
1912-00-20 275_56 281_46 252_28 235_25 034_19 225_31 020_40 276_43 089_35 064_46 003_28 1.03 11.98 F001.18 F001.20 F000.25 F000.17 F000.02 F000.05 R359.98 R000.00 359.95
1912-00-21 276_58 293_45 253_39 236_37 034_34 225_41 020_41 276_46 089_34 064_46 003_25 1.00 12.05 F001.22 F001.20 F000.25 F000.18 F000.00 F000.05 R359.97 R359.98 359.95
1912-00-22 277_58 305_48 254_52 237_49 034_49 225_52 020_41 276_49 089_32 064_45 003_22 1.03 12.17 F001.25 F001.18 F000.25 F000.18 F000.03 F000.07 R359.98 R359.97 359.95
1912-00-23 279_00 317_58 256_07 239_00 035_04 226_03 020_43 276_53 089_31 064_43 003_19 1.02 12.30 F001.27 F001.22 F000.25 F000.17 F000.00 F000.08 R359.95 R000.00 359.95
1912-00-24 280_01 330_16 257_23 240_13 035_19 226_13 020_43 276_58 089_28 064_43 003_16 1.00 12.50 F001.30 F001.20 F000.30 F000.18 F000.03 F000.05 R000.00 R359.98 359.93
1912-00-25 281_01 342_46 258_41 241_25 035_37 226_24 020_45 277_01 089_28 064_42 003_12 1.03 12.73 F001.33 F001.20 F000.27 F000.17 F000.02 F000.05 R359.95 R359.97 359.93
1912-00-26 282_03 355_30 260_01 242_37 035_53 226_34 020_46 277_04 089_25 064_40 003_08 1.02 13.05 F001.35 F001.20 F000.28 F000.15 F000.00 F000.05 R359.98 R000.00 359.97
1912-00-27 283_04 008_33 261_22 243_49 036_10 226_43 020_46 277_07 089_24 064_40 003_06 1.00 13.38 F001.35 F001.20 F000.30 F000.18 F000.05 F000.07 R359.97 R359.98 359.93
1912-00-28 284_04 021_56 262_43 245_01 036_28 226_54 020_49 277_11 089_22 064_39 003_02 1.03 13.83 F001.38 F001.20 F000.30 F000.17 F000.00 F000.07 R359.97 R359.97 359.97
1912-00-29 285_06 035_46 264_06 246_13 036_46 227_04 020_49 277_15 089_20 064_37 003_00 1.02 14.27 F001.40 F001.20 F000.30 F000.15 F000.05 F000.07 R359.98 R000.00 359.95
1912-00-30 286_07 050_02 265_30 247_25 037_04 227_13 020_52 277_19 089_19 064_37 002_57 1.00 14.68 F001.42 F001.20 F000.32 F000.18 F000.00 F000.05 R359.97 R000.00 359.92
1912-00-31 287_07 064_43 266_55 248_37 037_23 227_24 020_52 277_22 089_17 064_37 002_52 1.02 15.03 F001.43 F001.22 F000.33 F000.15 F000.05 F000.05 R359.98 R359.97 359.95
1912-01-01 288_08 079_45 268_21 249_50 037_43 227_33 020_55 277_25 089_16 064_35 002_49 1.03 15.22 F001.42 F001.22 F000.35 F000.17 F000.02 F000.05 R359.98 R359.98 359.95
1912-01-02 289_10 094_58 269_46 251_03 038_04 227_43 020_56 277_28 089_15 064_34 002_46 1.00 15.23 F001.48 F001.22 F000.32 F000.15 F000.03 F000.08 R359.97 R000.00 359.95
1912-01-03 290_10 110_12 271_15 252_16 038_23 227_52 020_58 277_33 089_13 064_34 002_43 1.00 15.07 F001.47 F001.20 F000.33 F000.15 F000.05 F000.05 R359.95 R359.97 359.95
1912-01-04 291_10 125_16 272_43 253_28 038_43 228_01 021_01 277_36 089_10 064_32 002_40 1.02 14.75 F001.47 F001.20 F000.35 F000.15 F000.03 F000.07 R000.00 R000.00 359.95
1912-01-05 292_11 140_01 274_11 254_40 039_04 228_10 021_03 277_40 089_10 064_32 002_37 1.03 14.30 F001.50 F001.23 F000.35 F000.15 F000.02 F000.05 R359.95 R359.98 359.95
1912-01-06 293_13 154_19 275_41 255_54 039_25 228_19 021_04 277_43 089_07 064_31 002_34 1.00 13.83 F001.53 F001.20 F000.37 F000.15 F000.05 F000.05 R000.00 R000.00 359.95
1912-01-07 294_13 168_09 277_13 257_06 039_47 228_28 021_07 277_46 089_07 064_31 002_31 1.00 13.32 F001.50 F001.22 F000.38 F000.15 F000.05 F000.05 R359.95 R359.98 359.95
1912-01-08 295_13 181_28 278_43 258_19 040_10 228_37 021_10 277_49 089_04 064_30 002_28 1.03 12.87 F001.55 F001.20 F000.35 F000.13 F000.05 F000.05 R000.00 R000.00 359.95
1912-01-09 296_15 194_20 280_16 259_31 040_31 228_45 021_13 277_52 089_04 064_30 002_25 1.02 12.53 F001.55 F001.23 F000.40 F000.15 F000.05 F000.07 R359.95 R359.97 359.95
1912-01-10 297_16 206_52 281_49 260_45 040_55 228_54 021_16 277_56 089_01 064_28 002_22 1.00 12.20 F001.57 F001.22 F000.37 F000.12 F000.03 F000.07 R000.00 R000.00 359.92
1912-01-11 298_16 219_04 283_23 261_58 041_17 229_01 021_18 278_00 089_01 064_28 002_17 1.00 12.02 F001.58 F001.20 F000.38 F000.15 F000.05 F000.05 R359.98 R000.00 359.97
1912-01-12 299_16 231_05 284_58 263_10 041_40 229_10 021_21 278_03 089_00 064_28 002_15 1.03 11.88 F001.60 F001.22 F000.40 F000.15 F000.03 F000.07 R359.97 R359.98 359.95
1912-01-13 300_18 242_58 286_34 264_23 042_04 229_19 021_23 278_07 088_58 064_27 002_12 1.02 11.85 F001.60 F001.23 F000.40 F000.12 F000.05 F000.05 R359.98 R000.00 359.93
1912-01-14 301_19 254_49 288_10 265_37 042_28 229_26 021_26 278_10 088_57 064_27 002_08 1.00 11.85 F001.65 F001.20 F000.40 F000.13 F000.08 F000.05 R359.97 R359.97 359.97
1912-01-15 302_19 266_40 289_49 266_49 042_52 229_34 021_31 278_13 088_55 064_25 002_06 1.00 11.90 F001.62 F001.23 F000.40 F000.12 F000.05 F000.05 R359.98 R000.00 359.93
1912-01-16 303_19 278_34 291_26 268_03 043_16 229_41 021_34 278_16 088_54 064_25 002_02 1.03 12.00 F001.67 F001.22 F000.43 F000.13 F000.05 F000.05 R359.97 R000.00 359.93
1912-01-17 304_21 290_34 293_06 269_16 043_42 229_49 021_37 278_19 088_52 064_25 001_58 1.00 12.10 F001.67 F001.20 F000.40 F000.12 F000.05 F000.05 R359.97 R359.98 359.95
1912-01-18 305_21 302_40 294_46 270_28 044_06 229_56 021_40 278_22 088_50 064_24 001_55 1.02 12.25 F001.67 F001.22 F000.42 F000.13 F000.08 F000.05 R359.98 R000.00 359.95
1912-01-19 306_22 314_55 296_26 271_41 044_31 230_04 021_45 278_25 088_49 064_24 001_52 1.00 12.38 F001.70 F001.23 F000.43 F000.12 F000.05 F000.08 R000.00 R000.00 359.95
1912-01-20 307_22 327_18 298_08 272_55 044_57 230_11 021_48 278_30 088_49 064_24 001_49 1.00 12.55 F001.73 F001.20 F000.42 F000.13 F000.07 F000.05 R359.97 R359.97 359.95
1912-01-21 308_22 339_51 299_52 274_07 045_22 230_19 021_52 278_33 088_47 064_22 001_46 1.00 12.72 F001.73 F001.25 F000.45 F000.10 F000.05 F000.05 R359.98 R000.00 359.95
1912-01-22 309_22 352_34 301_36 275_22 045_49 230_25 021_55 278_36 088_46 064_22 001_43 1.02 12.93 F001.72 F001.20 F000.43 F000.10 F000.08 F000.03 R359.98 R000.00 359.95
1912-01-23 310_23 005_30 303_19 276_34 046_15 230_31 022_00 278_38 088_45 064_22 001_40 1.00 13.17 F001.78 F001.23 F000.42 F000.13 F000.07 F000.05 R359.97 R000.00 359.95
1912-01-24 311_23 018_40 305_06 277_48 046_40 230_39 022_04 278_41 088_43 064_22 001_37 1.00 13.43 F001.77 F001.22 F000.45 F000.10 F000.05 F000.07 R000.00 R359.97 359.95
1912-01-25 312_23 032_06 306_52 279_01 047_07 230_45 022_07 278_45 088_43 064_20 001_34 1.03 13.75 F001.80 F001.23 F000.45 F000.12 F000.07 F000.05 R359.98 R000.00 359.95
1912-01-26 313_25 045_51 308_40 280_15 047_34 230_52 022_11 278_48 088_42 064_20 001_31 1.00 14.07 F001.80 F001.22 F000.45 F000.10 F000.08 F000.05 R359.97 R000.00 359.95
1912-01-27 314_25 059_55 310_28 281_28 048_01 230_58 022_16 278_51 088_40 064_20 001_28 1.00 14.35 F001.85 F001.20 F000.45 F000.10 F000.08 F000.03 R000.00 R000.00 359.92
1912-01-28 315_25 074_16 312_19 282_40 048_28 231_04 022_21 278_53 088_40 064_20 001_23 1.00 14.65 F001.82 F001.22 F000.48 F000.10 F000.07 F000.05 R359.98 R359.98 359.97
1912-01-29 316_25 088_55 314_08 283_53 048_57 231_10 022_25 278_56 088_39 064_19 001_21 1.00 14.80 F001.88 F001.23 F000.43 F000.08 F000.08 F000.07 R359.97 R000.00 359.95
1912-02-01 317_25 103_43 316_01 285_07 049_23 231_15 022_30 279_00 088_37 064_19 001_18 1.00 14.85 F001.85 F001.23 F000.48 F000.08 F000.07 F000.05 R000.00 R000.00 359.95
1912-02-02 318_25 118_34 317_52 286_21 049_52 231_20 022_34 279_03 088_37 064_19 001_15 1.00 14.80 F001.90 F001.22 F000.45 F000.08 F000.10 F000.05 R359.97 R000.00 359.93
1912-02-03 319_25 133_22 319_46 287_34 050_19 231_25 022_40 279_06 088_35 064_19 001_11 1.00 14.55 F001.90 F001.23 F000.47 F000.10 F000.08 F000.03 R359.98 R000.00 359.95
1912-02-04 320_25 147_55 321_40 288_48 050_47 231_31 022_45 279_08 088_34 064_19 001_08 1.00 14.20 F001.93 F001.22 F000.48 F000.07 F000.07 F000.05 R000.00 R000.00 359.93
1912-02-05 321_25 162_07 323_36 290_01 051_16 231_35 022_49 279_11 088_34 064_19 001_04 1.00 13.82 F001.92 F001.23 F000.48 F000.08 F000.10 F000.07 R359.97 R000.00 359.95
1912-02-06 322_25 175_56 325_31 291_15 051_45 231_40 022_55 279_15 088_32 064_19 001_01 1.00 13.38 F001.95 F001.22 F000.47 F000.10 F000.08 F000.05 R359.98 R000.00 359.95
1912-02-07 323_25 189_19 327_28 292_28 052_13 231_46 023_00 279_18 088_31 064_19 000_58 1.00 13.00 F001.95 F001.22 F000.50 F000.05 F000.07 F000.02 R000.00 R000.00 359.95
1912-02-08 324_25 202_19 329_25 293_41 052_43 231_49 023_04 279_19 088_31 064_19 000_55 1.00 12.60 F001.95 F001.23 F000.48 F000.10 F000.10 F000.05 R000.00 R000.00 359.95
1912-02-09 325_25 214_55 331_22 294_55 053_12 231_55 023_10 279_22 088_31 064_19 000_52 1.00 12.30 F001.95 F001.22 F000.47 F000.05 F000.08 F000.05 R359.98 R000.00 359.95
1912-02-10 326_25 227_13 333_19 296_08 053_40 231_58 023_15 279_25 088_30 064_19 000_49 1.00 12.08 F001.98 F001.23 F000.50 F000.08 F000.10 F000.05 R359.97 R000.00 359.95
1912-02-11 327_25 239_18 335_18 297_22 054_10 232_03 023_21 279_28 088_28 064_19 000_46 1.00 11.92 F001.95 F001.23 F000.50 F000.07 F000.07 F000.05 R000.00 E000.00 359.95
1912-02-12 328_25 251_13 337_15 298_36 054_40 232_07 023_25 279_31 088_28 064_19 000_43 1.00 11.88 F001.93 F001.22 F000.50 F000.05 F000.10 F000.05 R000.00 F000.00 359.95
1912-02-13 329_25 263_06 339_11 299_49 055_10 232_10 023_31 279_34 088_28 064_19 000_40 1.00 11.87 F001.93 F001.23 F000.50 F000.05 F000.10 F000.03 R359.98 F000.00 359.95
1912-02-14 330_25 274_58 341_07 301_03 055_40 232_13 023_37 279_36 088_27 064_19 000_37 1.00 11.95 F001.93 F001.22 F000.50 F000.05 F000.10 F000.03 R000.00 F000.00 359.95
1912-02-15 331_25 286_55 343_03 302_16 056_10 232_16 023_43 279_38 088_27 064_19 000_34 1.00 12.05 F001.87 F001.23 F000.50 F000.05 F000.10 F000.03 R359.97 F000.00 359.93
1912-02-16 332_25 298_58 344_55 303_30 056_40 232_19 023_49 279_40 088_25 064_19 000_30 1.00 12.25 F001.88 F001.22 F000.50 F000.05 F000.10 F000.05 R000.00 F000.00 359.95
1912-02-17 333_25 311_13 346_48 304_43 057_10 232_22 023_55 279_43 088_25 064_19 000_27 0.97 12.45 F001.82 F001.22 F000.50 F000.05 F000.10 F000.05 R000.00 F000.00 359.95
1912-02-18 334_23 323_40 348_37 305_56 057_40 232_25 024_01 279_46 088_25 064_19 000_24 1.00 12.65 F001.75 F001.23 F000.50 F000.05 F000.10 F000.03 R359.98 F000.00 359.95
1912-02-19 335_23 336_19 350_22 307_10 058_10 232_28 024_07 279_48 088_24 064_19 000_21 1.00 12.85 F001.73 F001.22 F000.50 F000.05 F000.10 F000.05 R000.00 F000.00 359.95
1912-02-20 336_23 349_10 352_06 308_23 058_40 232_31 024_13 279_51 088_24 064_19 000_18 0.98 13.08 F001.67 F001.23 F000.53 F000.03 F000.10 F000.02 R000.00 F000.00 359.92
1912-02-21 337_22 002_15 353_46 309_37 059_12 232_33 024_19 279_52 088_24 064_19 000_13 1.00 13.30 F001.58 F001.23 F000.52 F000.03 F000.10 F000.05 R359.97 F000.00 359.95
1912-02-22 338_22 015_33 355_21 310_51 059_43 232_35 024_25 279_55 088_22 064_19 000_10 1.00 13.50 F001.50 F001.22 F000.50 F000.03 F000.10 F000.02 R000.00 F000.00 359.95
1912-02-23 339_22 029_03 356_51 312_04 060_13 232_37 024_31 279_56 088_22 064_19 000_07 1.00 13.67 F001.42 F001.23 F000.53 F000.03 F000.10 F000.03 R000.00 F000.00 359.95
1912-02-24 340_22 042_43 358_16 313_18 060_45 232_39 024_37 279_58 088_22 064_19 000_04 0.98 13.90 F001.35 F001.22 F000.52 F000.02 F000.10 F000.05 R000.00 F000.02 359.95
1912-02-25 341_21 056_37 359_37 314_31 061_16 232_40 024_43 280_01 088_22 064_20 000_01 1.00 14.05 F001.23 F001.23 F000.52 F000.02 F000.10 F000.05 R000.00 F000.00 359.95
