1913-00-01 257_21 181_54 235_19 300_04 240_18 246_56 035_13 279_31 092_24 066_12 345_06 1.02 13.27 F001.20 F001.18 F000.72 F000.23 E359.95 F000.08 E359.97 E359.97 359.95
1913-00-02 258_22 195_10 236_31 301_15 241_01 247_10 035_10 279_36 092_22 066_10 345_03 1.02 13.05 F001.25 F001.17 F000.75 F000.23 R359.97 F000.03 R359.95 R359.98 359.95
1913-00-03 259_23 208_13 237_46 302_25 241_46 247_24 035_08 279_38 092_19 066_09 345_00 1.03 12.85 F001.25 F001.18 F000.73 F000.22 R359.97 F000.05 R000.00 R359.97 359.92
1913-00-04 260_25 221_04 239_01 303_36 242_30 247_37 035_06 279_41 092_19 066_07 344_55 1.00 12.68 F001.30 F001.17 F000.72 F000.25 R359.93 F000.08 R359.95 R000.00 359.95
1913-00-05 261_25 233_45 240_19 304_46 243_13 247_52 035_02 279_46 092_16 066_07 344_52 1.02 12.50 F001.30 F001.15 F000.75 F000.20 R359.98 F000.05 R359.98 R359.97 359.95
1913-00-06 262_26 246_15 241_37 305_55 243_58 248_04 035_01 279_49 092_15 066_05 344_49 1.03 12.32 F001.32 F001.18 F000.75 F000.25 R359.95 F000.05 R359.97 R359.98 359.95
1913-00-07 263_28 258_34 242_56 307_06 244_43 248_19 034_58 279_52 092_13 066_04 344_46 1.03 12.20 F001.37 F001.17 F000.75 F000.20 R359.95 F000.05 R359.98 R000.00 359.95
1913-00-08 264_30 270_46 244_18 308_16 245_28 248_31 034_55 279_55 092_12 066_04 344_43 1.02 12.05 F001.37 F001.15 F000.72 F000.25 R359.97 F000.05 R359.97 R359.97 359.95
1913-00-09 265_31 282_49 245_40 309_25 246_11 248_46 034_53 279_58 092_10 066_02 344_40 1.00 11.90 F001.38 F001.15 F000.75 F000.20 R359.98 F000.08 R359.98 R359.98 359.95
1913-00-10 266_31 294_43 247_03 310_34 246_56 248_58 034_52 280_03 092_09 066_01 344_37 1.03 11.85 F001.38 F001.15 F000.73 F000.25 R359.95 F000.05 R359.97 R359.98 359.95
1913-00-11 267_33 306_34 248_26 311_43 247_40 249_13 034_49 280_06 092_07 066_00 344_34 1.02 11.78 F001.43 F001.17 F000.75 F000.20 R359.97 F000.07 R359.95 R359.97 359.95
1913-00-12 268_34 318_21 249_52 312_53 248_25 249_25 034_47 280_10 092_04 065_58 344_31 1.00 11.78 F001.43 F001.17 F000.75 F000.23 R359.98 F000.05 R000.00 R000.00 359.95
1913-00-13 269_34 330_08 251_18 314_03 249_10 249_39 034_46 280_13 092_04 065_58 344_28 1.03 11.88 F001.42 F001.12 F000.75 F000.22 R359.95 F000.05 R359.95 R359.98 359.95
1913-00-14 270_36 342_01 252_43 315_10 249_55 249_52 034_43 280_16 092_01 065_57 344_25 1.02 12.08 F001.47 F001.15 F000.75 F000.22 R359.98 F000.05 R359.98 R359.97 359.93
1913-00-15 271_37 354_06 254_11 316_19 250_40 250_05 034_42 280_19 092_00 065_55 344_21 1.02 12.35 F001.47 F001.15 F000.73 F000.23 R359.97 F000.07 R359.97 R000.00 359.95
1913-00-16 272_38 006_27 255_39 317_28 251_24 250_19 034_40 280_23 091_58 065_55 344_18 1.03 12.67 F001.47 F001.15 F000.75 F000.20 R000.00 F000.05 R359.98 R359.98 359.95
