1914-00-01 257_06 308_33 243_07 247_04 083_52 272_31 050_07 283_22 094_40 067_16 325_45 1.02 12.02 F001.50 F001.25 E359.60 F000.23 E359.90 F000.05 E359.95 E359.98 359.93
1914-00-02 258_07 320_34 244_37 248_19 083_28 272_45 050_01 283_25 094_37 067_15 325_41 1.00 11.87 F001.50 F001.25 R359.60 F000.22 R359.95 F000.05 R359.97 R359.97 359.95
1914-00-03 259_07 332_26 246_07 249_34 083_04 272_58 049_58 283_28 094_35 067_13 325_38 1.02 11.82 F001.53 F001.25 R359.60 F000.25 R359.95 F000.05 R359.98 R000.00 359.97
1914-00-04 260_08 344_15 247_39 250_49 082_40 273_13 049_55 283_31 094_34 067_13 325_36 1.03 11.82 F001.52 F001.27 R359.60 F000.22 R359.93 F000.05 R359.97 R359.98 359.95
1914-00-05 261_10 356_04 249_10 252_05 082_16 273_26 049_51 283_34 094_32 067_12 325_33 1.02 11.90 F001.52 F001.25 R359.60 F000.23 R359.92 F000.07 R359.98 R359.97 359.92
1914-00-06 262_11 007_58 250_41 253_20 081_52 273_40 049_46 283_38 094_31 067_10 325_28 1.03 12.15 F001.57 F001.28 R359.60 F000.25 R359.95 F000.05 R359.98 R359.98 359.95
1914-00-07 263_13 020_07 252_15 254_37 081_28 273_55 049_43 283_41 094_30 067_09 325_25 1.00 12.38 F001.52 F001.25 R359.60 F000.22 R359.95 F000.07 R359.97 R359.97 359.95
1914-00-08 264_13 032_30 253_46 255_52 081_04 274_08 049_40 283_45 094_28 067_07 325_22 1.03 12.72 F001.57 F001.25 R359.60 F000.23 R359.93 F000.07 R359.98 R000.00 359.95
1914-00-09 265_15 045_13 255_20 257_07 080_40 274_22 049_36 283_49 094_27 067_07 325_19 1.02 13.10 F001.55 F001.25 R359.62 F000.25 R359.93 F000.05 R359.97 R359.97 359.95
1914-00-10 266_16 058_19 256_53 258_22 080_17 274_37 049_32 283_52 094_25 067_05 325_16 1.00 13.43 F001.58 F001.25 R359.63 F000.23 R359.93 F000.05 R359.95 R359.98 359.95
1914-00-11 267_16 071_45 258_28 259_37 079_55 274_51 049_28 283_55 094_22 067_04 325_13 1.03 13.77 F001.58 F001.27 R359.60 F000.22 R359.95 F000.05 R000.00 R000.00 359.95
1914-00-12 268_18 085_31 260_03 260_53 079_31 275_04 049_25 283_58 094_22 067_04 325_10 1.02 14.05 F001.57 F001.25 R359.65 F000.25 R359.95 F000.05 R359.95 R359.97 359.95
1914-00-13 269_19 099_34 261_37 262_08 079_10 275_19 049_22 284_01 094_19 067_02 325_07 1.03 14.25 F001.60 F001.28 R359.62 F000.23 R359.95 F000.08 R359.97 R359.98 359.95
1914-00-14 270_21 113_49 263_13 263_25 078_47 275_33 049_19 284_06 094_17 067_01 325_04 1.02 14.33 F001.60 F001.25 R359.67 F000.22 R359.95 F000.03 R359.98 R000.00 359.95
1914-00-15 271_22 128_09 264_49 264_40 078_27 275_46 049_16 284_08 094_16 067_01 325_01 1.00 14.37 F001.60 F001.25 R359.63 F000.25 R359.95 F000.08 R359.98 R359.95 359.95
1914-00-16 272_22 142_31 266_25 265_55 078_05 276_01 049_13 284_13 094_15 066_58 324_58 1.02 14.30 F001.60 F001.25 R359.67 F000.23 R359.95 F000.05 R359.97 R000.00 359.92
1914-00-17 273_23 156_49 268_01 267_10 077_45 276_15 049_10 284_16 094_13 066_58 324_53 1.03 14.23 F001.65 F001.25 R359.67 F000.25 R359.95 F000.05 R359.95 R359.98 359.97
1914-00-18 274_25 171_03 269_40 268_25 077_25 276_30 049_07 284_19 094_10 066_57 324_51 1.00 14.12 F001.63 F001.27 R359.67 F000.22 R359.95 F000.05 R000.00 R359.97 359.95
1914-00-19 275_25 185_10 271_18 269_41 077_05 276_43 049_04 284_22 094_10 066_55 324_48 1.02 13.95 F001.62 F001.25 R359.68 F000.25 R359.97 F000.05 R359.95 R000.00 359.95
1914-00-20 276_26 199_07 272_55 270_56 076_46 276_58 049_02 284_25 094_07 066_55 324_45 1.03 13.85 F001.65 F001.28 R359.70 F000.22 R359.97 F000.08 R359.97 R359.98 359.93
1914-00-21 277_28 212_58 274_34 272_13 076_28 277_11 049_00 284_30 094_05 066_54 324_41 1.00 13.65 F001.68 F001.25 R359.70 F000.23 R359.97 F000.05 R359.98 R359.97 359.95
1914-00-22 278_28 226_37 276_15 273_28 076_10 277_25 048_58 284_33 094_04 066_52 324_38 1.03 13.50 F001.67 F001.25 R359.73 F000.25 R359.95 F000.07 R359.97 R000.00 359.93
1914-00-23 279_30 240_07 277_55 274_43 075_54 277_40 048_55 284_37 094_02 066_52 324_34 1.02 13.30 F001.68 F001.25 R359.72 F000.25 R359.97 F000.05 R359.98 R359.97 359.95
1914-00-24 280_31 253_25 279_36 275_58 075_37 277_55 048_53 284_40 094_01 066_50 324_31 1.00 13.10 F001.70 F001.25 R359.75 F000.22 R359.98 F000.05 R359.98 R359.98 359.95
1914-00-25 281_31 266_31 281_18 277_13 075_22 278_08 048_52 284_43 094_00 066_49 324_28 1.03 12.85 F001.70 F001.28 R359.75 F000.23 R359.95 F000.05 R359.97 R000.00 359.95
1914-00-26 282_33 279_22 283_00 278_30 075_07 278_22 048_49 284_46 093_58 066_49 324_25 1.02 12.60 F001.68 F001.25 R359.80 F000.25 R359.97 F000.08 R359.95 R359.97 359.95
1914-00-27 283_34 291_58 284_41 279_45 074_55 278_37 048_47 284_51 093_55 066_47 324_22 1.00 12.35 F001.73 F001.25 R359.75 F000.23 R359.98 F000.07 R000.00 R359.98 359.95
1914-00-28 284_34 304_19 286_25 281_00 074_40 278_51 048_46 284_55 093_55 066_46 324_19 1.03 12.18 F001.75 F001.27 R359.80 F000.22 R359.95 F000.05 R359.95 R000.00 359.95
1914-00-29 285_36 316_30 288_10 282_16 074_28 279_04 048_43 284_58 093_52 066_46 324_16 1.02 11.97 F001.72 F001.25 R359.82 F000.25 R000.00 F000.05 R359.97 R000.00 359.95
1914-00-30 286_37 328_28 289_53 283_31 074_17 279_19 048_43 285_01 093_50 066_46 324_13 1.00 11.85 F001.78 F001.25 R359.83 F000.25 R359.98 F000.05 R359.98 R359.98 359.95
1914-00-31 287_37 340_19 291_40 284_46 074_07 279_34 048_42 285_04 093_49 066_45 324_10 1.02 11.80 F001.75 F001.25 R359.83 F000.23 R359.97 F000.07 R359.97 R359.97 359.95
1914-01-01 288_38 352_07 293_25 286_01 073_57 279_48 048_40 285_08 093_47 066_43 324_07 1.03 11.80 F001.75 F001.25 R359.83 F000.22 R359.97 F000.05 R359.98 R000.00 359.95
1914-01-02 289_40 003_55 295_10 287_16 073_47 280_01 048_38 285_11 093_46 066_43 324_04 1.00 11.92 F001.80 F001.25 R359.88 F000.25 R359.98 F000.08 R359.98 R359.98 359.93
1914-01-03 290_40 015_50 296_58 288_31 073_40 280_16 048_37 285_16 093_45 066_42 324_00 1.02 12.08 F001.78 F001.28 R359.85 F000.23 R000.00 F000.05 R359.97 R359.97 359.93
1914-01-04 291_41 027_55 298_45 289_48 073_31 280_30 048_37 285_19 093_43 066_40 323_56 1.03 12.37 F001.77 F001.25 R359.90 F000.22 R359.98 F000.05 R359.98 R000.00 359.95
