1918-00-01 257_03 118_04 262_37 299_13 154_20 039_51 110_40 298_38 103_42 071_40 248_19 1.02 12.00 E358.75 F000.60 F000.33 E359.92 E359.95 F000.05 E359.97 E359.98 359.95
1918-00-02 258_04 130_04 261_22 299_49 154_40 039_46 110_37 298_41 103_40 071_39 248_16 1.03 11.90 R358.65 F000.57 F000.30 R359.90 R359.92 F000.03 R359.98 R359.97 359.95
1918-00-03 259_06 141_58 260_01 300_23 154_58 039_40 110_32 298_43 103_39 071_37 248_13 1.02 11.87 R358.65 F000.58 F000.30 R359.95 R359.97 F000.05 R359.97 R359.97 359.95
1918-00-04 260_07 153_50 258_40 300_58 155_16 039_37 110_30 298_46 103_37 071_35 248_10 1.00 11.92 R358.68 F000.53 F000.30 R359.90 R359.92 F000.05 R359.97 R359.98 359.95
1918-00-05 261_07 165_45 257_21 301_30 155_34 039_31 110_25 298_49 103_35 071_34 248_07 1.02 11.97 R358.72 F000.50 F000.30 R359.95 R359.95 F000.05 R359.98 R000.00 359.95
1918-00-06 262_08 177_43 256_04 302_00 155_52 039_28 110_22 298_52 103_34 071_34 248_04 1.03 12.20 R358.80 F000.47 F000.25 R359.92 R359.92 F000.05 R359.95 R359.97 359.93
1918-00-07 263_10 189_55 254_52 302_28 156_07 039_23 110_17 298_55 103_31 071_32 248_00 1.00 12.45 R358.95 F000.45 F000.30 R359.93 R359.93 F000.05 R000.00 R359.98 359.93
1918-00-08 264_10 202_22 253_49 302_55 156_25 039_19 110_13 298_58 103_31 071_31 247_56 1.05 12.75 R359.10 F000.43 F000.25 R359.95 R359.93 F000.05 R359.95 R359.98 359.97
1918-00-09 265_13 215_07 252_55 303_21 156_40 039_16 110_09 299_01 103_28 071_30 247_54 1.00 13.15 R359.23 F000.40 F000.25 R359.95 R359.92 F000.05 R000.00 R359.97 359.93
1918-00-10 266_13 228_16 252_09 303_45 156_55 039_13 110_04 299_04 103_28 071_28 247_50 1.03 13.55 R359.42 F000.37 F000.25 R359.95 R359.95 F000.05 R359.95 R000.00 359.97
1918-00-11 267_15 241_49 251_34 304_07 157_10 039_10 110_01 299_07 103_25 071_28 247_48 1.02 13.95 R359.55 F000.32 F000.25 R359.95 R359.93 F000.05 R000.00 R359.98 359.95
1918-00-12 268_16 255_46 251_07 304_26 157_25 039_07 109_57 299_10 103_25 071_27 247_45 1.00 14.30 R359.75 F000.28 F000.25 R359.95 R359.92 F000.05 R359.95 R359.97 359.92
1918-00-13 269_16 270_04 250_52 304_43 157_40 039_04 109_52 299_13 103_22 071_25 247_40 1.03 14.55 R359.88 F000.28 F000.23 R359.95 R359.92 F000.08 R359.97 R359.98 359.95
1918-00-14 270_18 284_37 250_45 305_00 157_54 039_01 109_47 299_18 103_20 071_24 247_37 1.02 14.73 E000.02 F000.22 F000.22 R359.95 R359.93 F000.05 R359.98 R359.97 359.95
1918-00-15 271_19 299_21 250_46 305_13 158_07 038_58 109_43 299_21 103_19 071_22 247_34 1.03 14.75 F000.17 F000.20 F000.20 R359.98 R359.93 F000.03 R359.97 R000.00 359.95
1918-00-16 272_21 314_06 250_56 305_25 158_19 038_57 109_39 299_23 103_17 071_22 247_31 1.02 14.67 F000.28 F000.15 F000.20 R359.97 R359.92 F000.05 R359.98 R359.97 359.95
1918-00-17 273_22 328_46 251_13 305_34 158_31 038_55 109_34 299_26 103_16 071_20 247_28 1.00 14.48 F000.43 F000.10 F000.17 R359.95 R359.93 F000.07 R359.98 R359.98 359.95
1918-00-18 274_22 343_15 251_39 305_40 158_41 038_52 109_30 299_30 103_15 071_19 247_25 1.02 14.22 F000.50 F000.10 F000.18 R359.98 R359.92 F000.05 R359.97 R000.00 359.95
1918-00-19 275_23 357_28 252_09 305_46 158_52 038_51 109_25 299_33 103_13 071_19 247_22 1.03 13.95 F000.60 F000.03 F000.18 R359.97 R359.90 F000.07 R359.95 R359.97 359.95
1918-00-20 276_25 011_25 252_45 305_48 159_03 038_49 109_19 299_37 103_10 071_17 247_19 1.00 13.65 F000.67 B359.97 F000.17 R359.97 R359.93 F000.05 R000.00 R359.98 359.95
1918-00-21 277_25 025_04 253_25 305_46 159_13 038_47 109_15 299_40 103_10 071_16 247_16 1.02 13.40 F000.75 R359.95 F000.15 R359.98 R359.92 F000.05 R359.95 R000.00 359.95
