1931-00-01 256_43 030_41 267_49 215_19 112_42 083_20 260_49 348_36 132_45 087_07 356_43 1.03 13.43 E359.12 F000.60 E359.82 E359.88 F000.12 F000.02 E359.97 E359.97 359.95
1931-00-02 257_45 044_07 266_56 215_55 112_31 083_13 260_56 348_37 132_43 087_05 356_40 1.02 13.90 R358.98 F000.65 R359.80 R359.85 F000.13 F000.00 R000.00 R359.98 359.95
1931-00-03 258_46 058_01 265_55 216_34 112_19 083_04 261_04 348_37 132_43 087_04 356_37 1.00 14.30 R358.83 F000.65 R359.77 R359.88 F000.10 F000.00 R000.00 R000.00 359.95
1931-00-04 259_46 072_19 264_45 217_13 112_05 082_57 261_10 348_37 132_43 087_04 356_34 1.03 14.60 R358.72 F000.68 R359.78 R359.87 F000.13 F000.02 R359.97 R359.97 359.95
1931-00-05 260_48 086_55 263_28 217_54 111_52 082_49 261_18 348_38 132_41 087_02 356_31 1.02 14.80 R358.67 F000.68 R359.75 R359.85 F000.12 F000.03 R359.98 R359.98 359.95
1931-00-06 261_49 101_43 262_08 218_35 111_37 082_40 261_25 348_40 132_40 087_01 356_28 1.00 14.85 R358.67 F000.72 R359.75 R359.87 F000.10 F000.00 R000.00 R359.98 359.95
1931-00-07 262_49 116_34 260_48 219_18 111_22 082_32 261_31 348_40 132_40 087_00 356_25 1.05 14.75 R358.67 F000.72 R359.72 R359.88 F000.12 F000.00 R359.98 R359.97 359.93
1931-00-08 263_52 131_19 259_28 220_01 111_05 082_25 261_38 348_40 132_39 086_58 356_21 1.00 14.58 R358.75 F000.75 R359.73 R359.85 F000.13 F000.02 R359.97 R000.00 359.95
1931-00-09 264_52 145_54 258_13 220_46 110_49 082_16 261_46 348_41 132_37 086_58 356_18 1.02 14.27 R358.85 F000.78 R359.70 R359.88 F000.10 F000.03 R000.00 R359.95 359.95
1931-00-10 265_53 160_10 257_04 221_33 110_31 082_09 261_52 348_43 132_37 086_55 356_15 1.03 14.00 R358.98 F000.77 R359.70 R359.87 F000.15 F000.00 R359.97 R000.00 359.93
1931-00-11 266_55 174_10 256_03 222_19 110_13 082_01 262_01 348_43 132_35 086_55 356_11 1.00 13.70 R359.12 F000.80 R359.70 R359.85 F000.10 F000.03 R359.98 R359.98 359.95
1931-00-12 267_55 187_52 255_10 223_07 109_55 081_52 262_07 348_45 132_34 086_54 356_08 1.02 13.40 R359.27 F000.80 R359.67 R359.88 F000.13 F000.02 R000.00 R359.97 359.97
1931-00-13 268_56 201_16 254_26 223_55 109_35 081_45 262_15 348_46 132_34 086_52 356_06 1.03 13.20 R359.47 F000.85 R359.68 R359.87 F000.12 F000.03 R359.98 R359.97 359.92
1931-00-14 269_58 214_28 253_54 224_46 109_16 081_37 262_22 348_48 132_33 086_50 356_01 1.03 12.97 R359.60 F000.82 R359.65 R359.85 F000.10 F000.02 R359.97 R359.98 359.95
1931-00-15 271_00 227_26 253_30 225_35 108_55 081_28 262_28 348_49 132_31 086_49 355_58 1.02 12.82 R359.75 F000.85 R359.65 R359.87 F000.13 F000.00 R000.00 R000.00 359.95
1931-00-16 272_01 240_15 253_15 226_26 108_34 081_20 262_36 348_49 132_31 086_49 355_55 1.00 12.58 R359.90 F000.87 R359.63 R359.87 F000.08 F000.03 R359.95 R359.95 359.95
1931-00-17 273_01 252_50 253_09 227_18 108_12 081_12 262_41 348_51 132_28 086_46 355_52 1.00 12.43 E000.03 F000.87 R359.62 R359.87 F000.13 F000.02 R359.97 R359.98 359.95
1931-00-18 274_01 265_16 253_11 228_10 107_49 081_04 262_49 348_52 132_26 086_45 355_49 1.03 12.30 F000.18 F000.90 R359.65 R359.85 F000.10 F000.00 R359.98 R359.97 359.95
1931-00-19 275_03 277_34 253_22 229_04 107_28 080_55 262_55 348_52 132_25 086_43 355_46 1.02 12.12 F000.30 F000.90 R359.60 R359.90 F000.13 F000.05 R000.00 R359.98 359.92
1931-00-20 276_04 289_41 253_40 229_58 107_04 080_49 263_03 348_55 132_25 086_42 355_41 1.00 11.98 F000.42 F000.90 R359.63 R359.85 F000.12 F000.00 R359.95 R359.97 359.95
1931-00-21 277_04 301_40 254_05 230_52 106_42 080_40 263_10 348_55 132_22 086_40 355_38 1.03 11.88 F000.53 F000.90 R359.62 R359.90 F000.10 F000.05 R000.00 R000.00 359.97
1931-00-22 278_06 313_33 254_37 231_46 106_19 080_34 263_16 348_58 132_22 086_40 355_36 1.02 11.80 F000.60 F000.95 R359.60 R359.88 F000.12 F000.03 R359.97 R359.98 359.95
1931-00-23 279_07 325_21 255_13 232_43 105_55 080_27 263_23 349_00 132_20 086_39 355_33 1.00 11.77 F000.70 F000.93 R359.60 R359.87 F000.13 F000.02 R359.98 R359.97 359.95
1931-00-24 280_07 337_07 255_55 233_39 105_31 080_19 263_31 349_01 132_19 086_37 355_30 1.02 11.85 F000.75 F000.93 R359.60 R359.88 F000.10 F000.03 R359.98 R359.97 359.92
1931-00-25 281_08 348_58 256_40 234_35 105_07 080_12 263_37 349_03 132_18 086_35 355_25 1.03 11.98 F000.83 F000.98 R359.60 R359.87 F000.13 F000.02 R359.97 R359.98 359.95
