1942-00-01 256_53 058_34 262_45 295_25 001_46 050_22 029_03 033_46 156_49 102_07 143_48 1.03 12.05 F001.62 F000.40 F000.45 E359.90 E359.95 E359.98 B000.00 E359.97 359.92
1942-00-02 257_55 070_37 264_22 295_49 002_13 050_16 029_00 033_45 156_49 102_05 143_43 1.00 12.17 F001.65 F000.40 F000.48 R359.90 R359.97 R359.97 R000.00 R359.98 359.95
1942-00-03 258_55 082_47 266_01 296_13 002_42 050_10 028_58 033_43 156_49 102_04 143_40 1.02 12.33 F001.62 F000.35 F000.43 R359.90 R359.95 R359.98 R000.00 R000.00 359.95
1942-00-04 259_56 095_07 267_38 296_34 003_08 050_04 028_55 033_42 156_49 102_04 143_37 1.03 12.45 F001.67 F000.30 F000.48 R359.90 R359.97 R359.97 R000.00 R359.95 359.95
1942-00-05 260_58 107_34 269_18 296_52 003_37 049_58 028_53 033_40 156_49 102_01 143_34 1.00 12.63 F001.63 F000.30 F000.47 R359.90 R359.98 R359.97 R000.00 R000.00 359.95
1942-00-06 261_58 120_12 270_56 297_10 004_05 049_52 028_52 033_38 156_49 102_01 143_31 1.05 12.80 F001.63 F000.25 F000.48 R359.90 R359.95 R359.98 R000.00 R359.98 359.95
1942-00-07 263_01 133_00 272_34 297_25 004_34 049_46 028_49 033_37 156_49 102_00 143_28 1.00 13.02 F001.65 F000.20 F000.47 R359.90 R359.98 R359.98 R000.00 R359.97 359.95
1942-00-08 264_01 146_01 274_13 297_37 005_02 049_40 028_48 033_36 156_49 101_58 143_25 1.03 13.25 F001.65 F000.20 F000.48 R359.90 R359.97 R359.97 R000.00 R359.98 359.95
1942-00-09 265_03 159_16 275_52 297_49 005_31 049_34 028_46 033_34 156_49 101_57 143_22 1.02 13.55 F001.65 F000.12 F000.48 R359.93 R359.98 R000.00 R000.00 R359.97 359.95
1942-00-10 266_04 172_49 277_31 297_56 006_00 049_30 028_45 033_34 156_49 101_55 143_19 1.00 13.90 F001.65 F000.12 F000.50 R359.92 R359.97 R359.95 R359.98 R000.00 359.95
1942-00-11 267_04 186_43 279_10 298_03 006_30 049_25 028_43 033_31 156_48 101_55 143_16 1.03 14.18 F001.65 F000.07 F000.47 R359.90 R359.97 R000.00 R000.00 R359.95 359.95
1942-00-12 268_06 200_54 280_49 298_07 006_58 049_19 028_41 033_31 156_48 101_52 143_13 1.02 14.50 F001.65 F000.00 F000.50 R359.93 R359.98 R359.98 R000.00 R000.00 359.93
1942-00-13 269_07 215_24 282_28 298_07 007_28 049_15 028_40 033_30 156_48 101_52 143_09 1.02 14.75 F001.63 B000.00 F000.50 R359.92 R000.00 R359.97 R359.97 R359.97 359.93
1942-00-14 270_08 230_09 284_06 298_07 007_58 049_10 028_40 033_28 156_46 101_50 143_05 1.03 14.87 F001.58 R359.93 F000.50 R359.93 R359.97 R000.00 R000.00 R359.98 359.97
1942-00-15 271_10 245_01 285_41 298_03 008_28 049_06 028_38 033_28 156_46 101_49 143_03 1.00 14.85 F001.62 R359.88 F000.50 R359.92 R359.98 R359.98 R000.00 R359.97 359.95
1942-00-16 272_10 259_52 287_18 297_56 008_58 049_01 028_37 033_27 156_46 101_47 143_00 1.02 14.73 F001.57 R359.88 F000.50 R359.95 R000.00 R359.97 R000.00 R359.98 359.93
1942-00-17 273_11 274_36 288_52 297_49 009_28 048_58 028_37 033_25 156_46 101_46 142_56 1.03 14.42 F001.55 R359.80 F000.53 R359.92 R000.00 R000.00 R359.98 R359.98 359.97
1942-00-18 274_13 289_01 290_25 297_37 010_00 048_53 028_37 033_25 156_45 101_45 142_54 1.00 14.05 F001.50 R359.77 F000.50 R359.97 R359.98 R359.97 R000.00 R359.97 359.92
1942-00-19 275_13 303_04 291_55 297_23 010_30 048_51 028_36 033_23 156_45 101_43 142_49 1.03 13.65 F001.50 R359.73 F000.52 R359.92 R000.00 R000.00 R359.97 R000.00 359.95
1942-00-20 276_15 316_43 293_25 297_07 011_01 048_46 028_36 033_23 156_43 101_43 142_46 1.02 13.17 F001.40 R359.70 F000.50 R359.95 R359.97 R359.98 R000.00 R359.95 359.95
1942-00-21 277_16 329_53 294_49 296_49 011_31 048_43 028_34 033_22 156_43 101_40 142_43 1.00 12.78 F001.37 R359.65 F000.55 R359.95 R000.00 R000.00 R000.00 R000.00 359.95
1942-00-22 278_16 342_40 296_11 296_28 012_04 048_40 028_34 033_22 156_43 101_40 142_40 1.03 12.45 F001.32 R359.60 F000.50 R359.95 R000.00 R359.98 R359.97 R359.95 359.95
1942-00-23 279_18 355_07 297_30 296_04 012_34 048_37 028_34 033_21 156_41 101_37 142_37 1.02 12.17 F001.22 R359.60 F000.55 R359.98 E000.00 R000.00 R359.98 R000.00 359.95
1942-00-24 280_19 007_17 298_43 295_40 013_07 048_36 028_34 033_21 156_40 101_37 142_34 1.00 11.98 F001.10 R359.52 F000.50 R359.93 F000.00 R359.97 R000.00 R359.97 359.95
1942-00-25 281_19 019_16 299_49 295_11 013_37 048_32 028_34 033_19 156_40 101_35 142_31 1.03 11.87 F001.03 R359.53 F000.55 R359.98 F000.00 R000.00 R000.00 R359.98 359.95
1942-00-26 282_21 031_08 300_51 294_43 014_10 048_31 028_34 033_19 156_40 101_34 142_28 1.02 11.88 F000.90 R359.47 F000.52 R359.95 F000.03 R000.00 R359.98 R359.97 359.95
1942-00-27 283_22 043_01 301_45 294_11 014_41 048_28 028_36 033_19 156_39 101_32 142_25 1.00 11.90 F000.77 R359.45 F000.53 R359.98 F000.00 R000.00 R359.97 R359.98 359.95
1942-00-28 284_22 054_55 302_31 293_38 015_13 048_27 028_36 033_19 156_37 101_31 142_22 1.02 12.00 F000.60 R359.43 F000.55 R359.97 F000.02 R000.00 R000.00 R359.98 359.95
1942-00-29 285_23 066_55 303_07 293_04 015_46 048_25 028_37 033_19 156_37 101_30 142_19 1.03 12.15 F000.45 R359.43 F000.55 R359.97 F000.00 R000.00 R359.97 R359.97 359.93
1942-00-30 286_25 079_04 303_34 292_30 016_19 048_23 028_37 033_19 156_35 101_28 142_15 1.00 12.35 F000.30 R359.38 F000.53 R359.98 F000.00 R359.97 R359.98 R000.00 359.93
1942-00-31 287_25 091_25 303_52 291_53 016_51 048_22 028_37 033_17 156_34 101_28 142_11 1.02 12.55 F000.10 R359.38 F000.53 R000.00 F000.02 R000.00 R000.00 R359.95 359.97
1942-01-01 288_26 103_58 303_58 291_16 017_23 048_22 028_38 033_17 156_34 101_25 142_09 1.03 12.75 B359.90 R359.40 F000.55 R359.98 F000.03 R000.00 R359.98 R000.00 359.93
1942-01-02 289_28 116_43 303_52 290_40 017_56 048_21 028_40 033_17 156_33 101_25 142_05 1.00 12.95 R359.75 R359.35 F000.53 R000.00 F000.00 R000.00 R359.97 R359.95 359.97
1942-01-03 290_28 129_40 303_37 290_01 018_28 048_21 028_40 033_17 156_31 101_22 142_03 1.03 13.17 R359.52 R359.40 F000.55 R359.97 F000.05 E000.00 R000.00 R000.00 359.95
