1943-00-01 256_37 181_28 273_33 267_37 228_25 088_30 043_42 038_07 159_00 103_35 124_27 1.02 13.70 F001.47 F001.25 F000.70 E359.87 E359.93 E359.95 F000.00 E359.98 359.95
1943-00-02 257_38 195_10 275_01 268_52 229_07 088_22 043_38 038_04 159_00 103_34 124_24 1.03 14.15 F001.40 F001.25 F000.70 R359.85 R359.93 R359.97 F000.00 R000.00 359.92
1943-00-03 258_40 209_19 276_25 270_07 229_49 088_13 043_34 038_02 159_00 103_34 124_19 1.00 14.62 F001.40 F001.25 F000.73 R359.87 R359.95 R359.98 B000.00 R359.97 359.95
1943-00-04 259_40 223_56 277_49 271_22 230_33 088_05 043_31 038_01 159_00 103_32 124_16 1.02 15.03 F001.35 F001.25 F000.72 R359.88 R359.95 R359.98 R000.00 R359.98 359.95
1943-00-05 260_41 238_58 279_10 272_37 231_16 087_58 043_28 038_00 159_00 103_31 124_13 1.03 15.22 F001.30 F001.27 F000.70 R359.87 R359.95 R359.97 R000.00 R359.98 359.95
1943-00-06 261_43 254_11 280_28 273_53 231_58 087_50 043_25 037_58 159_00 103_30 124_10 1.03 15.32 F001.20 F001.25 F000.70 R359.87 R359.93 R359.98 R000.00 R359.97 359.95
1943-00-07 262_45 269_30 281_40 275_08 232_40 087_42 043_21 037_57 159_00 103_28 124_07 1.02 15.17 F001.15 F001.25 F000.73 R359.87 R359.93 R359.97 R000.00 R000.00 359.95
1943-00-08 263_46 284_40 282_49 276_23 233_24 087_34 043_17 037_55 159_00 103_28 124_04 1.00 14.90 F001.07 F001.28 F000.72 R359.85 R359.97 R359.97 R359.97 R359.95 359.95
1943-00-09 264_46 299_34 283_53 277_40 234_07 087_25 043_15 037_53 158_58 103_25 124_01 1.03 14.53 F000.98 F001.25 F000.70 R359.87 R359.95 R359.98 R000.00 R000.00 359.95
1943-00-10 265_48 314_06 284_52 278_55 234_49 087_17 043_12 037_52 158_58 103_25 123_58 1.02 14.07 F000.85 F001.25 F000.73 R359.88 R359.93 R359.98 R000.00 R359.98 359.95
1943-00-11 266_49 328_10 285_43 280_10 235_33 087_10 043_08 037_51 158_58 103_24 123_55 1.00 13.60 F000.72 F001.25 F000.72 R359.85 R359.98 R359.97 R000.00 R359.97 359.95
1943-00-12 267_49 341_46 286_26 281_25 236_16 087_01 043_07 037_49 158_58 103_22 123_52 1.05 13.20 F000.58 F001.25 F000.70 R359.88 R359.95 R359.97 R000.00 R359.97 359.95
1943-00-13 268_52 354_58 287_01 282_40 236_58 086_54 043_04 037_47 158_58 103_20 123_49 1.00 12.82 F000.42 F001.25 F000.72 R359.87 R359.95 R359.98 R000.00 R359.98 359.93
1943-00-14 269_52 007_47 287_26 283_55 237_41 086_46 043_01 037_46 158_58 103_19 123_45 1.02 12.52 F000.25 F001.25 F000.73 R359.85 R359.95 R359.98 R000.00 R000.00 359.95
1943-00-15 270_53 020_18 287_41 285_10 238_25 086_37 042_58 037_45 158_58 103_19 123_42 1.03 12.27 B000.08 F001.27 F000.70 R359.88 R359.95 R359.97 R359.97 R359.95 359.95
1943-00-16 271_55 032_34 287_46 286_26 239_07 086_30 042_55 037_43 158_56 103_16 123_39 1.00 12.05 R359.87 F001.25 F000.72 R359.87 R359.97 R000.00 R000.00 R000.00 359.93
1943-00-17 272_55 044_37 287_38 287_41 239_50 086_22 042_53 037_43 158_56 103_16 123_35 1.02 11.98 R359.68 F001.25 F000.73 R359.85 R359.98 R359.98 R359.98 R359.98 359.95
1943-00-18 273_56 056_36 287_19 288_56 240_34 086_13 042_52 037_42 158_55 103_15 123_32 1.03 11.87 R359.50 F001.25 F000.73 R359.87 R359.95 R359.97 R000.00 R359.97 359.97
1943-00-19 274_58 068_28 286_49 290_11 241_18 086_05 042_49 037_40 158_55 103_13 123_30 1.00 11.82 R359.30 F001.25 F000.72 R359.88 R359.97 R000.00 R000.00 R359.98 359.92
1943-00-20 275_58 080_17 286_07 291_26 242_01 085_58 042_47 037_40 158_55 103_12 123_25 1.03 11.83 R359.13 F001.25 F000.70 R359.85 R359.98 R359.97 R000.00 R359.97 359.95
1943-00-21 277_00 092_07 285_15 292_41 242_43 085_49 042_46 037_38 158_55 103_10 123_22 1.02 11.85 R358.97 F001.28 F000.75 R359.88 R359.95 R359.98 R359.98 R359.98 359.95
1943-00-22 278_01 103_58 284_13 293_58 243_28 085_42 042_43 037_37 158_54 103_09 123_19 1.00 11.93 R358.88 F001.25 F000.70 R359.87 R000.00 R000.00 R000.00 R359.97 359.95
1943-00-23 279_01 115_54 283_06 295_13 244_10 085_34 042_43 037_37 158_54 103_07 123_16 1.03 12.02 R358.77 F001.25 F000.73 R359.88 R359.95 R359.98 R359.97 R359.97 359.95
1943-00-24 280_03 127_55 281_52 296_28 244_54 085_27 042_40 037_36 158_52 103_05 123_13 1.02 12.13 R358.75 F001.25 F000.72 R359.87 R000.00 R000.00 R000.00 R359.98 359.95
1943-00-25 281_04 140_03 280_37 297_43 245_37 085_19 042_40 037_36 158_52 103_04 123_10 1.00 12.32 R358.73 F001.25 F000.72 R359.88 R359.95 R359.97 R000.00 R000.00 359.95
1943-00-26 282_04 152_22 279_21 298_58 246_20 085_12 042_37 037_34 158_52 103_04 123_07 1.03 12.55 R358.75 F001.25 F000.73 R359.87 R000.00 R000.00 R359.97 R359.95 359.95
1943-00-27 283_06 164_55 278_06 300_13 247_04 085_04 042_37 037_34 158_50 103_01 123_04 1.02 12.80 R358.82 F001.25 F000.73 R359.88 R359.98 R000.00 R359.98 R000.00 359.95
1943-00-28 284_07 177_43 276_55 301_28 247_48 084_57 042_36 037_34 158_49 103_01 123_01 1.00 13.15 R358.90 F001.25 F000.72 R359.87 R359.97 R359.97 R000.00 R359.95 359.95
1943-00-29 285_07 190_52 275_49 302_43 248_31 084_49 042_34 037_32 158_49 102_58 122_58 1.02 13.55 R359.03 F001.25 F000.75 R359.90 R000.00 R000.00 R359.98 R000.00 359.95
1943-00-30 286_08 204_25 274_51 303_58 249_16 084_43 042_34 037_32 158_48 102_58 122_55 1.03 13.95 R359.15 F001.25 F000.70 R359.87 R359.97 R359.98 R000.00 R359.98 359.92
1943-00-31 287_10 218_22 274_00 305_13 249_58 084_35 042_32 037_31 158_48 102_57 122_50 1.00 14.32 R359.27 F001.25 F000.75 R359.88 R000.00 R000.00 R359.97 R359.97 359.95
1943-01-01 288_10 232_41 273_16 306_28 250_43 084_28 042_32 037_31 158_46 102_55 122_47 1.02 14.68 R359.45 F001.25 F000.72 R359.90 R359.98 R000.00 R000.00 R359.98 359.97
1943-01-02 289_11 247_22 272_43 307_43 251_26 084_22 042_31 037_31 158_46 102_54 122_45 1.03 14.98 R359.58 F001.25 F000.73 R359.90 R000.00 R000.00 R359.98 R359.97 359.95
1943-01-03 290_13 262_21 272_18 308_58 252_10 084_16 042_31 037_31 158_45 102_52 122_42 1.00 15.08 R359.72 F001.25 F000.73 R359.88 R000.00 R000.00 R359.97 R359.97 359.95
1943-01-04 291_13 277_26 272_01 310_13 252_54 084_09 042_31 037_31 158_43 102_50 122_39 1.03 15.08 R359.85 F001.22 F000.72 R359.88 R000.00 R000.00 R000.00 R359.98 359.93
1943-01-05 292_15 292_31 271_52 311_26 253_37 084_02 042_31 037_31 158_43 102_49 122_35 1.00 14.95 E000.00 F001.25 F000.75 R359.92 R000.00 R000.00 R359.97 R000.00 359.93
1943-01-06 293_15 307_28 271_52 312_41 254_22 083_57 042_31 037_31 158_41 102_49 122_31 1.02 14.63 F000.10 F001.25 F000.72 R359.88 E000.00 R359.98 R359.98 R359.95 359.95
1943-01-07 294_16 322_06 271_58 313_56 255_05 083_50 042_31 037_30 158_40 102_46 122_28 1.00 14.25 F000.20 F001.25 F000.73 R359.92 F000.00 R000.00 R000.00 R000.00 359.95
1943-01-08 295_16 336_21 272_10 315_11 255_49 083_45 042_31 037_30 158_40 102_46 122_25 1.03 13.78 F000.35 F001.25 F000.75 R359.90 F000.00 E000.00 R359.98 R359.98 359.95
1943-01-09 296_18 350_08 272_31 316_26 256_34 083_39 042_31 037_30 158_39 102_45 122_22 1.02 13.37 F000.40 F001.23 F000.73 R359.88 F000.00 F000.02 R359.97 R359.97 359.95
1943-01-10 297_19 003_30 272_55 317_40 257_18 083_32 042_31 037_31 158_37 102_43 122_19 1.00 12.93 F000.52 F001.25 F000.72 R359.93 F000.00 F000.00 R359.97 R359.98 359.95
1943-01-11 298_19 016_26 273_26 318_55 258_01 083_28 042_31 037_31 158_35 102_42 122_16 1.00 12.58 F000.62 F001.25 F000.75 R359.90 F000.02 F000.00 R359.98 R359.97 359.95
