1946-00-01 256_52 228_34 235_24 249_19 095_10 181_43 089_15 051_21 165_30 108_12 066_22 1.02 12.10 F001.25 F001.25 E359.65 F000.10 E359.92 E359.93 F000.00 E359.97 359.95
1946-00-02 257_53 240_40 236_39 250_34 094_49 181_49 089_10 051_17 165_30 108_10 066_19 1.03 12.30 F001.27 F001.25 R359.65 F000.10 R359.92 R359.98 F000.00 R359.98 359.95
1946-00-03 258_55 252_58 237_55 251_49 094_28 181_55 089_05 051_16 165_30 108_09 066_16 1.00 12.47 F001.30 F001.25 R359.62 F000.13 R359.93 R359.95 F000.02 R359.97 359.95
1946-00-04 259_55 265_26 239_13 253_04 094_05 182_03 089_01 051_13 165_31 108_07 066_13 1.02 12.73 F001.35 F001.27 R359.63 F000.12 R359.90 R359.98 F000.00 R000.00 359.95
1946-00-05 260_56 278_10 240_34 254_20 093_43 182_10 088_55 051_12 165_31 108_07 066_10 1.03 12.93 F001.35 F001.25 R359.62 F000.10 R359.92 R359.97 F000.00 R359.97 359.95
1946-00-06 261_58 291_06 241_55 255_35 093_20 182_16 088_50 051_10 165_31 108_05 066_07 1.03 13.15 F001.35 F001.28 R359.62 F000.10 R359.93 R359.95 F000.00 R359.98 359.92
1946-00-07 263_00 304_15 243_16 256_52 092_57 182_22 088_46 051_07 165_31 108_04 066_02 1.02 13.37 F001.40 F001.25 R359.62 F000.10 R359.90 R359.98 F000.00 R359.97 359.97
1946-00-08 264_01 317_37 244_40 258_07 092_34 182_28 088_40 051_06 165_31 108_02 066_00 1.00 13.60 F001.40 F001.25 R359.60 F000.10 R359.92 R359.97 F000.00 R359.98 359.95
1946-00-09 265_01 331_13 246_04 259_22 092_10 182_34 088_35 051_04 165_31 108_01 065_57 1.03 13.80 F001.40 F001.25 R359.60 F000.10 R359.93 R359.95 F000.00 R000.00 359.95
1946-00-10 266_03 345_01 247_28 260_37 091_46 182_40 088_31 051_01 165_31 108_01 065_54 1.02 13.98 F001.43 F001.27 R359.60 F000.10 R359.90 R359.98 B000.00 R359.98 359.93
1946-00-11 267_04 359_00 248_54 261_53 091_22 182_46 088_25 051_00 165_31 108_00 065_50 1.00 14.17 F001.43 F001.25 R359.60 F000.07 R359.92 R359.97 R000.00 R359.97 359.93
1946-00-12 268_04 013_10 250_20 263_08 090_58 182_50 088_20 050_58 165_31 107_58 065_46 1.03 14.30 F001.47 F001.28 R359.60 F000.10 R359.93 R359.95 R000.00 R359.98 359.95
1946-00-13 269_06 027_28 251_48 264_25 090_34 182_56 088_16 050_55 165_31 107_57 065_43 1.02 14.40 F001.47 F001.25 R359.60 F000.08 R359.90 R359.97 R000.00 R359.97 359.95
1946-00-14 270_07 041_52 253_16 265_40 090_10 183_01 088_10 050_53 165_31 107_55 065_40 1.02 14.48 F001.45 F001.25 R359.60 F000.10 R359.92 R359.98 R000.00 R359.98 359.95
1946-00-15 271_08 056_21 254_43 266_55 089_46 183_07 088_05 050_52 165_31 107_54 065_37 1.03 14.42 F001.50 F001.25 R359.60 F000.07 R359.93 R359.98 R000.00 R359.97 359.95
1946-00-16 272_10 070_46 256_13 268_10 089_22 183_11 088_01 050_51 165_31 107_52 065_34 1.00 14.30 F001.47 F001.25 R359.60 F000.08 R359.93 R359.97 R000.00 R000.00 359.95
1946-00-17 273_10 085_04 257_41 269_25 088_58 183_16 087_57 050_49 165_31 107_52 065_31 1.02 14.13 F001.53 F001.27 R359.62 F000.07 R359.92 R359.95 R359.98 R359.95 359.95
1946-00-18 274_11 099_12 259_13 270_41 088_35 183_20 087_52 050_46 165_30 107_49 065_28 1.03 13.82 F001.50 F001.25 R359.62 F000.08 R359.90 R000.00 R000.00 R000.00 359.95
1946-00-19 275_13 113_01 260_43 271_56 088_12 183_25 087_46 050_46 165_30 107_49 065_25 1.00 13.50 F001.53 F001.28 R359.62 F000.05 R359.93 R359.95 R000.00 R359.97 359.95
1946-00-20 276_13 126_31 262_15 273_13 087_49 183_28 087_42 050_43 165_30 107_47 065_22 1.03 13.15 F001.52 F001.25 R359.63 F000.08 R359.92 R000.00 R359.97 R359.98 359.95
1946-00-21 277_15 139_40 263_46 274_28 087_27 183_33 087_37 050_43 165_28 107_46 065_19 1.02 12.75 F001.55 F001.25 R359.62 F000.07 R359.90 R359.95 R000.00 R359.98 359.95
1946-00-22 278_16 152_25 265_19 275_43 087_04 183_37 087_31 050_40 165_28 107_45 065_16 1.00 12.45 F001.55 F001.25 R359.65 F000.05 R359.95 R000.00 R000.00 R359.97 359.95
1946-00-23 279_16 164_52 266_52 276_58 086_43 183_40 087_28 050_40 165_28 107_43 065_13 1.03 12.20 F001.55 F001.25 R359.62 F000.05 R359.90 R359.95 R000.00 R359.98 359.93
1946-00-24 280_18 177_04 268_25 278_13 086_20 183_43 087_22 050_37 165_28 107_42 065_09 1.02 11.98 F001.58 F001.28 R359.67 F000.08 R359.92 R000.00 R000.00 R359.97 359.93
1946-00-25 281_19 189_03 270_00 279_30 086_00 183_48 087_17 050_37 165_28 107_40 065_05 1.00 11.85 F001.57 F001.25 R359.67 F000.03 R359.93 R359.95 R359.97 R359.98 359.95
1946-00-26 282_19 200_54 271_34 280_45 085_40 183_50 087_13 050_34 165_26 107_39 065_02 1.03 11.82 F001.60 F001.25 R359.65 F000.07 R359.93 R000.00 R000.00 R359.97 359.97
1946-00-27 283_21 212_43 273_10 282_00 085_19 183_54 087_09 050_34 165_26 107_37 065_00 1.02 11.87 F001.60 F001.27 R359.70 F000.03 R359.92 R359.97 R359.98 R000.00 359.95
1946-00-28 284_22 224_35 274_46 283_16 085_01 183_56 087_04 050_32 165_25 107_37 064_57 1.00 12.00 F001.62 F001.25 R359.68 F000.03 R359.90 R359.98 R000.00 R359.95 359.92
1946-00-29 285_22 236_35 276_23 284_31 084_42 183_58 086_58 050_31 165_25 107_34 064_52 1.02 12.22 F001.63 F001.25 R359.70 F000.05 R359.95 R000.00 R000.00 R000.00 359.95
1946-00-30 286_23 248_48 278_01 285_46 084_24 184_01 086_55 050_31 165_25 107_34 064_49 1.03 12.45 F001.65 F001.25 R359.72 F000.05 R359.90 R359.98 R359.98 R359.95 359.95
1946-00-31 287_25 261_15 279_40 287_01 084_07 184_04 086_49 050_30 165_24 107_31 064_46 1.00 12.72 F001.65 F001.25 R359.70 F000.02 R359.95 R359.97 R359.97 R000.00 359.95
1946-01-01 288_25 273_58 281_19 288_16 083_49 184_05 086_46 050_28 165_22 107_31 064_43 1.02 13.05 F001.65 F001.28 R359.75 F000.03 R359.93 R000.00 R000.00 R359.98 359.95
1946-01-02 289_26 287_01 282_58 289_33 083_34 184_07 086_42 050_28 165_22 107_30 064_40 1.03 13.35 F001.67 F001.25 R359.75 F000.03 R359.92 R359.98 R000.00 R359.97 359.95
1946-01-03 290_28 300_22 284_38 290_48 083_19 184_09 086_37 050_27 165_22 107_28 064_37 1.00 13.60 F001.68 F001.25 R359.75 F000.02 R359.92 R359.97 R359.97 R359.98 359.95
1946-01-04 291_28 313_58 286_19 292_03 083_04 184_10 086_32 050_25 165_20 107_27 064_34 1.00 13.83 F001.70 F001.25 R359.77 F000.02 R359.93 R000.00 R359.98 R359.97 359.95
1946-01-05 292_28 327_48 288_01 293_18 082_50 184_11 086_28 050_25 165_19 107_25 064_31 1.03 13.97 F001.70 F001.27 R359.78 F000.03 R359.95 R359.97 R000.00 R359.98 359.95
1946-01-06 293_30 341_46 289_43 294_34 082_37 184_13 086_25 050_23 165_19 107_24 064_28 1.02 14.08 F001.72 F001.25 R359.80 F000.00 R359.92 R359.98 R359.98 R359.97 359.95
1946-01-07 294_31 355_51 291_26 295_49 082_25 184_13 086_20 050_22 165_18 107_22 064_25 1.00 14.12 F001.75 F001.25 R359.83 F000.03 R359.93 R000.00 R000.00 R359.97 359.95
1946-01-08 295_31 009_58 293_11 297_04 082_15 184_15 086_16 050_22 165_18 107_20 064_22 1.00 14.13 F001.73 F001.25 R359.82 F000.02 R359.95 R000.00 R359.97 R359.98 359.95
1946-01-09 296_31 024_06 294_55 298_19 082_04 184_16 086_13 050_22 165_16 107_19 064_19 1.03 14.12 F001.77 F001.25 R359.85 F000.00 R359.93 R359.98 R000.00 R359.97 359.93
1946-01-10 297_33 038_13 296_41 299_34 081_55 184_16 086_09 050_21 165_16 107_17 064_15 1.02 14.07 F001.78 F001.25 R359.85 F000.00 R359.92 R000.00 R359.98 R359.98 359.95
1946-01-11 298_34 052_17 298_28 300_49 081_46 184_16 086_04 050_21 165_15 107_16 064_12 1.00 14.03 F001.80 F001.25 R359.85 B000.00 R359.95 R359.97 R359.97 R000.00 359.95
1946-01-12 299_34 066_19 300_16 302_04 081_37 184_16 086_01 050_19 165_13 107_16 064_09 1.00 13.95 F001.80 F001.25 R359.90 R000.00 R359.95 R000.00 R000.00 R359.95 359.93
1946-01-13 300_34 080_16 302_04 303_19 081_31 184_16 085_58 050_19 165_13 107_13 064_05 1.03 13.85 F001.80 F001.28 R359.88 R359.98 R359.93 R000.00 R359.97 R000.00 359.95
1946-01-14 301_36 094_07 303_52 304_36 081_24 184_15 085_54 050_19 165_11 107_13 064_02 1.00 13.70 F001.82 F001.25 R359.88 R000.00 R359.93 R000.00 R359.98 R359.98 359.93
1946-01-15 302_36 107_49 305_41 305_51 081_17 184_15 085_50 050_19 165_10 107_12 063_58 1.02 13.50 F001.83 F001.25 R359.93 R359.97 R359.93 R000.00 R359.98 R359.97 359.95
1946-01-16 303_37 121_19 307_31 307_06 081_13 184_13 085_46 050_19 165_09 107_10 063_55 1.00 13.25 F001.85 F001.25 R359.93 R000.00 R359.95 R000.00 R359.97 R359.98 359.95
1946-01-17 304_37 134_34 309_22 308_21 081_09 184_13 085_43 050_19 165_07 107_09 063_52 1.00 12.98 F001.85 F001.25 R359.93 R359.97 R359.95 R000.00 R000.00 R359.97 359.95
1946-01-18 305_37 147_33 311_13 309_36 081_05 184_11 085_40 050_19 165_07 107_07 063_49 1.00 12.70 F001.88 F001.25 R359.98 R359.98 R359.95 R000.00 R359.97 R359.97 359.95
1946-01-19 306_37 160_15 313_06 310_51 081_04 184_10 085_37 050_19 165_05 107_05 063_46 1.02 12.42 F001.83 F001.25 R359.95 R359.98 R359.95 R000.00 R359.98 R359.98 359.95
1946-01-20 307_38 172_40 314_56 312_06 081_01 184_09 085_34 050_19 165_04 107_04 063_43 1.00 12.17 F001.88 F001.25 R000.00 R359.97 R359.95 E000.00 R359.98 R000.00 359.95
1946-01-21 308_38 184_50 316_49 313_21 081_01 184_07 085_31 050_19 165_03 107_04 063_40 1.03 11.98 F001.87 F001.27 E359.98 R359.95 R359.95 F000.00 R359.97 R359.95 359.95
1946-01-22 309_40 196_49 318_41 314_37 081_00 184_04 085_28 050_19 165_01 107_01 063_37 1.00 11.85 F001.87 F001.25 F000.02 R359.98 R359.95 F000.00 R000.00 R000.00 359.95
1946-01-23 310_40 208_40 320_33 315_52 081_01 184_03 085_25 050_19 165_01 107_01 063_34 1.00 11.83 F001.87 F001.25 F000.00 R359.97 R359.95 F000.00 R359.98 R359.98 359.95
1946-01-24 311_40 220_30 322_25 317_07 081_01 184_01 085_22 050_19 165_00 107_00 063_31 1.00 11.87 F001.85 F001.25 F000.05 R359.95 R359.97 F000.00 R359.97 R359.97 359.95
1946-01-25 312_40 232_22 324_16 318_22 081_04 183_58 085_20 050_19 164_58 106_58 063_28 1.00 12.00 F001.80 F001.25 F000.05 R359.95 R359.95 F000.00 R359.97 R359.98 359.95
1946-01-26 313_40 244_22 326_04 319_37 081_07 183_55 085_17 050_19 164_56 106_57 063_25 1.02 12.20 F001.80 F001.25 F000.05 R359.95 R359.98 F000.00 R359.98 R359.97 359.93
1946-01-27 314_41 256_34 327_52 320_52 081_10 183_52 085_16 050_19 164_55 106_55 063_21 1.00 12.55 F001.80 F001.25 F000.05 R359.95 R359.95 F000.00 R359.98 R000.00 359.93
1946-01-28 315_41 269_07 329_40 322_07 081_13 183_49 085_13 050_19 164_54 106_55 063_17 1.00 12.88 F001.72 F001.25 F000.10 R359.95 R359.98 F000.03 R359.97 R359.98 359.97
1946-02-01 316_41 282_00 331_23 323_22 081_19 183_46 085_12 050_21 164_52 106_54 063_15 1.00 13.27 F001.68 F001.23 F000.08 R359.95 R359.97 F000.00 R359.97 R359.97 359.95
1946-02-02 317_41 295_16 333_04 324_36 081_24 183_43 085_10 050_21 164_50 106_52 063_12 1.03 13.70 F001.65 F001.25 F000.10 R359.95 R359.95 F000.02 R359.98 R359.97 359.93
1946-02-03 318_43 308_58 334_43 325_51 081_30 183_40 085_07 050_22 164_49 106_50 063_08 1.00 14.00 F001.58 F001.25 F000.12 R359.92 R359.97 F000.00 R359.98 R359.98 359.93
1946-02-04 319_43 322_58 336_18 327_06 081_37 183_35 085_05 050_22 164_48 106_49 063_04 1.00 14.30 F001.50 F001.25 F000.10 R359.93 R359.98 F000.00 R359.97 R000.00 359.95
1946-02-05 320_43 337_16 337_48 328_21 081_43 183_31 085_04 050_22 164_46 106_49 063_01 1.00 14.45 F001.42 F001.25 F000.15 R359.95 R359.95 F000.00 R359.98 R359.97 359.95
1946-02-06 321_43 351_43 339_13 329_36 081_52 183_28 085_01 050_22 164_45 106_47 062_58 1.00 14.50 F001.33 F001.25 F000.15 R359.93 R000.00 F000.02 R359.97 R359.98 359.95
1946-02-07 322_43 006_13 340_33 330_51 082_01 183_24 085_01 050_23 164_43 106_46 062_55 1.00 14.45 F001.22 F001.25 F000.15 R359.92 R359.95 F000.03 R359.97 R000.00 359.95
1946-02-08 323_43 020_40 341_46 332_06 082_10 183_19 084_58 050_25 164_41 106_46 062_52 1.00 14.33 F001.10 F001.25 F000.15 R359.93 R000.00 F000.00 R359.98 R359.98 359.95
1946-02-09 324_43 035_00 342_52 333_21 082_19 183_15 084_58 050_25 164_40 106_45 062_49 1.00 14.17 F001.00 F001.22 F000.18 R359.92 R359.98 F000.03 R359.98 R359.97 359.95
1946-02-10 325_43 049_10 343_52 334_34 082_30 183_10 084_57 050_27 164_39 106_43 062_46 1.00 13.97 F000.88 F001.25 F000.17 R359.92 R359.97 F000.02 R359.97 R000.00 359.95
1946-02-11 326_43 063_08 344_45 335_49 082_40 183_05 084_55 050_28 164_37 106_43 062_43 1.00 13.82 F000.75 F001.25 F000.20 R359.93 R000.00 F000.00 R359.97 R359.98 359.95
1946-02-12 327_43 076_57 345_30 337_04 082_52 183_01 084_55 050_28 164_35 106_42 062_40 1.00 13.62 F000.60 F001.25 F000.20 R359.90 R359.98 F000.03 R359.98 R359.97 359.95
1946-02-13 328_43 090_34 346_06 338_19 083_04 182_55 084_54 050_30 164_34 106_40 062_37 0.97 13.45 F000.47 F001.25 F000.20 R359.90 R359.97 F000.02 R359.98 R000.00 359.95
1946-02-14 329_41 104_01 346_34 339_34 083_16 182_49 084_52 050_31 164_33 106_40 062_34 1.00 13.27 F000.32 F001.25 F000.23 R359.93 R000.00 F000.00 R359.97 R359.98 359.93
1946-02-15 330_41 117_17 346_53 340_49 083_30 182_45 084_52 050_31 164_31 106_39 062_30 1.00 13.12 F000.18 F001.23 F000.22 R359.90 R000.00 F000.02 R359.98 R359.97 359.95
1946-02-16 331_41 130_24 347_04 342_03 083_43 182_39 084_52 050_32 164_30 106_37 062_27 1.00 12.92 B000.05 F001.25 F000.23 R359.90 R000.00 F000.03 R359.97 R000.00 359.93
1946-02-17 332_41 143_19 347_07 343_18 083_57 182_33 084_52 050_34 164_28 106_37 062_23 0.98 12.70 R359.90 F001.25 F000.25 R359.92 R359.97 F000.03 R359.97 R359.97 359.97
1946-02-18 333_40 156_01 347_01 344_33 084_12 182_28 084_50 050_36 164_26 106_35 062_21 1.00 12.50 R359.78 F001.22 F000.25 R359.90 R000.00 F000.02 R359.98 R359.98 359.93
1946-02-19 334_40 168_31 346_48 345_46 084_27 182_22 084_50 050_37 164_25 106_34 062_17 1.00 12.28 R359.62 F001.25 F000.25 R359.88 R000.00 F000.02 R359.98 R000.00 359.97
1946-02-20 335_40 180_48 346_25 347_01 084_42 182_15 084_50 050_38 164_24 106_34 062_15 1.00 12.07 R359.55 F001.25 F000.27 R359.90 E000.00 F000.03 R359.97 R000.00 359.92
1946-02-21 336_40 192_52 345_58 348_16 084_58 182_09 084_50 050_40 164_22 106_34 062_10 1.00 11.95 R359.40 F001.25 F000.25 R359.90 F000.00 F000.03 R359.95 R359.97 359.95
1946-02-22 337_40 204_49 345_22 349_31 085_13 182_03 084_50 050_42 164_19 106_32 062_07 0.97 11.83 R359.35 F001.23 F000.30 R359.87 F000.00 F000.02 R000.00 R359.98 359.95
1946-02-23 338_38 216_39 344_43 350_45 085_31 181_55 084_50 050_43 164_19 106_31 062_04 1.00 11.78 R359.25 F001.25 F000.27 R359.90 F000.03 F000.03 R359.95 R000.00 359.95
1946-02-24 339_38 228_26 343_58 352_00 085_47 181_49 084_52 050_45 164_16 106_31 062_01 0.98 11.83 R359.20 F001.22 F000.30 R359.90 F000.00 F000.02 R359.98 R359.98 359.95
1946-02-25 340_37 240_16 343_10 353_13 086_05 181_43 084_52 050_46 164_15 106_30 061_58 1.00 12.00 R359.15 F001.25 F000.32 R359.87 F000.00 F000.02 R359.97 R000.00 359.95
1946-02-26 341_37 252_16 342_19 354_28 086_24 181_35 084_52 050_47 164_13 106_30 061_55 1.00 12.20 R359.15 F001.25 F000.30 R359.92 F000.00 F000.03 R359.97 R359.97 359.95
1946-02-27 342_37 264_28 341_28 355_43 086_42 181_30 084_52 050_49 164_11 106_28 061_52 0.98 12.50 R359.13 F001.22 F000.32 R359.87 F000.03 F000.05 R359.98 R000.00 359.95
1946-02-28 343_36 276_58 340_36 356_56 087_01 181_22 084_54 050_52 164_10 106_28 061_49 1.00 12.90 R359.12 F001.23 F000.30 R359.90 F000.02 F000.00 R359.98 R000.00 359.95
1946-02-29 344_36 289_52 339_43 358_10 087_19 181_16 084_55 050_52 164_09 106_28 061_46 0.97 13.35 R359.20 F001.25 F000.33 R359.88 F000.00 F000.05 R359.97 R359.98 359.95
1946-02-30 345_34 303_13 338_55 359_25 087_39 181_09 084_55 050_55 164_07 106_27 061_43 1.00 13.83 R359.20 F001.25 F000.32 R359.87 F000.03 F000.03 R359.95 R000.00 359.95
1946-02-31 346_34 317_03 338_07 000_40 087_58 181_01 084_57 050_57 164_04 106_27 061_40 1.00 14.25 R359.27 F001.22 F000.35 R359.88 F000.02 F000.02 R000.00 R359.97 359.93
1946-03-01 347_34 331_18 337_23 001_53 088_19 180_54 084_58 050_58 164_04 106_25 061_36 0.98 14.57 R359.37 F001.23 F000.35 R359.87 F000.03 F000.05 R359.95 R000.00 359.93
1946-03-02 348_33 345_52 336_45 003_07 088_40 180_46 085_00 051_01 164_01 106_25 061_32 0.97 14.85 R359.42 F001.25 F000.35 R359.88 F000.02 F000.02 R359.98 R000.00 359.97
1946-03-03 349_31 000_43 336_10 004_22 089_01 180_39 085_01 051_02 164_00 106_25 061_30 1.00 14.90 R359.50 F001.25 F000.35 R359.87 F000.02 F000.03 R359.97 R359.98 359.95
1946-03-04 350_31 015_37 335_40 005_37 089_22 180_31 085_02 051_04 163_58 106_24 061_27 0.98 14.88 R359.58 F001.22 F000.35 R359.88 F000.03 F000.05 R359.97 R000.00 359.93
1946-03-05 351_30 030_30 335_15 006_50 089_43 180_24 085_04 051_07 163_56 106_24 061_23 0.97 14.67 R359.67 F001.23 F000.37 R359.87 F000.02 F000.05 R359.98 R359.97 359.97
1946-03-06 352_28 045_10 334_55 008_04 090_05 180_16 085_05 051_10 163_55 106_22 061_21 1.00 14.43 R359.77 F001.25 F000.38 R359.88 F000.03 F000.03 R359.98 R000.00 359.92
1946-03-07 353_28 059_36 334_41 009_19 090_28 180_09 085_07 051_12 163_54 106_22 061_16 0.97 14.12 R359.88 F001.23 F000.35 R359.87 F000.05 F000.02 R359.97 R000.00 359.95
1946-03-08 354_26 073_43 334_34 010_33 090_49 180_01 085_10 051_13 163_52 106_22 061_13 0.98 13.80 R359.95 F001.22 F000.40 R359.88 F000.03 F000.05 R359.97 R000.00 359.95
1946-03-09 355_25 087_31 334_31 011_46 091_13 179_54 085_12 051_16 163_50 106_22 061_10 1.00 13.50 E000.05 F001.25 F000.37 R359.87 F000.02 F000.05 R359.98 R000.00 359.95
1946-03-10 356_25 101_01 334_34 013_01 091_35 179_46 085_13 051_19 163_49 106_22 061_07 0.97 13.23 F000.10 F001.23 F000.38 R359.88 F000.05 F000.03 R359.95 R000.00 359.95
1946-03-11 357_23 114_15 334_40 014_15 091_58 179_39 085_16 051_21 163_46 106_22 061_04 0.98 13.00 F000.22 F001.22 F000.40 R359.87 F000.05 F000.02 R000.00 R359.97 359.95
1946-03-12 358_22 127_15 334_53 015_28 092_22 179_31 085_19 051_22 163_46 106_20 061_01 1.00 12.77 F000.30 F001.25 F000.40 R359.85 F000.05 F000.05 R359.95 R000.00 359.95
1946-03-13 359_22 140_01 335_11 016_43 092_46 179_22 085_22 051_25 163_43 106_20 060_58 0.98 12.60 F000.38 F001.22 F000.40 R359.90 F000.03 F000.05 R000.00 R000.00 359.95
1946-03-14 000_21 152_37 335_34 017_56 093_10 179_16 085_24 051_28 163_43 106_20 060_55 0.97 12.40 F000.45 F001.23 F000.40 R359.85 F000.05 F000.05 R359.95 R000.00 359.95
1946-03-15 001_19 165_01 336_01 019_10 093_34 179_07 085_27 051_31 163_40 106_20 060_52 0.97 12.25 F000.50 F001.22 F000.43 R359.88 F000.05 F000.02 R000.00 R359.98 359.95
1946-03-16 002_17 177_16 336_31 020_23 094_00 179_00 085_30 051_32 163_40 106_19 060_49 0.98 12.10 F000.60 F001.23 F000.42 R359.87 F000.03 F000.07 R359.95 R000.00 359.95
1946-03-17 003_16 189_22 337_07 021_37 094_25 178_52 085_32 051_36 163_37 106_19 060_46 0.98 11.97 F000.65 F001.25 F000.40 R359.88 F000.05 F000.03 R359.97 R000.00 359.93
1946-03-18 004_15 201_20 337_46 022_52 094_49 178_45 085_35 051_38 163_35 106_19 060_42 0.97 11.85 F000.73 F001.20 F000.43 R359.87 F000.07 F000.03 R359.98 R000.00 359.93
1946-03-19 005_13 213_11 338_30 024_04 095_15 178_37 085_39 051_40 163_34 106_19 060_38 0.98 11.82 F000.77 F001.25 F000.42 R359.88 F000.05 F000.05 R359.98 R000.00 359.97
1946-03-20 006_12 225_00 339_16 025_19 095_40 178_30 085_42 051_43 163_33 106_19 060_36 0.97 11.80 F000.85 F001.23 F000.45 R359.87 F000.05 F000.05 R359.97 R000.00 359.93
1946-03-21 007_10 236_48 340_07 026_33 096_07 178_22 085_45 051_46 163_31 106_19 060_32 0.98 11.85 F000.88 F001.22 F000.42 R359.88 F000.07 F000.05 R000.00 R000.00 359.97
1946-03-22 008_09 248_39 341_00 027_46 096_32 178_15 085_49 051_49 163_31 106_19 060_30 0.97 11.97 F000.92 F001.23 F000.43 R359.87 F000.05 F000.05 R359.95 E000.00 359.95
1946-03-23 009_07 260_37 341_55 029_00 096_58 178_07 085_52 051_52 163_28 106_19 060_27 0.97 12.18 F001.00 F001.22 F000.45 R359.88 F000.05 F000.05 R000.00 F000.00 359.92
1946-03-24 010_05 272_48 342_55 030_13 097_25 178_00 085_55 051_55 163_28 106_19 060_22 0.98 12.47 F001.05 F001.22 F000.45 R359.87 F000.05 F000.05 R359.95 F000.00 359.95
1946-03-25 011_04 285_16 343_58 031_26 097_52 177_52 085_58 051_58 163_25 106_19 060_19 0.98 12.85 F001.08 F001.23 F000.45 R359.88 F000.07 F000.05 R000.00 F000.00 359.95
1946-03-26 012_03 298_07 345_03 032_40 098_19 177_45 086_02 052_01 163_25 106_19 060_16 0.97 13.30 F001.12 F001.22 F000.45 R359.87 F000.08 F000.05 R359.95 F000.00 359.95
1946-03-27 013_01 311_25 346_10 033_53 098_46 177_37 086_07 052_04 163_22 106_19 060_13 0.98 13.77 F001.15 F001.23 F000.45 R359.90 F000.05 F000.05 R000.00 F000.00 359.95
