1947-00-01 256_37 352_34 243_43 213_22 257_56 207_15 104_16 055_49 167_39 109_46 047_01 1.00 13.68 F001.53 F000.72 F000.78 F000.17 E359.93 E359.97 F000.02 E359.98 359.95
1947-00-02 257_37 006_15 245_15 214_05 258_43 207_25 104_12 055_47 167_40 109_45 046_58 1.02 14.07 F001.52 F000.73 F000.75 F000.17 R359.92 R359.98 F000.00 R359.97 359.95
1947-00-03 258_38 020_19 246_46 214_49 259_28 207_35 104_07 055_46 167_40 109_43 046_55 1.03 14.45 F001.53 F000.75 F000.78 F000.18 R359.95 R359.95 F000.00 R000.00 359.95
1947-00-04 259_40 034_46 248_18 215_34 260_15 207_46 104_04 055_43 167_40 109_43 046_52 1.00 14.83 F001.52 F000.75 F000.77 F000.15 R359.93 R359.95 F000.00 R359.98 359.95
1947-00-05 260_40 049_36 249_49 216_19 261_01 207_55 104_00 055_40 167_40 109_42 046_49 1.05 15.07 F001.55 F000.80 F000.75 F000.20 R359.92 R359.97 F000.00 R359.97 359.95
1947-00-06 261_43 064_40 251_22 217_07 261_46 208_07 103_55 055_38 167_40 109_40 046_46 1.00 15.23 F001.55 F000.80 F000.78 F000.15 R359.92 R359.98 F000.00 R359.98 359.95
1947-00-07 262_43 079_54 252_55 217_55 262_33 208_16 103_50 055_37 167_40 109_39 046_43 1.03 15.17 F001.55 F000.80 F000.77 F000.17 R359.93 R359.95 F000.00 R359.97 359.95
1947-00-08 263_45 095_04 254_28 218_43 263_19 208_26 103_46 055_34 167_40 109_37 046_40 1.02 14.95 F001.58 F000.83 F000.78 F000.18 R359.93 R359.95 F000.00 R000.00 359.93
1947-00-09 264_46 110_01 256_03 219_33 264_06 208_37 103_42 055_31 167_40 109_37 046_36 1.00 14.60 F001.57 F000.82 F000.77 F000.15 R359.92 R359.98 F000.00 R359.97 359.93
1947-00-10 265_46 124_37 257_37 220_22 264_52 208_46 103_37 055_30 167_40 109_35 046_32 1.03 14.18 F001.57 F000.85 F000.75 F000.15 R359.92 R359.97 F000.00 R359.98 359.97
1947-00-11 266_48 138_48 259_11 221_13 265_37 208_55 103_32 055_28 167_40 109_34 046_30 1.02 13.67 F001.58 F000.87 F000.80 F000.17 R359.93 R359.95 F000.02 R359.97 359.95
