1956-00-01 256_19 116_12 271_38 286_19 208_11 127_58 215_39 097_55 186_55 125_09 232_52 1.00 14.42 F001.53 F001.23 F000.65 E359.95 F000.10 E359.95 F000.00 E359.97 359.95
1956-00-02 257_19 130_37 273_10 287_33 208_50 127_55 215_45 097_52 186_55 125_07 232_49 1.03 13.93 F001.52 F001.22 F000.67 R359.95 F000.08 R359.95 F000.02 R000.00 359.93
1956-00-03 258_21 144_33 274_41 288_46 209_30 127_52 215_50 097_49 186_56 125_07 232_45 1.02 13.47 F001.50 F001.25 F000.65 R359.95 F000.10 R359.97 F000.03 R359.97 359.93
1956-00-04 259_22 158_01 276_11 290_01 210_09 127_49 215_56 097_47 186_58 125_05 232_41 1.00 13.00 F001.48 F001.25 F000.67 R359.95 F000.12 R359.97 F000.00 R359.98 359.97
1956-00-05 260_22 171_01 277_40 291_16 210_49 127_46 216_03 097_45 186_58 125_04 232_39 1.02 12.65 F001.43 F001.23 F000.65 R359.93 F000.10 R359.97 F000.03 R000.00 359.93
1956-00-06 261_23 183_40 279_06 292_30 211_28 127_42 216_09 097_43 187_00 125_04 232_35 1.03 12.30 F001.37 F001.22 F000.65 R359.92 F000.07 R359.95 F000.00 R359.97 359.97
1956-00-07 262_25 195_58 280_28 293_43 212_07 127_37 216_13 097_40 187_00 125_02 232_33 1.02 12.08 F001.35 F001.25 F000.65 R359.95 F000.10 R359.95 F000.02 R359.98 359.95
1956-00-08 263_26 208_03 281_49 294_58 212_46 127_34 216_19 097_37 187_01 125_01 232_30 1.03 11.88 F001.30 F001.22 F000.65 R359.95 F000.10 R359.97 F000.00 R000.00 359.92
1956-00-09 264_28 219_56 283_07 296_11 213_25 127_31 216_25 097_35 187_01 125_01 232_25 1.00 11.83 F001.20 F001.23 F000.65 R359.90 F000.10 R359.95 F000.03 R359.98 359.95
1956-00-10 265_28 231_46 284_19 297_25 214_04 127_25 216_31 097_32 187_03 125_00 232_22 1.03 11.78 F001.15 F001.22 F000.65 R359.95 F000.07 R359.97 F000.02 R359.97 359.95
1956-00-11 266_30 243_33 285_28 298_38 214_43 127_22 216_35 097_30 187_04 124_58 232_19 1.02 11.77 F001.05 F001.23 F000.65 R359.90 F000.10 R359.97 F000.00 R000.00 359.95
1956-00-12 267_31 255_19 286_31 299_52 215_22 127_16 216_41 097_28 187_04 124_58 232_16 1.00 11.85 F000.95 F001.25 F000.68 R359.95 F000.08 R359.95 F000.00 R359.98 359.95
