1978-00-01 256_40 148_41 237_35 251_34 105_30 066_19 126_37 201_46 233_11 173_03 167_00 1.00 12.88 F000.08 F001.25 E359.72 E359.85 E359.95 F000.03 F000.03 F000.02 359.93
1978-00-02 257_40 161_34 237_40 252_49 105_13 066_10 126_34 201_48 233_13 173_04 166_56 1.02 13.20 F000.23 F001.27 R359.75 R359.87 R359.95 F000.03 F000.05 F000.00 359.97
1978-00-03 258_41 174_46 237_54 254_05 104_58 066_02 126_31 201_50 233_16 173_04 166_54 1.03 13.65 F000.37 F001.25 R359.70 R359.88 R359.98 F000.03 F000.03 F000.00 359.93
1978-00-04 259_43 188_25 238_16 255_20 104_40 065_55 126_30 201_52 233_18 173_04 166_50 1.00 14.05 F000.45 F001.28 R359.70 R359.87 R359.95 F000.05 F000.02 F000.00 359.97
1978-00-05 260_43 202_28 238_43 256_37 104_22 065_47 126_27 201_55 233_19 173_04 166_48 1.05 14.55 F000.60 F001.25 R359.67 R359.88 R359.95 F000.05 F000.05 F000.02 359.92
1978-00-06 261_46 217_01 239_19 257_52 104_02 065_40 126_24 201_58 233_22 173_05 166_43 1.00 14.90 F000.65 F001.25 R359.68 R359.87 R359.97 F000.03 F000.03 F000.00 359.95
1978-00-07 262_46 231_55 239_58 259_07 103_43 065_32 126_22 202_00 233_24 173_05 166_40 1.03 15.20 F000.78 F001.25 R359.68 R359.88 R359.95 F000.02 F000.02 F000.03 359.95
1978-00-08 263_48 247_07 240_45 260_22 103_24 065_25 126_19 202_01 233_25 173_07 166_37 1.02 15.30 F000.82 F001.27 R359.67 R359.87 R359.95 F000.05 F000.05 F000.00 359.95
1978-00-09 264_49 262_25 241_34 261_38 103_04 065_17 126_16 202_04 233_28 173_07 166_34 1.00 15.22 F000.90 F001.25 R359.65 R359.88 R359.95 F000.05 F000.03 F000.00 359.95
1978-00-10 265_49 277_38 242_28 262_53 102_43 065_10 126_13 202_07 233_30 173_07 166_31 1.03 14.97 F000.97 F001.28 R359.62 R359.90 R359.95 F000.03 F000.02 F000.00 359.95
1978-00-11 266_51 292_36 243_26 264_10 102_20 065_04 126_10 202_09 233_31 173_07 166_28 1.02 14.52 F001.03 F001.25 R359.63 R359.88 R359.95 F000.02 F000.05 F000.00 359.95
