2030-00-01 256_19 214_09 255_10 265_16 290_25 206_18 024_07 051_16 344_07 284_53 240_31 1.03 14.62 E358.67 E359.45 F000.80 F000.17 E359.98 E359.98 F000.00 F000.03 359.95
2030-00-02 257_21 228_46 253_50 264_43 291_13 206_28 024_06 051_15 344_07 284_55 240_28 1.02 14.57 R358.72 R359.40 F000.78 F000.18 R359.97 R359.97 F000.00 F000.02 359.95
2030-00-03 258_22 243_20 252_33 264_07 292_00 206_39 024_04 051_13 344_07 284_56 240_25 1.02 14.48 R358.78 R359.43 F000.80 F000.17 R359.95 R359.95 F000.00 F000.03 359.95
2030-00-04 259_23 257_49 251_20 263_33 292_48 206_49 024_01 051_10 344_07 284_58 240_22 1.03 14.20 R358.93 R359.38 F000.77 F000.18 R000.00 R359.97 F000.02 F000.05 359.95
2030-00-05 260_25 272_01 250_16 262_56 293_34 207_00 024_01 051_08 344_08 285_01 240_19 1.00 13.92 R359.07 R359.38 F000.80 F000.17 R359.95 R359.98 F000.03 F000.00 359.95
2030-00-06 261_25 285_56 249_20 262_19 294_22 207_10 023_58 051_07 344_10 285_01 240_16 1.02 13.57 R359.23 R359.40 F000.77 F000.15 R000.00 R359.95 F000.00 F000.05 359.95
2030-00-07 262_26 299_30 248_34 261_43 295_08 207_19 023_58 051_04 344_10 285_04 240_13 1.03 13.17 R359.40 R359.40 F000.78 F000.18 R359.95 R359.95 F000.00 F000.03 359.95
2030-00-08 263_28 312_40 247_58 261_07 295_55 207_30 023_55 051_01 344_10 285_06 240_10 1.00 12.77 R359.58 R359.40 F000.80 F000.17 R000.00 R359.98 F000.02 F000.02 359.95
2030-00-09 264_28 325_26 247_33 260_31 296_43 207_40 023_55 051_00 344_11 285_07 240_07 1.05 12.45 R359.72 R359.40 F000.80 F000.15 R359.97 R359.97 F000.00 F000.02 359.95
2030-00-10 265_31 337_53 247_16 259_55 297_31 207_49 023_53 050_58 344_11 285_08 240_04 1.00 12.18 R359.90 R359.43 F000.78 F000.15 R359.98 R359.95 F000.03 F000.03 359.95
2030-00-11 266_31 350_04 247_10 259_21 298_18 207_58 023_52 050_55 344_13 285_10 240_01 1.03 11.95 E000.05 R359.42 F000.77 F000.18 R000.00 R000.00 F000.00 F000.05 359.92
2030-00-12 267_33 002_01 247_13 258_46 299_04 208_09 023_52 050_55 344_13 285_13 239_56 1.02 11.88 F000.15 R359.48 F000.80 F000.15 R000.00 R359.95 F000.03 F000.03 359.97
2030-00-13 268_34 013_54 247_22 258_15 299_52 208_18 023_52 050_52 344_15 285_15 239_54 1.00 11.82 F000.30 R359.47 F000.80 F000.17 R359.98 R359.98 F000.02 F000.02 359.93
2030-00-14 269_34 025_43 247_40 257_43 300_40 208_28 023_51 050_51 344_16 285_16 239_50 1.03 11.85 F000.42 R359.53 F000.77 F000.15 R359.97 R359.97 F000.00 F000.03 359.97
2030-00-15 270_36 037_34 248_05 257_15 301_26 208_37 023_49 050_49 344_16 285_18 239_48 1.02 12.00 F000.53 R359.55 F000.78 F000.15 R000.00 R359.95 F000.00 F000.02 359.95
2030-00-16 271_37 049_34 248_37 256_48 302_13 208_46 023_49 050_46 344_16 285_19 239_45 1.00 12.15 F000.60 R359.57 F000.80 F000.15 R000.00 R000.00 F000.03 F000.05 359.93
2030-00-17 272_37 061_43 249_13 256_22 303_01 208_55 023_49 050_46 344_18 285_22 239_41 1.05 12.40 F000.70 R359.63 F000.80 F000.15 R000.00 R359.95 F000.02 F000.02 359.93
2030-00-18 273_40 074_07 249_55 256_00 303_49 209_04 023_49 050_43 344_19 285_23 239_37 1.00 12.67 F000.77 R359.65 F000.78 F000.12 R000.00 R359.98 F000.00 F000.03 359.95
