2037-00-01 256_31 061_32 241_04 237_22 223_25 054_16 128_11 083_28 359_41 295_23 105_01 1.03 14.53 E359.60 F001.25 F000.70 E359.90 E359.98 E359.98 E000.00 F000.03 359.95
2037-00-02 257_33 076_04 240_40 238_37 224_07 054_10 128_10 083_27 359_41 295_25 104_58 1.02 14.75 R359.77 F001.25 F000.70 R359.87 R359.95 R359.95 R000.00 F000.02 359.95
2037-00-03 258_34 090_49 240_26 239_52 224_49 054_02 128_07 083_24 359_41 295_26 104_55 1.00 14.83 E359.93 F001.25 F000.70 R359.88 R359.95 R359.97 E000.00 F000.03 359.95
2037-00-04 259_34 105_39 240_22 241_07 225_31 053_55 128_04 083_22 359_41 295_28 104_52 1.03 14.80 F000.10 F001.25 F000.70 R359.90 R359.98 R359.95 F000.00 F000.03 359.95
2037-00-05 260_36 120_27 240_28 242_22 226_13 053_49 128_03 083_19 359_41 295_30 104_49 1.02 14.67 F000.20 F001.25 F000.70 R359.90 R359.95 R359.95 F000.00 F000.02 359.95
2037-00-06 261_37 135_07 240_40 243_37 226_55 053_43 128_00 083_16 359_41 295_31 104_46 1.02 14.45 F000.35 F001.25 F000.70 R359.90 R359.97 R359.95 F000.00 F000.03 359.95
2037-00-07 262_38 149_34 241_01 244_52 227_37 053_37 127_58 083_13 359_41 295_33 104_43 1.03 14.15 F000.45 F001.25 F000.70 R359.90 R359.95 R359.95 F000.00 F000.02 359.95
2037-00-08 263_40 163_43 241_28 246_07 228_19 053_31 127_55 083_10 359_41 295_34 104_40 1.00 13.87 F000.58 F001.28 F000.70 R359.90 R359.95 R359.98 F000.03 F000.03 359.92
2037-00-09 264_40 177_35 242_03 247_24 229_01 053_25 127_52 083_09 359_43 295_36 104_35 1.02 13.58 F000.67 F001.25 F000.70 R359.90 R359.95 R359.93 F000.00 F000.02 359.95
2037-00-10 265_41 191_10 242_43 248_39 229_43 053_19 127_49 083_05 359_43 295_37 104_32 1.03 13.30 F000.75 F001.25 F000.70 R359.90 R359.95 R359.95 F000.00 F000.02 359.97
2037-00-11 266_43 204_28 243_28 249_54 230_25 053_13 127_46 083_02 359_43 295_38 104_30 1.00 13.00 F000.80 F001.25 F000.70 R359.90 R359.95 R359.98 F000.00 F000.03 359.95
2037-00-12 267_43 217_28 244_16 251_09 231_07 053_07 127_43 083_01 359_43 295_40 104_27 1.05 12.80 F000.90 F001.27 F000.70 R359.92 R359.95 R359.95 F000.00 F000.05 359.95
2037-00-13 268_46 230_16 245_10 252_25 231_49 053_02 127_40 082_58 359_43 295_43 104_24 1.00 12.55 F000.95 F001.25 F000.73 R359.92 R359.95 R359.95 F000.00 F000.00 359.92
2037-00-14 269_46 242_49 246_07 253_40 232_33 052_57 127_37 082_55 359_43 295_43 104_19 1.03 12.37 F001.00 F001.25 F000.70 R359.92 R359.92 R359.95 F000.00 F000.05 359.95
2037-00-15 270_48 255_11 247_07 254_55 233_15 052_52 127_32 082_52 359_43 295_46 104_16 1.02 12.20 F001.05 F001.25 F000.68 R359.90 R359.97 R359.97 F000.03 F000.00 359.95
2037-00-16 271_49 267_23 248_10 256_10 233_56 052_46 127_30 082_50 359_45 295_46 104_13 1.00 12.03 F001.10 F001.25 F000.72 R359.95 R359.95 R359.95 F000.00 F000.05 359.95
2037-00-17 272_49 279_25 249_16 257_25 234_39 052_43 127_27 082_47 359_45 295_49 104_10 1.03 11.95 F001.13 F001.25 F000.72 R359.90 R359.92 R359.97 F000.02 F000.03 359.95
2037-00-18 273_51 291_22 250_24 258_40 235_22 052_37 127_22 082_45 359_46 295_51 104_07 1.02 11.82 F001.17 F001.25 F000.70 R359.95 R359.95 R359.97 F000.00 F000.02 359.95
2037-00-19 274_52 303_11 251_34 259_55 236_04 052_34 127_19 082_43 359_46 295_52 104_04 1.00 11.78 F001.20 F001.27 F000.70 R359.93 R359.95 R359.95 F000.00 F000.02 359.95
2037-00-20 275_52 314_58 252_46 261_11 236_46 052_30 127_16 082_40 359_46 295_53 104_01 1.05 11.80 F001.25 F001.25 F000.70 R359.92 R359.93 R359.95 F000.00 F000.03 359.95
2037-00-21 276_55 326_46 254_01 262_26 237_28 052_25 127_12 082_37 359_46 295_55 103_58 1.00 11.87 F001.25 F001.25 F000.72 R359.95 R359.92 R359.95 F000.03 F000.05 359.95
2037-00-22 277_55 338_38 255_16 263_41 238_11 052_22 127_07 082_34 359_48 295_58 103_55 1.02 12.00 F001.28 F001.25 F000.72 R359.95 R359.95 R359.97 F000.02 F000.00 359.95
2037-00-23 278_56 350_38 256_33 264_56 238_54 052_19 127_04 082_32 359_49 295_58 103_52 1.03 12.22 F001.32 F001.28 F000.72 R359.93 R359.93 R359.98 F000.00 F000.05 359.95
