2039-00-01 256_00 331_07 242_19 274_18 237_28 126_42 154_49 093_01 004_10 298_13 066_19 1.02 12.35 F001.50 F001.27 F000.75 E359.95 F000.02 E359.95 E000.00 F000.03 359.95
2039-00-02 257_01 343_28 243_49 275_34 238_13 126_39 154_50 092_58 004_10 298_15 066_16 1.00 12.10 F001.50 F001.25 F000.72 R359.93 F000.03 R359.98 R000.00 F000.02 359.95
2039-00-03 258_01 355_34 245_19 276_49 238_56 126_35 154_52 092_57 004_10 298_16 066_13 1.03 11.93 F001.55 F001.25 F000.73 R359.95 F000.00 R359.95 R000.00 F000.03 359.95
2039-00-04 259_03 007_30 246_52 278_04 239_40 126_32 154_52 092_54 004_10 298_18 066_10 1.02 11.82 F001.50 F001.25 F000.75 R359.93 F000.00 R359.97 R000.00 F000.02 359.95
2039-00-05 260_04 019_19 248_22 279_19 240_25 126_28 154_52 092_52 004_10 298_19 066_07 1.03 11.82 F001.55 F001.25 F000.73 R359.95 F000.00 R359.95 R000.00 F000.03 359.95
2039-00-06 261_06 031_08 249_55 280_34 241_09 126_25 154_52 092_49 004_10 298_21 066_04 1.02 11.88 F001.55 F001.25 F000.72 R359.95 F000.00 R359.95 R000.00 F000.02 359.95
2039-00-07 262_07 043_01 251_28 281_49 241_52 126_22 154_52 092_46 004_10 298_22 066_01 1.00 12.00 F001.55 F001.25 F000.75 R359.92 F000.03 R359.95 R000.00 F000.02 359.95
2039-00-08 263_07 055_01 253_01 283_04 242_37 126_17 154_54 092_43 004_10 298_23 065_58 1.02 12.15 F001.55 F001.25 F000.72 R359.93 B000.00 R359.98 E000.00 F000.03 359.95
2039-00-09 264_08 067_10 254_34 284_19 243_20 126_13 154_54 092_42 004_10 298_25 065_55 1.03 12.35 F001.55 F001.25 F000.73 R359.93 R359.97 R359.95 F000.00 F000.02 359.95
2039-00-10 265_10 079_31 256_07 285_34 244_04 126_09 154_52 092_39 004_10 298_26 065_52 1.00 12.57 F001.57 F001.25 F000.75 R359.92 R000.00 R359.93 F000.00 F000.03 359.95
2039-00-11 266_10 092_05 257_41 286_49 244_49 126_04 154_52 092_35 004_10 298_28 065_49 1.05 12.82 F001.58 F001.25 F000.75 R359.93 R000.00 R359.98 F000.00 F000.03 359.93
