2050-00-01 256_11 354_07 245_31 256_41 203_10 097_09 273_01 146_10 029_04 312_58 213_25 1.03 13.33 E359.10 F001.25 F000.63 E359.87 F000.10 E000.00 E359.98 F000.03 359.95
2050-00-02 257_13 007_27 244_37 257_56 203_48 097_01 273_07 146_10 029_03 313_00 213_22 1.00 13.02 R359.30 F001.28 F000.62 R359.88 F000.13 R000.00 R359.97 F000.02 359.95
2050-00-03 258_13 020_28 243_55 259_13 204_25 096_54 273_15 146_10 029_01 313_01 213_19 1.03 12.78 R359.45 F001.25 F000.65 R359.87 F000.12 R000.00 R000.00 F000.00 359.95
2050-00-04 259_15 033_15 243_22 260_28 205_04 096_46 273_22 146_10 029_01 313_01 213_16 1.02 12.57 R359.65 F001.25 F000.62 R359.88 F000.10 R359.98 R359.98 F000.03 359.95
2050-00-05 260_16 045_49 243_01 261_43 205_41 096_39 273_28 146_09 029_00 313_03 213_13 1.03 12.38 R359.80 F001.25 F000.63 R359.87 F000.13 R359.97 R359.97 F000.02 359.95
2050-00-06 261_18 058_12 242_49 262_58 206_19 096_31 273_36 146_07 028_58 313_04 213_10 1.02 12.22 E359.95 F001.28 F000.65 R359.88 F000.12 R000.00 R000.00 F000.00 359.95
2050-00-07 262_19 070_25 242_46 264_15 206_58 096_24 273_43 146_07 028_58 313_04 213_07 1.00 12.15 F000.10 F001.25 F000.65 R359.87 F000.13 R000.00 R359.97 F000.03 359.95
2050-00-08 263_19 082_34 242_52 265_30 207_37 096_16 273_51 146_07 028_56 313_06 213_04 1.03 12.00 F000.25 F001.27 F000.63 R359.88 F000.12 R359.97 R359.98 F000.02 359.93
2050-00-09 264_21 094_34 243_07 266_46 208_15 096_09 273_58 146_05 028_55 313_07 213_00 1.02 11.95 F000.35 F001.25 F000.62 R359.87 F000.10 R000.00 R000.00 F000.02 359.93
2050-00-10 265_22 106_31 243_28 268_01 208_52 096_01 274_04 146_05 028_55 313_08 212_56 1.00 11.88 F000.47 F001.25 F000.65 R359.85 F000.12 R359.98 R000.00 F000.03 359.97
2050-00-11 266_22 118_24 243_56 269_16 209_31 095_52 274_11 146_04 028_55 313_10 212_54 1.02 11.87 F000.58 F001.25 F000.63 R359.88 F000.13 R000.00 R359.97 F000.00 359.93
2050-00-12 267_23 130_16 244_31 270_31 210_09 095_45 274_19 146_04 028_53 313_10 212_50 1.03 11.85 F000.67 F001.25 F000.62 R359.87 F000.10 R359.98 R359.98 F000.02 359.97
2050-00-13 268_25 142_07 245_11 271_46 210_46 095_37 274_25 146_03 028_52 313_11 212_48 1.00 11.95 F000.75 F001.28 F000.65 R359.85 F000.13 R359.97 R000.00 F000.03 359.92
2050-00-14 269_25 154_04 245_56 273_03 211_25 095_28 274_33 146_01 028_52 313_13 212_43 1.05 12.10 F000.83 F001.25 F000.63 R359.87 F000.12 R000.00 R000.00 F000.03 359.95
2050-00-15 270_28 166_10 246_46 274_18 212_03 095_20 274_40 146_01 028_52 313_15 212_40 1.00 12.30 F000.90 F001.27 F000.62 R359.88 F000.10 R359.98 R359.98 F000.02 359.95
2050-00-16 271_28 178_28 247_40 275_34 212_40 095_13 274_46 146_00 028_51 313_16 212_37 1.03 12.58 F000.95 F001.25 F000.65 R359.85 F000.15 R359.97 R000.00 F000.00 359.95
2050-00-17 272_30 191_03 248_37 276_49 213_19 095_04 274_55 145_58 028_51 313_16 212_34 1.02 12.97 F001.00 F001.25 F000.62 R359.88 F000.10 R359.97 R359.97 F000.05 359.95
2050-00-18 273_31 204_01 249_37 278_04 213_56 094_57 275_01 145_56 028_49 313_19 212_31 1.00 13.40 F001.05 F001.25 F000.63 R359.87 F000.12 R359.98 R000.00 F000.00 359.95
2050-00-19 274_31 217_25 250_40 279_19 214_34 094_49 275_08 145_55 028_49 313_19 212_28 1.03 13.90 F001.08 F001.25 F000.65 R359.85 F000.13 R000.00 R000.00 F000.03 359.95
2050-00-20 275_33 231_19 251_45 280_34 215_13 094_40 275_16 145_55 028_49 313_21 212_25 1.02 14.37 F001.12 F001.28 F000.62 R359.87 F000.10 R359.95 R000.00 F000.02 359.95
2050-00-21 276_34 245_41 252_52 281_51 215_50 094_32 275_22 145_52 028_49 313_22 212_22 1.00 14.83 F001.20 F001.25 F000.63 R359.88 F000.13 R000.00 R359.98 F000.02 359.95
2050-00-22 277_34 260_31 254_04 283_06 216_28 094_25 275_30 145_52 028_48 313_23 212_19 1.03 15.12 F001.20 F001.27 F000.65 R359.85 F000.12 R359.95 R000.00 F000.03 359.95
2050-00-23 278_36 275_38 255_16 284_22 217_07 094_16 275_37 145_49 028_48 313_25 212_16 1.02 15.30 F001.20 F001.25 F000.63 R359.88 F000.13 R000.00 R000.00 F000.02 359.95
2050-00-24 279_37 290_56 256_28 285_37 217_45 094_09 275_45 145_49 028_48 313_26 212_13 1.00 15.28 F001.28 F001.25 F000.62 R359.87 F000.12 R359.95 R359.97 F000.03 359.95
2050-00-25 280_37 306_13 257_45 286_52 218_22 094_01 275_52 145_46 028_46 313_28 212_10 1.02 15.05 F001.27 F001.25 F000.65 R359.85 F000.10 R000.00 R000.00 F000.03 359.92
2050-00-26 281_38 321_16 259_01 288_07 219_01 093_52 275_58 145_46 028_46 313_30 212_05 1.03 14.70 F001.30 F001.25 F000.63 R359.88 F000.13 R359.95 R000.00 F000.02 359.97
2050-00-27 282_40 335_58 260_19 289_22 219_39 093_45 276_06 145_43 028_46 313_31 212_03 1.00 14.25 F001.35 F001.25 F000.62 R359.87 F000.12 R359.97 R000.00 F000.03 359.95
2050-00-28 283_40 350_13 261_40 290_37 220_16 093_37 276_13 145_41 028_46 313_33 212_00 1.02 13.78 F001.35 F001.27 F000.65 R359.88 F000.10 R359.98 R000.00 F000.02 359.93
2050-00-29 284_41 004_00 263_01 291_53 220_55 093_30 276_19 145_40 028_46 313_34 211_56 1.03 13.32 F001.35 F001.25 F000.63 R359.87 F000.12 R359.98 R000.00 F000.03 359.97
2050-00-30 285_43 017_19 264_22 293_08 221_33 093_22 276_26 145_39 028_46 313_36 211_54 1.00 12.95 F001.38 F001.25 F000.62 R359.85 F000.13 R359.97 R000.00 F000.02 359.92
2050-00-31 286_43 030_16 265_45 294_23 222_10 093_13 276_34 145_37 028_46 313_37 211_49 1.03 12.62 F001.38 F001.28 F000.63 R359.90 F000.10 R359.95 R000.00 F000.02 359.95
2050-01-01 287_45 042_53 267_08 295_40 222_48 093_07 276_40 145_34 028_46 313_38 211_46 1.02 12.38 F001.43 F001.25 F000.62 R359.85 F000.13 R359.98 R000.00 F000.03 359.95
2050-01-02 288_46 055_16 268_34 296_55 223_25 092_58 276_48 145_33 028_46 313_40 211_43 1.00 12.20 F001.43 F001.25 F000.65 R359.90 F000.12 R359.97 E000.00 F000.02 359.95
2050-01-03 289_46 067_28 270_00 298_10 224_04 092_52 276_55 145_31 028_46 313_41 211_40 1.03 12.05 F001.43 F001.25 F000.62 R359.85 F000.10 R359.95 F000.00 F000.03 359.95
2050-01-04 290_48 079_31 271_26 299_25 224_41 092_43 277_01 145_28 028_46 313_43 211_37 1.02 11.95 F001.48 F001.25 F000.63 R359.90 F000.12 R359.97 F000.00 F000.03 359.95
2050-01-05 291_49 091_28 272_55 300_40 225_19 092_37 277_08 145_26 028_46 313_45 211_34 1.00 11.93 F001.47 F001.25 F000.62 R359.88 F000.13 R359.98 F000.00 F000.02 359.95
2050-01-06 292_49 103_24 274_23 301_55 225_56 092_30 277_16 145_25 028_46 313_46 211_31 1.00 11.87 F001.48 F001.25 F000.63 R359.87 F000.10 R359.95 F000.00 F000.03 359.95
2050-01-07 293_49 115_16 275_52 303_10 226_34 092_22 277_22 145_22 028_46 313_48 211_28 1.03 11.90 F001.50 F001.25 F000.65 R359.90 F000.13 R359.97 F000.00 F000.02 359.95
2050-01-08 294_51 127_10 277_22 304_25 227_13 092_16 277_30 145_20 028_46 313_49 211_25 1.02 11.88 F001.52 F001.25 F000.60 R359.88 F000.12 R359.98 F000.00 F000.03 359.95
2050-01-09 295_52 139_03 278_53 305_40 227_49 092_09 277_37 145_19 028_46 313_51 211_22 1.00 11.92 F001.53 F001.25 F000.65 R359.87 F000.10 R359.95 F000.00 F000.02 359.95
2050-01-10 296_52 150_58 280_25 306_55 228_28 092_01 277_43 145_16 028_46 313_52 211_19 1.00 12.00 F001.55 F001.27 F000.62 R359.90 F000.13 R359.95 F000.03 F000.02 359.93
2050-01-11 297_52 162_58 281_58 308_11 229_05 091_55 277_51 145_13 028_48 313_53 211_15 1.02 12.15 F001.58 F001.25 F000.63 R359.90 F000.12 R359.97 F000.00 F000.03 359.93
2050-01-12 298_53 175_07 283_33 309_26 229_43 091_49 277_58 145_11 028_48 313_55 211_11 1.03 12.30 F001.57 F001.25 F000.62 R359.90 F000.10 R359.98 F000.00 F000.02 359.97
2050-01-13 299_55 187_25 285_07 310_41 230_20 091_43 278_04 145_10 028_48 313_56 211_09 1.00 12.55 F001.60 F001.25 F000.63 R359.90 F000.10 R359.95 F000.02 F000.03 359.93
2050-01-14 300_55 199_58 286_43 311_56 230_58 091_37 278_10 145_07 028_49 313_58 211_05 1.00 12.85 F001.60 F001.25 F000.62 R359.88 F000.13 R359.95 F000.00 F000.05 359.97
2050-01-15 301_55 212_49 288_19 313_11 231_35 091_30 278_18 145_04 028_49 314_01 211_03 1.02 13.27 F001.60 F001.25 F000.63 R359.90 F000.12 R359.98 F000.00 F000.00 359.95
2050-01-16 302_56 226_05 289_55 314_26 232_13 091_24 278_25 145_03 028_49 314_01 211_00 1.00 13.72 F001.65 F001.25 F000.62 R359.92 F000.10 R359.97 F000.00 F000.05 359.92
2050-01-17 303_56 239_48 291_34 315_41 232_50 091_19 278_31 145_01 028_49 314_04 210_55 1.03 14.20 F001.62 F001.25 F000.63 R359.90 F000.10 R359.95 F000.03 F000.03 359.95
2050-01-18 304_58 254_00 293_11 316_56 233_28 091_13 278_37 144_58 028_51 314_06 210_52 1.00 14.63 F001.68 F001.25 F000.62 R359.90 F000.13 R359.95 F000.00 F000.02 359.95
2050-01-19 305_58 268_38 294_52 318_11 234_05 091_07 278_45 144_55 028_51 314_07 210_49 1.00 15.03 F001.65 F001.25 F000.63 R359.90 F000.12 R359.95 F000.02 F000.02 359.95
2050-01-20 306_58 283_40 296_31 319_26 234_43 091_01 278_52 144_52 028_52 314_08 210_46 1.00 15.30 F001.70 F001.25 F000.62 R359.93 F000.10 R359.97 F000.00 F000.03 359.95
2050-01-21 307_58 298_58 298_13 320_41 235_20 090_57 278_58 144_50 028_52 314_10 210_43 1.03 15.35 F001.70 F001.25 F000.63 R359.92 F000.10 R359.97 F000.00 F000.02 359.95
2050-01-22 309_00 314_19 299_55 321_56 235_58 090_52 279_04 144_48 028_52 314_11 210_40 1.00 15.20 F001.75 F001.25 F000.62 R359.90 F000.10 R359.97 F000.02 F000.03 359.95
2050-01-23 310_00 329_31 301_40 323_11 236_35 090_46 279_10 144_46 028_53 314_13 210_37 1.02 14.90 F001.72 F001.25 F000.63 R359.93 F000.13 R359.95 F000.03 F000.03 359.95
2050-01-24 311_01 344_25 303_23 324_26 237_13 090_42 279_18 144_43 028_55 314_15 210_34 1.00 14.47 F001.75 F001.23 F000.62 R359.92 F000.08 R359.95 F000.00 F000.02 359.95
2050-01-25 312_01 358_53 305_08 325_40 237_50 090_37 279_23 144_40 028_55 314_16 210_31 1.00 13.98 F001.78 F001.25 F000.63 R359.95 F000.12 R359.95 F000.00 F000.05 359.95
2050-01-26 313_01 012_52 306_55 326_55 238_28 090_34 279_30 144_37 028_55 314_19 210_28 1.00 13.50 F001.80 F001.25 F000.60 R359.93 F000.12 R359.97 F000.02 F000.00 359.95
2050-01-27 314_01 026_22 308_43 328_10 239_04 090_30 279_37 144_35 028_56 314_19 210_25 1.00 13.02 F001.80 F001.25 F000.62 R359.92 F000.10 R359.97 F000.03 F000.05 359.92
2050-01-28 315_01 039_23 310_31 329_25 239_41 090_25 279_43 144_33 028_58 314_22 210_20 1.00 12.65 F001.80 F001.25 F000.63 R359.95 F000.10 R359.97 F000.00 F000.02 359.97
2050-02-01 316_01 052_02 312_19 330_40 240_19 090_22 279_49 144_31 028_58 314_23 210_18 1.03 12.37 F001.85 F001.25 F000.62 R359.92 F000.10 R359.95 F000.03 F000.03 359.95
2050-02-02 317_03 064_24 314_10 331_55 240_56 090_17 279_55 144_28 029_00 314_25 210_15 1.00 12.12 F001.85 F001.25 F000.63 R359.97 F000.10 R359.95 F000.02 F000.02 359.93
2050-02-03 318_03 076_31 316_01 333_10 241_34 090_15 280_01 144_25 029_01 314_26 210_11 1.00 11.98 F001.87 F001.25 F000.60 R359.92 F000.10 R359.95 F000.00 F000.03 359.97
2050-02-04 319_03 088_30 317_53 334_25 242_10 090_10 280_07 144_22 029_01 314_28 210_09 1.00 11.87 F001.88 F001.22 F000.63 R359.95 F000.10 R359.95 F000.03 F000.03 359.93
2050-02-05 320_03 100_22 319_46 335_38 242_48 090_07 280_13 144_19 029_03 314_30 210_05 1.00 11.88 F001.90 F001.25 F000.62 R359.97 F000.10 R359.98 F000.02 F000.02 359.93
2050-02-06 321_03 112_15 321_40 336_53 243_25 090_05 280_19 144_18 029_04 314_31 210_01 1.00 11.87 F001.93 F001.25 F000.60 R359.95 F000.10 R359.95 F000.00 F000.05 359.95
2050-02-07 322_03 124_07 323_36 338_08 244_01 090_02 280_25 144_15 029_04 314_34 209_58 1.00 11.90 F001.92 F001.23 F000.63 R359.97 F000.10 R359.93 F000.03 F000.00 359.95
2050-02-08 323_03 136_01 325_31 339_22 244_39 090_00 280_31 144_11 029_06 314_34 209_55 1.00 11.95 F001.95 F001.25 F000.62 R359.97 F000.10 R359.98 F000.02 F000.05 359.95
2050-02-09 324_03 147_58 327_28 340_37 245_16 089_58 280_37 144_10 029_07 314_37 209_52 1.00 12.08 F001.95 F001.25 F000.60 R359.95 F000.10 R359.95 F000.00 F000.00 359.95
2050-02-10 325_03 160_03 329_25 341_52 245_52 089_55 280_43 144_07 029_07 314_37 209_49 1.00 12.13 F001.95 F001.25 F000.63 R359.98 F000.10 R359.95 F000.02 F000.05 359.95
2050-02-11 326_03 172_11 331_22 343_07 246_30 089_54 280_49 144_04 029_08 314_40 209_46 1.00 12.28 F001.95 F001.23 F000.58 R359.97 F000.10 R359.95 F000.03 F000.02 359.95
2050-02-12 327_03 184_28 333_19 344_21 247_05 089_52 280_55 144_01 029_10 314_41 209_43 1.00 12.45 F001.98 F001.25 F000.63 R359.97 F000.08 R359.95 F000.02 F000.03 359.95
2050-02-13 328_03 196_55 335_18 345_36 247_43 089_50 281_00 143_58 029_11 314_43 209_40 1.00 12.67 F001.97 F001.22 F000.60 R359.98 F000.10 R359.97 F000.03 F000.03 359.95
2050-02-14 329_03 209_35 337_16 346_49 248_19 089_49 281_06 143_56 029_13 314_45 209_37 1.00 12.93 F001.95 F001.25 F000.62 R359.97 F000.07 R359.97 F000.03 F000.02 359.95
2050-02-15 330_03 222_31 339_13 348_04 248_56 089_47 281_10 143_54 029_15 314_46 209_34 0.97 13.23 F001.95 F001.25 F000.62 R359.98 F000.10 R359.93 F000.02 F000.03 359.95
