2057-00-01 256_23 195_39 236_10 303_37 107_49 289_41 351_22 179_11 045_00 321_37 077_55 1.03 14.57 F000.30 F001.02 E359.77 F000.23 F000.02 F000.03 E359.97 F000.02 359.95
2057-00-02 257_25 210_13 236_28 304_38 107_35 289_55 351_23 179_13 044_58 321_38 077_52 1.02 14.83 F000.40 F001.03 R359.75 F000.20 F000.03 F000.03 R359.98 F000.03 359.95
2057-00-03 258_26 225_03 236_52 305_40 107_20 290_07 351_25 179_15 044_57 321_40 077_49 1.03 14.88 F000.53 F001.00 R359.73 F000.23 F000.05 F000.02 R359.97 F000.00 359.95
2057-00-04 259_28 239_56 237_24 306_40 107_04 290_21 351_28 179_16 044_55 321_40 077_46 1.00 14.88 F000.62 F000.97 R359.72 F000.22 F000.03 F000.03 R000.00 F000.02 359.95
2057-00-05 260_28 254_49 238_01 307_38 106_47 290_34 351_30 179_18 044_55 321_41 077_43 1.03 14.75 F000.70 F000.98 R359.73 F000.23 F000.02 F000.02 R359.95 F000.00 359.95
2057-00-06 261_30 269_34 238_43 308_37 106_31 290_48 351_31 179_19 044_52 321_41 077_40 1.02 14.43 F000.80 F001.00 R359.70 F000.22 F000.05 F000.00 R000.00 F000.03 359.95
2057-00-07 262_31 284_00 239_31 309_37 106_13 291_01 351_34 179_19 044_52 321_43 077_37 1.03 14.07 F000.88 F000.95 R359.68 F000.23 F000.03 F000.05 R359.98 F000.00 359.95
2057-00-08 263_33 298_04 240_24 310_34 105_54 291_15 351_36 179_22 044_51 321_43 077_34 1.02 13.68 F000.92 F000.98 R359.67 F000.22 F000.02 F000.00 R359.97 F000.03 359.95
2057-00-09 264_34 311_45 241_19 311_33 105_34 291_28 351_37 179_22 044_49 321_45 077_31 1.00 13.25 F001.00 F000.95 R359.68 F000.22 F000.05 F000.03 R000.00 F000.02 359.93
2057-00-10 265_34 325_00 242_19 312_30 105_15 291_41 351_40 179_24 044_49 321_46 077_27 1.03 12.82 F001.05 F000.92 R359.67 F000.23 F000.05 F000.02 R359.95 F000.00 359.95
2057-00-11 266_36 337_49 243_22 313_25 104_55 291_55 351_43 179_25 044_46 321_46 077_24 1.02 12.50 F001.07 F000.95 R359.65 F000.22 F000.05 F000.00 R000.00 F000.03 359.93
