2061-00-01 256_22 007_17 269_38 239_01 164_20 064_49 047_12 197_16 054_08 326_22 000_30 1.02 14.38 F001.58 F001.25 F000.43 E359.85 E359.92 F000.05 E359.98 F000.00 359.95
2061-00-02 257_23 021_40 271_13 240_16 164_46 064_40 047_07 197_19 054_07 326_22 000_27 1.03 14.55 F001.60 F001.25 F000.40 R359.90 R359.95 F000.05 R359.98 F000.02 359.95
2061-00-03 258_25 036_13 272_49 241_31 165_10 064_34 047_04 197_22 054_06 326_23 000_24 1.00 14.65 F001.55 F001.25 F000.40 R359.85 R359.95 F000.03 R359.97 F000.00 359.95
2061-00-04 259_25 050_52 274_22 242_46 165_34 064_25 047_01 197_24 054_04 326_23 000_21 1.02 14.67 F001.55 F001.28 F000.40 R359.90 R359.93 F000.02 R359.97 F000.03 359.95
2061-00-05 260_26 065_32 275_55 244_03 165_58 064_19 046_57 197_25 054_02 326_25 000_18 1.03 14.58 F001.55 F001.25 F000.40 R359.85 R359.92 F000.05 R359.98 F000.00 359.92
2061-00-06 261_28 080_07 277_28 245_18 166_22 064_10 046_52 197_28 054_01 326_25 000_13 1.03 14.30 F001.50 F001.25 F000.40 R359.90 R359.95 F000.03 R359.98 F000.02 359.95
2061-00-07 262_30 094_25 278_58 246_33 166_46 064_04 046_49 197_30 054_00 326_26 000_10 1.02 13.98 F001.50 F001.25 F000.40 R359.85 R359.95 F000.02 R359.97 F000.00 359.95
2061-00-08 263_31 108_24 280_28 247_48 167_10 063_55 046_46 197_31 053_58 326_26 000_07 1.00 13.55 F001.45 F001.27 F000.38 R359.90 R359.95 F000.05 R359.98 F000.03 359.95
2061-00-09 264_31 121_57 281_55 249_04 167_33 063_49 046_43 197_34 053_57 326_28 000_04 1.03 13.12 F001.43 F001.25 F000.37 R359.88 R359.95 F000.02 R359.97 F000.00 359.95
2061-00-10 265_33 135_04 283_21 250_19 167_55 063_42 046_40 197_35 053_55 326_28 000_01 1.02 12.73 F001.37 F001.25 F000.38 R359.87 R359.95 F000.03 R000.00 F000.03 359.95
2061-00-11 266_34 147_48 284_43 251_34 168_18 063_34 046_37 197_37 053_55 326_30 359_58 1.00 12.37 F001.30 F001.25 F000.37 R359.90 R359.95 F000.05 R359.95 F000.02 359.95
2061-00-12 267_34 160_10 286_01 252_49 168_40 063_28 046_34 197_40 053_52 326_31 359_55 1.03 12.08 F001.25 F001.25 F000.35 R359.90 R359.93 F000.02 R000.00 F000.00 359.95
2061-00-13 268_36 172_15 287_16 254_04 169_01 063_22 046_30 197_41 053_52 326_31 359_52 1.02 11.90 F001.17 F001.25 F000.35 R359.88 R359.97 F000.03 R359.95 F000.03 359.95
2061-00-14 269_37 184_09 288_26 255_19 169_22 063_15 046_28 197_43 053_49 326_33 359_49 1.02 11.78 F001.08 F001.28 F000.35 R359.88 R359.95 F000.03 R000.00 F000.02 359.95
2061-00-15 270_38 195_56 289_31 256_36 169_43 063_08 046_25 197_45 053_49 326_34 359_46 1.03 11.78 F000.98 F001.25 F000.35 R359.88 R359.95 F000.02 R359.97 F000.00 359.95
2061-00-16 271_40 207_43 290_30 257_51 170_04 063_01 046_22 197_46 053_47 326_34 359_43 1.00 11.90 F000.87 F001.25 F000.35 R359.90 R359.95 F000.05 R359.98 F000.03 359.92
2061-00-17 272_40 219_37 291_22 259_06 170_25 062_55 046_19 197_49 053_46 326_36 359_38 1.02 12.03 F000.73 F001.27 F000.35 R359.90 R359.95 F000.00 R359.98 F000.02 359.97
