2062-00-01 256_07 147_33 275_26 248_58 293_58 102_05 062_21 201_41 056_27 327_31 341_10 1.00 13.03 F000.70 E359.45 F000.80 E359.88 E359.92 F000.03 E359.97 F000.00 359.95
2062-00-02 257_07 160_35 276_08 248_25 294_46 101_58 062_16 201_43 056_25 327_31 341_07 1.02 12.67 F000.55 R359.45 F000.78 R359.90 R359.90 F000.05 R359.97 F000.03 359.93
2062-00-03 258_08 173_15 276_41 247_52 295_33 101_52 062_10 201_46 056_23 327_33 341_03 1.03 12.33 F000.38 R359.50 F000.77 R359.90 R359.95 F000.05 R359.98 F000.02 359.95
2062-00-04 259_10 185_35 277_04 247_22 296_19 101_46 062_07 201_49 056_22 327_34 341_00 1.00 12.10 F000.25 R359.53 F000.80 R359.88 R359.90 F000.05 R359.98 F000.00 359.93
2062-00-05 260_10 197_41 277_19 246_54 297_07 101_39 062_01 201_52 056_21 327_34 340_56 1.02 11.97 B000.05 R359.53 F000.77 R359.87 R359.95 F000.03 R359.97 F000.00 359.95
2062-00-06 261_11 209_39 277_22 246_26 297_53 101_31 061_58 201_54 056_19 327_34 340_53 1.03 11.87 R359.85 R359.58 F000.80 R359.88 R359.90 F000.02 R359.97 F000.03 359.97
2062-00-07 262_13 221_31 277_13 246_01 298_41 101_24 061_52 201_55 056_17 327_36 340_51 1.03 11.85 R359.65 R359.63 F000.78 R359.87 R359.95 F000.05 R359.98 F000.02 359.92
2062-00-08 263_15 233_22 276_52 245_39 299_28 101_16 061_49 201_58 056_16 327_37 340_46 1.02 11.85 R359.48 R359.65 F000.80 R359.90 R359.90 F000.05 R359.98 F000.00 359.95
2062-00-09 264_16 245_13 276_21 245_18 300_16 101_10 061_43 202_01 056_15 327_37 340_43 1.00 11.90 R359.27 R359.70 F000.78 R359.85 R359.95 F000.03 R359.97 F000.00 359.95
2062-00-10 265_16 257_07 275_37 245_00 301_03 101_01 061_40 202_03 056_13 327_37 340_40 1.03 11.98 R359.10 R359.72 F000.77 R359.90 R359.93 F000.02 R359.98 F000.02 359.95
2062-00-11 266_18 269_06 274_43 244_43 301_49 100_55 061_36 202_04 056_12 327_38 340_37 1.02 12.03 R358.92 R359.80 F000.80 R359.85 R359.92 F000.05 R359.97 F000.03 359.95
