2083-00-01 255_43 040_25 242_13 209_30 346_19 000_13 310_16 287_06 104_13 350_19 294_43 1.03 12.18 E359.37 F001.08 F000.60 F000.03 F000.10 F000.03 E359.98 F000.00 359.95
2083-00-02 256_45 052_36 241_35 210_35 346_55 000_15 310_22 287_08 104_12 350_19 294_40 1.02 12.37 R359.58 F001.10 F000.60 F000.05 F000.07 F000.05 R359.97 F000.00 359.95
2083-00-03 257_46 064_58 241_10 211_41 347_31 000_18 310_26 287_11 104_10 350_19 294_37 1.00 12.55 R359.73 F001.12 F000.60 F000.05 F000.12 F000.07 R359.98 F000.00 359.95
2083-00-04 258_46 077_31 240_54 212_48 348_07 000_21 310_33 287_15 104_09 350_19 294_34 1.05 12.77 R359.90 F001.12 F000.60 F000.07 F000.07 F000.05 R359.97 F000.00 359.95
2083-00-05 259_49 090_17 240_48 213_55 348_43 000_25 310_37 287_18 104_07 350_19 294_31 1.00 12.98 E000.03 F001.10 F000.60 F000.05 F000.10 F000.05 R359.97 F000.00 359.95
2083-00-06 260_49 103_16 240_50 215_01 349_19 000_28 310_43 287_21 104_05 350_19 294_28 1.03 13.15 F000.18 F001.13 F000.60 F000.05 F000.10 F000.07 R359.98 F000.00 359.95
2083-00-07 261_51 116_25 241_01 216_09 349_55 000_31 310_49 287_25 104_04 350_19 294_25 1.02 13.38 F000.32 F001.12 F000.60 F000.05 F000.10 F000.05 R359.97 F000.00 359.93
2083-00-08 262_52 129_48 241_20 217_16 350_31 000_34 310_55 287_28 104_02 350_19 294_21 1.00 13.57 F000.47 F001.10 F000.60 F000.08 F000.10 F000.05 R359.98 F000.00 359.95
2083-00-09 263_52 143_22 241_48 218_22 351_07 000_39 311_01 287_31 104_01 350_19 294_18 1.02 13.75 F000.52 F001.15 F000.63 F000.07 F000.10 F000.05 R359.98 F000.00 359.95
2083-00-10 264_53 157_07 242_19 219_31 351_45 000_43 311_07 287_34 104_00 350_19 294_15 1.03 13.93 F000.65 F001.13 F000.60 F000.08 F000.07 F000.05 R359.97 F000.03 359.93
2083-00-11 265_55 171_03 242_58 220_39 352_21 000_48 311_11 287_37 103_58 350_21 294_11 1.02 14.12 F000.72 F001.12 F000.62 F000.07 F000.12 F000.05 R359.98 F000.00 359.95
2083-00-12 266_56 185_10 243_41 221_46 352_58 000_52 311_18 287_40 103_57 350_21 294_08 1.03 14.27 F000.83 F001.15 F000.60 F000.08 F000.08 F000.05 R359.97 F000.00 359.93
2083-00-13 267_58 199_26 244_31 222_55 353_34 000_57 311_23 287_43 103_55 350_21 294_04 1.00 14.38 F000.85 F001.13 F000.62 F000.07 F000.12 F000.08 R359.98 F000.02 359.95
2083-00-14 268_58 213_49 245_22 224_03 354_11 001_01 311_30 287_48 103_54 350_22 294_01 1.03 14.45 F000.95 F001.13 F000.62 F000.10 F000.10 F000.05 R359.97 F000.00 359.95
2083-00-15 270_00 228_16 246_19 225_11 354_48 001_07 311_36 287_51 103_52 350_22 293_58 1.02 14.40 F001.00 F001.15 F000.62 F000.10 F000.08 F000.07 R359.95 F000.00 359.95
2083-00-16 271_01 242_40 247_19 226_20 355_25 001_13 311_41 287_55 103_49 350_22 293_55 1.00 14.25 F001.02 F001.17 F000.60 F000.08 F000.13 F000.05 R000.00 F000.00 359.95
2083-00-17 272_01 256_55 248_20 227_30 356_01 001_18 311_49 287_58 103_49 350_22 293_52 1.03 14.05 F001.08 F001.15 F000.62 F000.08 F000.10 F000.05 R359.95 F000.00 359.95
