2089-00-01 256_11 131_34 261_55 303_07 116_55 198_24 025_43 309_58 117_42 356_22 178_34 1.03 14.02 E358.72 F000.93 E359.85 F000.17 E359.97 F000.05 E359.97 E000.00 359.95
2089-00-02 257_13 145_35 260_38 304_03 116_46 198_34 025_41 310_01 117_40 356_22 178_31 1.03 13.53 R358.68 F000.92 R359.85 F000.15 R359.98 F000.03 R359.98 R000.00 359.95
2089-00-03 258_15 159_07 259_19 304_58 116_37 198_43 025_40 310_03 117_39 356_22 178_28 1.02 13.10 R358.65 F000.90 R359.85 F000.15 R359.95 F000.02 R359.97 R000.00 359.95
2089-00-04 259_16 172_13 257_58 305_52 116_28 198_52 025_37 310_04 117_37 356_22 178_25 1.00 12.70 R358.65 F000.93 R359.82 F000.15 R359.98 F000.05 R000.00 E000.00 359.92
2089-00-05 260_16 184_55 256_37 306_48 116_17 199_01 025_36 310_07 117_37 356_22 178_20 1.03 12.40 R358.72 F000.87 R359.80 F000.15 R359.97 F000.05 R359.97 F000.00 359.97
2089-00-06 261_18 197_19 255_20 307_40 116_05 199_10 025_34 310_10 117_35 356_22 178_18 1.02 12.18 R358.82 F000.90 R359.82 F000.15 R359.98 F000.05 R359.98 F000.00 359.95
2089-00-07 262_19 209_30 254_09 308_34 115_54 199_19 025_33 310_13 117_34 356_22 178_15 1.00 12.02 R358.92 F000.87 R359.77 F000.15 R359.97 F000.03 R359.97 F000.00 359.93
2089-00-08 263_19 221_31 253_04 309_26 115_40 199_28 025_31 310_15 117_32 356_22 178_11 1.05 11.95 R359.10 F000.87 R359.80 F000.15 R359.98 F000.05 R359.98 F000.00 359.97
2089-00-09 264_22 233_28 252_10 310_18 115_28 199_37 025_30 310_18 117_31 356_22 178_09 1.00 11.87 R359.23 F000.83 R359.75 F000.15 R359.97 F000.05 R359.98 F000.00 359.92
2089-00-10 265_22 245_20 251_24 311_08 115_13 199_46 025_28 310_21 117_30 356_22 178_04 1.02 11.85 R359.40 F000.83 R359.75 F000.15 R000.00 F000.02 R359.97 F000.00 359.95
2089-00-11 266_23 257_11 250_48 311_58 114_58 199_55 025_28 310_22 117_28 356_22 178_01 1.03 11.88 R359.57 F000.83 R359.73 F000.13 R359.95 F000.05 R000.00 F000.00 359.95
2089-00-12 267_25 269_04 250_22 312_48 114_42 200_03 025_25 310_25 117_28 356_22 177_58 1.00 11.90 R359.72 F000.80 R359.72 F000.12 R000.00 F000.05 R359.95 F000.02 359.95
2089-00-13 268_25 280_58 250_05 313_36 114_25 200_10 025_25 310_28 117_25 356_23 177_55 1.02 11.95 R359.88 F000.77 R359.70 F000.15 R000.00 F000.05 R000.00 F000.00 359.95
2089-00-14 269_26 292_55 249_58 314_22 114_07 200_19 025_25 310_31 117_25 356_23 177_52 1.03 12.00 E000.05 F000.80 R359.70 F000.15 R359.97 F000.05 R359.95 F000.00 359.95
2089-00-15 270_28 304_55 250_01 315_10 113_49 200_28 025_23 310_34 117_22 356_23 177_49 1.03 12.15 F000.15 F000.75 R359.70 F000.12 R359.98 F000.05 R000.00 F000.00 359.95
2089-00-16 271_30 317_04 250_10 315_55 113_31 200_35 025_22 310_37 117_22 356_23 177_46 1.02 12.28 F000.30 F000.72 R359.68 F000.13 R000.00 F000.05 R359.95 F000.03 359.95
2089-00-17 272_31 329_21 250_28 316_38 113_12 200_43 025_22 310_40 117_19 356_25 177_43 1.00 12.47 F000.40 F000.73 R359.67 F000.12 R000.00 F000.05 R000.00 F000.00 359.95
2089-00-18 273_31 341_49 250_52 317_22 112_52 200_50 025_22 310_43 117_19 356_25 177_40 1.03 12.75 F000.50 F000.70 R359.65 F000.13 R000.00 F000.05 R359.95 F000.00 359.95
2089-00-19 274_33 354_34 251_22 318_04 112_31 200_58 025_22 310_46 117_16 356_25 177_37 1.02 13.10 F000.60 F000.70 R359.65 F000.12 R000.00 F000.05 R000.00 F000.00 359.95
2089-00-20 275_34 007_40 251_58 318_46 112_10 201_05 025_22 310_49 117_16 356_25 177_34 1.00 13.52 F000.70 F000.65 R359.65 F000.13 E000.00 F000.05 R359.95 F000.00 359.95
2089-00-21 276_34 021_11 252_40 319_25 111_49 201_13 025_22 310_52 117_13 356_25 177_31 1.03 13.95 F000.75 F000.65 R359.63 F000.10 F000.00 F000.05 R000.00 F000.00 359.92
2089-00-22 277_36 035_08 253_25 320_04 111_27 201_19 025_22 310_55 117_13 356_25 177_26 1.02 14.43 F000.83 F000.62 R359.62 F000.12 F000.00 F000.05 R359.95 F000.02 359.97
2089-00-23 278_37 049_34 254_15 320_41 111_04 201_26 025_22 310_58 117_10 356_26 177_24 1.00 14.83 F000.90 F000.58 R359.63 F000.13 F000.00 F000.05 R000.00 F000.00 359.93
2089-00-24 279_37 064_24 255_09 321_16 110_42 201_34 025_22 311_01 117_10 356_26 177_20 1.02 15.13 F000.95 F000.60 R359.62 F000.10 F000.00 F000.05 R359.95 F000.03 359.97
2089-00-25 280_38 079_32 256_06 321_52 110_19 201_40 025_22 311_04 117_07 356_28 177_18 1.03 15.30 F001.00 F000.55 R359.60 F000.10 F000.02 F000.05 R359.97 F000.00 359.95
2089-00-26 281_40 094_50 257_06 322_25 109_55 201_46 025_23 311_07 117_05 356_28 177_15 1.00 15.28 F001.02 F000.50 R359.62 F000.10 F000.00 F000.05 R359.98 F000.00 359.92
2089-00-27 282_40 110_07 258_07 322_55 109_32 201_52 025_23 311_10 117_04 356_28 177_10 1.02 15.05 F001.10 F000.50 R359.62 F000.10 F000.03 F000.05 R359.97 F000.00 359.95
2089-00-28 283_41 125_10 259_13 323_25 109_09 201_58 025_25 311_13 117_02 356_28 177_07 1.03 14.65 F001.13 F000.47 R359.60 F000.10 F000.00 F000.05 R359.98 F000.03 359.95
2089-00-29 284_43 139_49 260_21 323_53 108_45 202_04 025_25 311_16 117_01 356_30 177_04 1.00 14.23 F001.17 F000.47 R359.58 F000.10 F000.02 F000.05 R359.98 F000.00 359.95
2089-00-30 285_43 154_03 261_31 324_21 108_20 202_10 025_26 311_19 117_00 356_30 177_01 1.03 13.70 F001.20 F000.40 R359.62 F000.10 F000.03 F000.05 R359.97 F000.02 359.95
2089-00-31 286_45 167_45 262_43 324_45 107_57 202_16 025_28 311_22 116_58 356_31 176_58 1.02 13.22 F001.20 F000.37 R359.58 F000.10 F000.00 F000.05 R359.98 F000.00 359.95
2089-01-01 287_46 180_58 263_55 325_07 107_32 202_22 025_28 311_25 116_57 356_31 176_55 1.00 12.80 F001.25 F000.35 R359.62 F000.10 F000.03 F000.05 R359.97 F000.00 359.95
2089-01-02 288_46 193_46 265_10 325_28 107_09 202_28 025_30 311_28 116_55 356_31 176_52 1.00 12.45 F001.30 F000.33 R359.60 F000.08 F000.02 F000.08 R359.95 F000.03 359.95
2089-01-03 289_46 206_13 266_28 325_48 106_45 202_33 025_31 311_33 116_52 356_33 176_49 1.03 12.15 F001.30 F000.27 R359.58 F000.07 F000.03 F000.05 R000.00 F000.00 359.95
2089-01-04 290_48 218_22 267_46 326_04 106_20 202_37 025_33 311_36 116_52 356_33 176_46 1.02 12.00 F001.30 F000.25 R359.63 F000.10 F000.02 F000.03 R359.95 F000.02 359.95
2089-01-05 291_49 230_22 269_04 326_19 105_58 202_43 025_34 311_38 116_49 356_34 176_43 1.00 11.90 F001.35 F000.23 R359.60 F000.08 F000.05 F000.08 R359.97 F000.00 359.95
2089-01-06 292_49 242_16 270_25 326_33 105_34 202_48 025_37 311_43 116_47 356_34 176_40 1.03 11.85 F001.38 F000.17 R359.60 F000.07 F000.02 F000.05 R359.98 F000.03 359.95
2089-01-07 293_51 254_07 271_48 326_43 105_10 202_52 025_38 311_46 116_46 356_36 176_37 1.02 11.85 F001.37 F000.15 R359.62 F000.07 F000.03 F000.05 R359.98 F000.00 359.93
2089-01-08 294_52 265_58 273_10 326_52 104_47 202_56 025_40 311_49 116_45 356_36 176_33 1.00 11.90 F001.40 F000.10 R359.63 F000.08 F000.05 F000.05 R359.97 F000.02 359.95
2089-01-09 295_52 277_52 274_34 326_58 104_25 203_01 025_43 311_52 116_43 356_37 176_30 1.00 11.95 F001.43 F000.05 R359.65 F000.07 F000.03 F000.05 R359.95 F000.00 359.93
2089-01-10 296_52 289_49 276_00 327_01 104_04 203_05 025_45 311_55 116_40 356_37 176_26 1.02 12.10 F001.42 F000.03 R359.63 F000.07 F000.02 F000.05 R000.00 F000.02 359.97
2089-01-11 297_53 301_55 277_25 327_03 103_42 203_09 025_46 311_58 116_40 356_38 176_24 1.03 12.20 F001.45 B359.97 R359.63 F000.07 F000.05 F000.08 R359.95 F000.00 359.93
2089-01-12 298_55 314_07 278_52 327_01 103_20 203_13 025_49 312_03 116_37 356_38 176_20 1.00 12.32 F001.48 R359.95 R359.67 F000.05 F000.05 F000.05 R359.97 F000.03 359.93
2089-01-13 299_55 326_26 280_21 326_58 103_00 203_16 025_52 312_06 116_35 356_40 176_16 1.00 12.48 F001.47 R359.90 R359.67 F000.05 F000.05 F000.03 R359.98 F000.00 359.95
2089-01-14 300_55 338_55 281_49 326_52 102_40 203_19 025_55 312_08 116_34 356_40 176_13 1.02 12.68 F001.50 R359.85 R359.65 F000.05 F000.05 F000.08 R359.97 F000.02 359.95
2089-01-15 301_56 351_36 283_19 326_43 102_19 203_22 025_58 312_13 116_32 356_41 176_10 1.00 12.90 F001.53 R359.80 R359.70 F000.05 F000.03 F000.05 R359.98 F000.03 359.95
2089-01-16 302_56 004_30 284_51 326_31 102_01 203_25 026_00 312_16 116_31 356_43 176_07 1.03 13.13 F001.52 R359.78 R359.70 F000.05 F000.05 F000.05 R359.98 F000.00 359.95
2089-01-17 303_58 017_38 286_22 326_18 101_43 203_28 026_03 312_19 116_30 356_43 176_04 1.00 13.48 F001.55 R359.72 R359.70 F000.05 F000.05 F000.05 R359.97 F000.03 359.95
2089-01-18 304_58 031_07 287_55 326_01 101_25 203_31 026_06 312_22 116_28 356_45 176_01 1.00 13.80 F001.55 R359.70 R359.70 F000.05 F000.03 F000.07 R359.95 F000.02 359.95
2089-01-19 305_58 044_55 289_28 325_43 101_07 203_34 026_08 312_26 116_25 356_46 175_58 1.03 14.18 F001.60 R359.65 R359.75 F000.05 F000.08 F000.07 R000.00 F000.00 359.95
