2100-00-01 255_22 132_10 262_46 294_49 004_17 175_58 180_24 352_30 142_04 007_10 325_41 1.00 14.02 B001.62 B001.20 B000.42 B000.10 B000.03 B000.02 E359.98 E000.00 359.95
2100-00-02 256_22 146_11 264_23 296_01 004_42 176_04 180_26 352_31 142_03 007_10 325_38 1.02 14.08 F001.63 F001.20 R000.42 F000.10 F000.08 F000.00 R000.00 R359.98 359.97
2100-00-03 257_23 160_16 266_01 297_13 005_07 176_10 180_31 352_31 142_03 007_09 325_36 1.03 14.10 F001.62 F001.20 R000.40 F000.10 F000.05 F000.00 R359.97 R000.00 359.95
2100-00-04 258_25 174_22 267_38 298_25 005_31 176_16 180_34 352_31 142_01 007_09 325_33 1.02 14.07 F001.63 F001.20 R000.45 F000.10 F000.05 F000.00 R000.00 R000.00 359.92
2100-00-05 259_26 188_26 269_16 299_37 005_58 176_22 180_37 352_31 142_01 007_09 325_28 1.03 14.08 F001.65 F001.20 R000.40 F000.10 F000.05 F000.00 R000.00 R000.00 359.95
2100-00-06 260_28 202_31 270_55 300_49 006_22 176_28 180_40 352_31 142_01 007_09 325_25 1.00 14.05 F001.63 F001.20 R000.45 F000.10 F000.05 F000.03 R000.00 R359.97 359.95
2100-00-07 261_28 216_34 272_33 302_01 006_49 176_34 180_43 352_33 142_01 007_07 325_22 1.03 13.95 F001.62 F001.20 R000.45 F000.08 F000.05 F000.02 R359.98 R000.00 359.95
2100-00-08 262_30 230_31 274_10 303_13 007_16 176_39 180_46 352_34 142_00 007_07 325_19 1.02 13.78 F001.65 F001.20 R000.43 F000.07 F000.05 F000.00 R359.97 R000.00 359.95
2100-00-09 263_31 244_18 275_49 304_25 007_42 176_43 180_49 352_34 141_58 007_07 325_16 1.03 13.57 F001.62 F001.20 R000.45 F000.10 F000.02 F000.00 R000.00 R000.00 359.95
2100-00-10 264_33 257_52 277_26 305_37 008_09 176_49 180_50 352_34 141_58 007_07 325_13 1.02 13.30 F001.63 F001.18 R000.43 F000.08 F000.07 F000.03 R000.00 R000.00 359.95
2100-00-11 265_34 271_10 279_04 306_48 008_35 176_54 180_54 352_36 141_58 007_07 325_10 1.00 13.00 F001.60 F001.17 R000.48 F000.07 F000.03 F000.02 R359.97 R000.00 359.95
2100-00-12 266_34 284_10 280_40 307_58 009_04 176_58 180_56 352_37 141_56 007_07 325_07 1.03 12.70 F001.60 F001.20 R000.45 F000.10 F000.03 F000.00 R359.98 R000.00 359.95
2100-00-13 267_36 296_52 282_16 309_10 009_31 177_04 180_58 352_37 141_55 007_07 325_04 1.02 12.40 F001.58 F001.18 R000.45 F000.05 F000.05 F000.00 R000.00 R000.00 359.95
2100-00-14 268_37 309_16 283_51 310_21 009_58 177_07 181_01 352_37 141_55 007_07 325_01 1.00 12.15 F001.57 F001.17 R000.50 F000.07 F000.03 F000.02 R000.00 R000.00 359.95
2100-00-15 269_37 321_25 285_25 311_31 010_28 177_11 181_03 352_38 141_55 007_07 324_58 1.02 11.95 F001.52 F001.20 R000.45 F000.08 F000.02 F000.03 R359.98 R000.00 359.92
2100-00-16 270_38 333_22 286_56 312_43 010_55 177_16 181_04 352_40 141_54 007_07 324_53 1.03 11.85 F001.53 F001.17 R000.48 F000.05 F000.05 F000.00 R359.97 R000.00 359.97
2100-00-17 271_40 345_13 288_28 313_53 011_24 177_19 181_07 352_40 141_52 007_07 324_51 1.02 11.80 F001.45 F001.18 R000.47 F000.08 F000.03 F000.02 R000.00 R000.00 359.95
2100-00-18 272_41 357_01 289_55 315_04 011_52 177_24 181_09 352_41 141_52 007_07 324_48 1.03 11.85 F001.43 F001.18 R000.50 F000.03 F000.02 F000.03 R359.97 R000.00 359.95
2100-00-19 273_43 008_52 291_21 316_15 012_22 177_26 181_10 352_43 141_50 007_07 324_45 1.00 12.00 F001.37 F001.17 R000.47 F000.08 F000.05 F000.03 R359.98 R000.00 359.93
2100-00-20 274_43 020_52 292_43 317_25 012_50 177_31 181_13 352_45 141_49 007_07 324_41 1.03 12.23 F001.30 F001.18 R000.50 F000.05 F000.00 F000.02 R000.00 R000.00 359.95
2100-00-21 275_45 033_06 294_01 318_36 013_20 177_34 181_13 352_46 141_49 007_07 324_38 1.02 12.52 F001.23 F001.17 R000.48 F000.05 F000.05 F000.00 R359.98 R000.00 359.93
2100-00-22 276_46 045_37 295_15 319_46 013_49 177_37 181_16 352_46 141_48 007_07 324_34 1.00 12.85 F001.12 F001.15 R000.50 F000.05 F000.00 F000.05 R359.97 R000.00 359.95
2100-00-23 277_46 058_28 296_22 320_55 014_19 177_40 181_16 352_49 141_46 007_07 324_31 1.03 13.25 F001.05 F001.18 R000.50 F000.02 F000.03 F000.00 R000.00 R000.00 359.95
2100-00-24 278_48 071_43 297_25 322_06 014_49 177_41 181_18 352_49 141_46 007_07 324_28 1.02 13.60 F000.90 F001.15 R000.50 F000.07 F000.02 F000.05 R359.98 R000.00 359.95
2100-00-25 279_49 085_19 298_19 323_15 015_19 177_45 181_19 352_52 141_45 007_07 324_25 1.00 13.95 F000.80 F001.17 R000.52 F000.02 F000.00 F000.00 R359.97 R000.03 359.95
2100-00-26 280_49 099_16 299_07 324_25 015_50 177_46 181_19 352_52 141_43 007_09 324_22 1.03 14.18 F000.65 F001.15 R000.52 F000.05 F000.02 F000.05 R359.97 R000.00 359.95
2100-00-27 281_51 113_27 299_46 325_34 016_21 177_49 181_20 352_55 141_41 007_09 324_19 1.02 14.37 F000.50 F001.15 R000.52 F000.02 F000.03 F000.00 R359.98 R000.00 359.95
2100-00-28 282_52 127_49 300_16 326_43 016_52 177_50 181_22 352_55 141_40 007_09 324_16 1.00 14.43 F000.30 F001.15 R000.50 F000.03 F000.00 F000.05 R000.00 R000.00 359.95
2100-00-29 283_52 142_15 300_34 327_52 017_22 177_52 181_22 352_58 141_40 007_09 324_13 1.02 14.43 F000.15 F001.15 R000.50 F000.03 F000.00 F000.03 R359.98 R000.02 359.95
2100-00-30 284_53 156_41 300_43 329_01 017_52 177_54 181_22 353_00 141_39 007_10 324_10 1.03 14.37 F359.95 F001.15 R000.55 F000.02 F000.03 F000.02 R359.97 R000.00 359.95
2100-00-31 285_55 171_03 300_40 330_10 018_25 177_55 181_24 353_01 141_37 007_10 324_07 1.00 14.25 F359.77 F001.15 R000.50 F000.02 F000.00 F000.03 R359.97 R000.00 359.95
2100-01-01 286_55 185_18 300_26 331_19 018_55 177_56 181_24 353_03 141_35 007_10 324_04 1.02 14.10 F359.58 F001.12 R000.52 F000.03 F000.02 F000.02 R359.98 R000.00 359.93
2100-01-02 287_56 199_24 300_01 332_26 019_26 177_58 181_25 353_04 141_34 007_10 324_00 1.03 13.92 F359.40 F001.13 R000.53 F000.00 F000.00 F000.05 R359.98 R000.00 359.93
2100-01-03 288_58 213_19 299_25 333_34 019_58 177_58 181_25 353_07 141_33 007_10 323_56 1.00 13.75 F359.25 F001.15 R000.53 F000.00 F000.00 F000.02 R359.97 R000.03 359.95
2100-01-04 289_58 227_04 298_40 334_43 020_30 177_58 181_25 353_08 141_31 007_12 323_53 1.00 13.52 F359.10 F001.13 R000.52 F000.00 F000.00 F000.03 R000.00 R000.00 359.97
2100-01-05 290_58 240_35 297_46 335_51 021_01 177_58 181_25 353_10 141_31 007_12 323_51 1.03 13.35 F358.95 F001.12 R000.55 F000.03 F000.00 F000.05 R359.95 R000.02 359.95
2100-01-06 292_00 253_56 296_43 336_58 021_34 178_00 181_25 353_13 141_28 007_13 323_48 1.02 13.13 F358.90 F001.13 R000.53 F000.00 F359.98 F000.03 R000.00 R000.00 359.95
2100-01-07 293_01 267_04 295_37 338_06 022_06 178_00 181_24 353_15 141_28 007_13 323_45 1.00 12.90 F358.80 F001.12 R000.52 F359.97 F000.00 F000.02 R359.95 R000.00 359.92
2100-01-08 294_01 279_58 294_25 339_13 022_37 177_58 181_24 353_16 141_25 007_13 323_40 1.03 12.70 F358.80 F001.10 R000.55 F000.00 F000.00 F000.05 R000.00 R000.00 359.95
2100-01-09 295_03 292_40 293_13 340_19 023_10 177_58 181_24 353_19 141_25 007_13 323_37 1.02 12.45 F358.80 F001.12 R000.55 F000.00 F359.97 F000.03 R359.98 R000.03 359.95
2100-01-10 296_04 305_07 292_01 341_26 023_43 177_58 181_22 353_21 141_24 007_15 323_34 1.00 12.23 F358.85 F001.12 R000.55 F000.00 F000.00 F000.02 R359.97 R000.00 359.95
2100-01-11 297_04 317_21 290_52 342_33 024_16 177_58 181_22 353_22 141_22 007_15 323_31 1.00 12.07 F358.93 F001.08 R000.53 F359.97 F000.00 F000.05 R359.97 R000.02 359.95
2100-01-12 298_04 329_25 289_48 343_38 024_48 177_56 181_22 353_25 141_20 007_16 323_28 1.03 11.90 F359.00 F001.12 R000.55 F359.98 F359.97 F000.05 R359.98 R000.00 359.95
2100-01-13 299_06 341_19 288_48 344_45 025_21 177_55 181_20 353_28 141_19 007_16 323_25 1.00 11.82 F359.08 F001.10 R000.53 F359.98 F359.98 F000.03 R359.98 R000.00 359.95
2100-01-14 300_06 353_08 287_53 345_51 025_53 177_54 181_19 353_30 141_18 007_16 323_22 1.02 11.82 F359.23 F001.07 R000.55 F359.97 F000.00 F000.05 R359.97 R000.02 359.95
2100-01-15 301_07 004_57 287_07 346_55 026_26 177_52 181_19 353_33 141_16 007_17 323_19 1.00 11.85 F359.38 F001.10 R000.57 F359.97 F359.95 F000.02 R359.95 R000.00 359.95
2100-01-16 302_07 016_48 286_30 348_01 027_00 177_50 181_16 353_34 141_13 007_17 323_16 1.00 11.97 F359.47 F001.10 R000.55 F359.98 F000.00 F000.05 R000.00 R000.03 359.95
2100-01-17 303_07 028_46 285_58 349_07 027_33 177_49 181_16 353_37 141_13 007_19 323_13 1.02 12.20 F359.63 F001.05 R000.55 F359.95 F359.98 F000.05 R359.95 R000.00 359.95
2100-01-18 304_08 040_58 285_36 350_10 028_06 177_46 181_15 353_40 141_10 007_19 323_10 1.00 12.48 F359.75 F001.10 R000.57 F359.98 F359.97 F000.02 R000.00 R000.00 359.93
2100-01-19 305_08 053_27 285_21 351_16 028_40 177_45 181_13 353_41 141_10 007_19 323_06 1.03 12.82 F359.87 F001.05 R000.55 F359.93 F359.97 F000.07 R359.95 R000.02 359.95
2100-01-20 306_10 066_16 285_13 352_19 029_13 177_41 181_11 353_45 141_07 007_20 323_03 1.00 13.25 F000.00 F001.05 R000.55 F359.98 F359.98 F000.05 R000.00 R000.03 359.95
2100-01-21 307_10 079_31 285_13 353_22 029_46 177_40 181_10 353_48 141_07 007_22 323_00 1.00 13.65 F000.10 F001.07 R000.55 F359.95 F359.95 F000.02 R359.95 R000.00 359.93
2100-01-22 308_10 093_10 285_19 354_26 030_19 177_37 181_07 353_49 141_04 007_22 322_56 1.00 14.10 F000.20 F001.07 R000.57 F359.95 F359.97 F000.05 R359.98 R000.00 359.95
2100-01-23 309_10 107_16 285_31 355_30 030_53 177_34 181_05 353_52 141_03 007_22 322_53 1.02 14.43 F000.30 F001.02 R000.58 F359.95 F359.98 F000.05 R359.97 R000.03 359.97
2100-01-24 310_11 121_42 285_49 356_31 031_28 177_31 181_04 353_55 141_01 007_24 322_51 1.00 14.72 F000.43 F001.05 R000.55 F359.92 F359.95 F000.05 R359.98 R000.02 359.92
2100-01-25 311_11 136_25 286_15 357_34 032_01 177_26 181_01 353_58 141_00 007_25 322_46 1.03 14.88 F000.47 F001.03 R000.58 F359.97 F359.98 F000.05 R359.97 R000.00 359.95
2100-01-26 312_13 151_18 286_43 358_36 032_36 177_24 181_00 354_01 140_58 007_25 322_43 1.00 14.87 F000.58 F001.02 R000.57 F359.92 F359.97 F000.05 R359.97 R000.03 359.95
2100-01-27 313_13 166_10 287_18 359_37 033_10 177_19 180_58 354_04 140_56 007_27 322_40 1.00 14.80 F000.62 F001.03 R000.55 F359.95 F359.95 F000.03 R359.98 R000.02 359.95
2100-01-28 314_13 180_58 287_55 000_39 033_43 177_16 180_55 354_06 140_55 007_28 322_37 1.00 14.60 F000.72 F001.02 R000.57 F359.92 F359.95 F000.03 R359.95 R000.00 359.95
2100-02-01 315_13 195_34 288_38 001_40 034_17 177_11 180_52 354_08 140_52 007_28 322_34 1.00 14.33 F000.78 F001.00 R000.58 F359.93 F359.95 F000.05 R000.00 R000.00 359.95
2100-02-02 316_13 209_54 289_25 002_40 034_52 177_07 180_49 354_11 140_52 007_28 322_31 1.00 14.00 F000.83 F001.00 R000.55 F359.95 F359.98 F000.07 R359.95 R000.03 359.95
2100-02-03 317_13 223_54 290_15 003_40 035_25 177_04 180_48 354_15 140_49 007_30 322_28 1.00 13.67 F000.87 F000.98 R000.60 F359.90 F359.95 F000.05 R359.98 R000.02 359.95
2100-02-04 318_13 237_34 291_07 004_39 036_01 176_58 180_45 354_18 140_48 007_31 322_25 1.00 13.35 F000.95 F000.97 R000.55 F359.95 F359.93 F000.05 R359.97 R000.00 359.95
2100-02-05 319_13 250_55 292_04 005_37 036_34 176_55 180_41 354_21 140_46 007_31 322_22 1.00 13.05 F001.00 F001.00 R000.57 F359.90 F359.97 F000.03 R359.98 R000.02 359.95
2100-02-06 320_13 263_58 293_04 006_37 037_08 176_49 180_39 354_23 140_45 007_32 322_19 1.03 12.80 F001.03 F000.95 R000.58 F359.93 F359.93 F000.05 R359.97 R000.03 359.95
2100-02-07 321_15 276_46 294_06 007_34 037_43 176_45 180_35 354_26 140_43 007_34 322_16 1.00 12.55 F001.07 F000.98 R000.60 F359.92 F359.97 F000.07 R359.97 R000.00 359.92
2100-02-08 322_15 289_19 295_10 008_33 038_19 176_40 180_33 354_30 140_41 007_34 322_11 1.00 12.35 F001.10 F000.95 R000.55 F359.90 F359.95 F000.05 R359.98 R000.02 359.95
2100-02-09 323_15 301_40 296_16 009_30 038_52 176_34 180_30 354_33 140_40 007_35 322_08 1.00 12.20 F001.15 F000.92 R000.60 F359.90 F359.93 F000.05 R359.95 R000.03 359.97
2100-02-10 324_15 313_52 297_25 010_25 039_28 176_28 180_26 354_36 140_37 007_37 322_06 1.00 12.05 F001.18 F000.95 R000.57 F359.90 F359.97 F000.03 R000.00 R000.00 359.95
2100-02-11 325_15 325_55 298_36 011_22 040_02 176_22 180_24 354_38 140_37 007_37 322_03 1.00 11.93 F001.22 F000.90 R000.58 F359.90 F359.92 F000.05 R359.95 R000.03 359.95
2100-02-12 326_15 337_51 299_49 012_16 040_37 176_16 180_19 354_41 140_34 007_39 322_00 1.00 11.83 F001.23 F000.92 R000.58 F359.92 F359.95 F000.07 R359.98 R000.02 359.93
2100-02-13 327_15 349_41 301_03 013_11 041_12 176_11 180_16 354_45 140_33 007_40 321_56 1.00 11.83 F001.27 F000.90 R000.57 F359.90 F359.95 F000.05 R359.97 R000.03 359.93
2100-02-14 328_15 001_31 302_19 014_05 041_46 176_05 180_13 354_48 140_31 007_42 321_52 1.00 11.80 F001.30 F000.88 R000.60 F359.92 F359.95 F000.07 R359.98 R000.02 359.95
2100-02-15 329_15 013_19 303_37 014_58 042_22 176_00 180_10 354_52 140_30 007_43 321_49 0.97 11.87 F001.35 F000.90 R000.58 F359.87 F359.92 F000.05 R359.97 R000.00 359.95
2100-02-16 330_13 025_11 304_58 015_52 042_57 175_52 180_05 354_55 140_28 007_43 321_46 1.00 11.98 F001.35 F000.85 R000.58 F359.90 F359.97 F000.05 R359.97 R000.03 359.95
2100-02-17 331_13 037_10 306_19 016_43 043_32 175_46 180_03 354_58 140_26 007_45 321_43 1.00 12.18 F001.37 F000.88 R000.58 F359.90 F359.92 F000.05 R359.98 R000.02 359.95
2100-02-18 332_13 049_21 307_41 017_36 044_07 175_40 179_58 355_01 140_25 007_46 321_40 1.00 12.42 F001.42 F000.82 R000.60 F359.90 F359.95 F000.05 R359.98 R000.00 359.95
2100-02-19 333_13 061_46 309_06 018_25 044_43 175_34 179_55 355_04 140_24 007_46 321_37 1.00 12.73 F001.42 F000.85 R000.57 F359.87 F359.92 F000.05 R359.97 R000.05 359.95
2100-02-20 334_13 074_30 310_31 019_16 045_17 175_26 179_50 355_07 140_22 007_49 321_34 1.00 13.12 F001.45 F000.80 R000.58 F359.88 F359.93 F000.05 R359.95 R000.00 359.95
2100-02-21 335_13 087_37 311_58 020_04 045_52 175_19 179_46 355_10 140_19 007_49 321_31 1.00 13.55 F001.50 F000.80 R000.60 F359.90 F359.95 F000.05 R000.00 R000.02 359.95
2100-02-22 336_13 101_10 313_28 020_52 046_28 175_13 179_43 355_13 140_19 007_50 321_28 0.97 14.00 F001.50 F000.80 R000.60 F359.90 F359.93 F000.05 R359.95 R000.03 359.95
2100-02-23 337_11 115_10 314_58 021_40 047_04 175_07 179_39 355_16 140_16 007_52 321_25 1.00 14.45 F001.53 F000.77 R000.57 F359.88 F359.92 F000.08 R000.00 R000.00 359.95
2100-02-24 338_11 129_37 316_30 022_26 047_38 175_00 179_34 355_21 140_16 007_52 321_22 0.98 14.80 F001.52 F000.75 R000.62 F359.87 F359.95 F000.03 R359.95 R000.05 359.93
